iteration	A_coal_stats_total	A_num_coals_total	B_coal_stats_total	B_num_coals_total	C_coal_stats_total	C_num_coals_total	AB_coal_stats_total	AB_num_coals_total	root_coal_stats_total	root_num_coals_total	A__pop_coal_stats_total	A__pop_num_coals_total	B__pop_coal_stats_total	B__pop_num_coals_total	C__pop_coal_stats_total	C__pop_num_coals_total	AB__pop_coal_stats_total	AB__pop_num_coals_total	root__pop_coal_stats_total	root__pop_num_coals_total	
0	0.01506670837428086828779782990750391	136	0.01091376871385081083476453756020419	121	0.01516180877856038687612194593157255	149	0.05844535843593375024074276780083892	290	0.14535520261448561796235878773586592	450	0.01506670837428086481835087795388972	136	0.01091376871385080042642368169936162	121	0.01516180877856039034556889788518674	149	0.00340050140970427723294267075004882	33	0.00137808991776706079267211801919757	11	
1	0.01571784894700086962493479347813263	134	0.01284650755363722467172760133280462	116	0.01392059565192378840781106674739931	149	0.06474527172007600583913955460957368	290	0.15088551664640667548944463760562940	450	0.01571784894700087309438174543174682	134	0.01284650755363722120228064937919044	116	0.01392059565192379361198149467782059	149	0.00388067960162860863676526079757423	40	0.00137192735931373674916622373842756	11	
2	0.01479159319970348163142404018799425	136	0.00950205441611259166156955302540155	119	0.01493664550820521935703411031681753	149	0.05594108934917551428922521949971269	290	0.13978441929435997392872081945824903	450	0.01479159319970350071338227593287229	136	0.00950205441611259166156955302540155	119	0.01493664550820522803065149020085300	149	0.00437715677204378404013818126827573	35	0.00088244752672413551575908430280037	11	
3	0.01371519053910868340961926037380181	135	0.01037023945478450330515141075693464	122	0.01396164750773119453408632750779361	150	0.05492011416771688109283999779108854	290	0.13590432199829710624428003029606771	450	0.01371519053910868687906621232741600	135	0.01037023945478451891766269454819849	122	0.01396164750773121535076803922947875	150	0.00352789855497541524759208542150191	33	0.00053911028321224736207378791519318	10	
4	0.01356220858207450065402444039364127	136	0.01139280537888618174968691221238259	118	0.01488345358540959888216104189950784	150	0.05666898026422616946318200348287064	290	0.14141148343789375352308468336559599	450	0.01356220858207449371513053648641289	136	0.01139280537888619389275124405003226	118	0.01488345358540959714743756592270074	150	0.00355395895855970065518869560605708	36	0.00116891502269726938259553072896324	10	
5	0.01541481665994366180572061608700096	134	0.01125159126262377691507499122280933	123	0.01510677939211733586399866169358575	150	0.06010436445748606332228902715542063	290	0.14805568395558449390492228303628508	450	0.01541481665994367568350842390145772	134	0.01125159126262377171090456329238805	123	0.01510677939211734453761604157762122	150	0.00361653664572060594764590923944070	33	0.00087475562098585243030191005431107	10	
6	0.01596329570109038253900024528775248	128	0.01207378929659366079141236127725278	116	0.01378214054786225557791556894926543	150	0.06479491814644113001353531444692635	290	0.15005783207838374604392583933076821	450	0.01596329570109040682512890896305180	128	0.01207378929659366599558278920767407	116	0.01378214054786225210846861699565125	150	0.00515664016248574587353292741909172	46	0.00045858117251324046100002806980456	10	
7	0.01605999963214608389217019634997996	134	0.00969482434531547358769199007610951	122	0.01321170250655889083502003700232308	150	0.05842551995326156211163493026106153	290	0.13935609876637344850536237572669052	450	0.01605999963214611858663971588612185	134	0.00969482434531546144462765823845984	122	0.01321170250655889256974351297913017	150	0.00472801075304523938519496439880641	34	0.00092221059731007316937617668273219	10	
8	0.01795431568021785620481445278073807	132	0.01050657368116835084503879471640175	115	0.01579033841136966154206078272181912	150	0.06388414914593248949969961358874571	290	0.15584695002071080605077213476761244	450	0.01795431568021788049094311645603739	132	0.01050657368116834911031531873959466	115	0.01579033841136966848095468662904750	150	0.00435584187006357939631051578999177	43	0.00104915449167313715866933776510450	10	
9	0.01613365411763671361522476388472569	133	0.01040722541314813981427889189035341	117	0.01438041339863844331192765935156785	150	0.06040009861914792665960050044304808	289	0.14620251948582704826229416994465282	450	0.01613365411763672749301257169918244	133	0.01040722541314813634483193993673922	117	0.01438041339863845198554503923560333	150	0.00456952343774573097046065583981544	39	0.00106743909461884454829838642098139	11	
10	0.01610321674950248790891826899951411	129	0.00989533602875198106674226039558562	118	0.01480249778017948131259018396121974	150	0.06027115573428830364033359501263476	289	0.14736482725617425226793955062021269	450	0.01610321674950248790891826899951411	129	0.00989533602875197933201878441877852	118	0.01480249778017949345565451579886940	150	0.00548714316001668641481492372236062	42	0.00056777324587605924530175904862972	11	
11	0.01533008087862788859645490902039455	130	0.01000130322012153516464394442664343	116	0.01481024946635713275544521394522235	150	0.05915392750578624125878945960721467	290	0.14538098289190015677263545512687415	450	0.01533008087862790767841314476527259	130	0.01000130322012153689936742040345052	116	0.01481024946635713969433911785245073	150	0.00556536044322073972234754535293177	44	0.00054875197927793022221326646459261	10	
12	0.01653230099841775102564866983811953	125	0.00879287814919517407563631650191383	121	0.01360917647054853650556704991458901	150	0.05833430059355647345764595002037822	290	0.14085794711836277515182302977336803	450	0.01653230099841777184233038155980466	125	0.00879287814919517407563631650191383	121	0.01360917647054854864863138175223867	150	0.00599094386080486433071579099873816	44	0.00132615684625570135792005377339819	10	
13	0.01490854475311712695750898660662642	126	0.00963623766213243283795808480363121	119	0.01257281201770053466471033232210175	150	0.05652960867581433013207004023570335	290	0.13409911956719880454791393731284188	450	0.01490854475311715471308460223553993	126	0.00963623766213242589906418089640283	119	0.01257281201770055548139204404378688	150	0.00502404882638865166177843946115900	45	0.00073461641247839963662219497919637	10	
14	0.01729618661709527577263756370484771	128	0.00975201460960259045029907554180681	120	0.01217595804557497669862176081778671	150	0.06287974264976969873686130085843615	290	0.14277868338460361630204431548918365	450	0.01729618661709531046710708324098960	128	0.00975201460960258871557559956499972	120	0.01217595804557499404585652058585765	150	0.00647789562368137998571437918826632	42	0.00074411350558984876418094911443291	10	
15	0.01590188428375670370851224788566469	131	0.00923809596346124826948820185634759	116	0.01306245350908070632089952312071546	150	0.05874639085521839165782154168482521	290	0.13950315728299267359346913508488797	450	0.01590188428375667942238358421036537	131	0.00923809596346125000421167783315468	116	0.01306245350908071672924037898155802	150	0.00621251745899481597895652740248806	43	0.00036916124854759083204897018859469	10	
16	0.01737150976862600337824460439151153	128	0.00950342011641849837566553560463944	119	0.01284369812543578216745832065726063	150	0.06291527760213512510123479160029092	289	0.14485979653446953707707223202305613	450	0.01737150976862598950045679657705477	128	0.00950342011641850531455943951186782	119	0.01284369812543579777996960444852448	150	0.00685356424583109715559237073989607	42	0.00042962162836140423529188159257330	11	
17	0.01761903921173818554635204236546997	129	0.01002905741970333726442721200555752	116	0.01094970179937467501252168489145333	150	0.06480559759362924943104644626146182	288	0.14223913159285844765022943647636566	450	0.01761903921173819248524594627269835	129	0.01002905741970335114221501982001428	116	0.01094970179937469582920339661313847	150	0.00764409932382087518171198681216083	43	0.00094066399532248155465619099402375	12	
18	0.01855131921476251694036463391057623	132	0.00790879302682176953120940510189030	120	0.01189605984732442292561849228604842	150	0.05923829691409725900497207362604968	288	0.13627322758795917811980302758456673	450	0.01855131921476249265423597023527691	132	0.00790879302682177473537983303231158	120	0.01189605984732443333395934814689099	150	0.00587513492576779202541947810800593	36	0.00124606153402150531504799513271564	12	
19	0.01721936526543591666760235625588393	130	0.00989372094141939897871118603234208	118	0.01264522196611843861402402211524532	150	0.06285754809268681575495918423257535	288	0.14446585910451562040357487148867222	450	0.01721936526543586809534502890528529	130	0.00989372094141939897871118603234208	118	0.01264522196611844381819445004566660	150	0.00611697781779081076886095402755927	40	0.00091490588541198053246922272663255	12	
20	0.01696646014336267507816025101874402	130	0.01017748387876969522192194261833720	118	0.01292323470752341704748111794742726	150	0.06212900786051583912339424387027975	288	0.14367998543166832225992379790113773	450	0.01696646014336267507816025101874402	130	0.01017748387876968828302803871110882	118	0.01292323470752342745582197380826983	150	0.00541509977895628449862108766410529	40	0.00098747567903165471732418456696223	12	
