iter	coalStatFlat	numCoalFlat	migStatFlat	numMigFlat	logPrior	logLikelihood	dataLogLikelihood	genealogyLogLikelihood
      0	 0.124994	      150	 0.082133	        0	32.442450	-431088.286974	-431631.576127	543.289153
      1	 0.306470	      150	 0.180116	        0	32.359075	-373471.018205	-372372.839489	-1098.178716
      2	 0.440846	      150	 0.257730	        0	32.324661	-341915.740542	-339632.974294	-2282.766249
      3	 0.442902	      150	 0.242989	        0	32.246199	-323801.528420	-321567.603191	-2233.925229
      4	 0.492775	      150	 0.277237	        0	32.096085	-309018.856136	-306557.526160	-2461.329977
      5	 0.640875	      150	 0.345536	        0	32.006106	-298228.514289	-294504.783625	-3723.730664
      6	 0.815017	      150	 0.400852	        0	31.953235	-289714.203878	-284478.018182	-5236.185695
      7	 0.892552	      150	 0.425602	        0	31.784797	-283564.470283	-277865.940564	-5698.529720
      8	 0.930247	      150	 0.457620	        0	31.665498	-276872.801774	-271061.293635	-5811.508138
      9	 0.986697	      150	 0.504422	        0	31.639543	-270839.993335	-264620.448097	-6219.545237
     10	 1.112193	      150	 0.537486	        0	31.576798	-264471.414223	-257225.306569	-7246.107654
     11	 1.053968	      150	 0.526778	        0	31.483957	-261262.310028	-254722.642623	-6539.667405
     12	 1.112076	      150	 0.547407	        0	31.277914	-258998.817423	-252360.681462	-6638.135962
     13	 1.181029	      150	 0.558054	        0	31.211571	-254116.067908	-246999.935169	-7116.132739
     14	 1.159800	      150	 0.566835	        0	31.125262	-249151.307582	-242699.706810	-6451.600772
     15	 1.231263	      150	 0.596599	        0	31.008799	-245611.865724	-238687.819565	-6924.046159
     16	 1.266144	      150	 0.607767	        0	30.901835	-243684.725616	-236560.143424	-7124.582192
     17	 1.379065	      150	 0.632044	        0	30.880469	-241542.496279	-233635.800658	-7906.695621
     18	 1.371937	      150	 0.639231	        0	30.693269	-237838.605686	-230054.783214	-7783.822472
     19	 1.404263	      150	 0.660720	        0	30.476711	-235301.621163	-227351.227493	-7950.393671
     20	 1.571562	      150	 0.692741	        0	30.427418	-233080.322319	-223915.832118	-9164.490201
     21	 1.528015	      150	 0.687680	        0	30.262321	-231068.537425	-222787.001670	-8281.535755
     22	 1.511974	      150	 0.678221	        0	30.241330	-228296.595874	-220176.802663	-8119.793211
     23	 1.516959	      150	 0.673603	        0	29.977026	-227201.172159	-219580.152299	-7621.019859
     24	 1.582198	      150	 0.686476	        0	29.782982	-224721.426481	-216973.715652	-7747.710829
