Sample	theta_A	theta_B	theta_root	tau_root	Data-ld-ln	Full-ld-ln	Gene-ld-ln
0	 0.86825	 1.04378	 1.03486	 0.00000	-1334.651486333	-14664.879841303	1318.364977970
1	 0.82417	 1.08490	 1.03486	 0.00000	-1320.316390522	-14508.770574360	1305.606669138
2	 0.85889	 1.03851	 1.03776	 0.00000	-1316.062405444	-14447.724360998	1287.100306557
3	 0.85543	 1.08209	 1.03502	 0.00000	-1306.847615892	-14392.126101012	1323.649942093
4	 0.84960	 1.12188	 1.03792	 0.00000	-1305.784461333	-14356.569778254	1298.725164920
5	 0.87567	 1.09447	 1.10512	 0.00000	-1305.235649883	-14354.785867711	1302.429368879
6	 0.84177	 1.15535	 1.10293	 0.00000	-1299.773648533	-14317.107517136	1319.371031805
7	 0.89143	 1.10678	 1.10106	 0.00000	-1300.205973180	-14311.437086987	1309.377355190
8	 0.86143	 1.19147	 1.13476	 0.00000	-1302.397853607	-14312.705761302	1288.727225228
9	 0.89397	 1.16751	 1.13629	 0.00000	-1303.521208014	-14314.884176967	1279.672096828
10	 0.91865	 1.13593	 1.19097	 0.00000	-1301.553642830	-14314.214478607	1298.678050305
11	 0.96543	 1.10194	 1.23170	 0.00000	-1302.628999436	-14308.867823429	1282.577829066
12	 1.00100	 1.14232	 1.22937	 0.00000	-1303.866876922	-14306.082051306	1267.413282088
13	 1.06501	 1.18564	 1.28145	 0.00000	-1304.116719153	-14312.219259407	1271.052067880
14	 1.02481	 1.13744	 1.31660	 0.00000	-1303.717986322	-14313.594043869	1276.414180651
15	 1.07621	 1.08597	 1.31260	 0.00000	-1306.004376927	-14314.261425049	1254.217655777
16	 1.05080	 1.12914	 1.27280	 0.00000	-1303.753155721	-14308.505754160	1270.974196947
17	 1.00414	 1.16479	 1.23658	 0.00000	-1303.298562748	-14299.302936604	1266.317309128
18	 1.05905	 1.21866	 1.23604	 0.00000	-1304.589544854	-14303.420903766	1257.525455231
19	 1.01451	 1.15722	 1.23294	 0.00000	-1305.179194454	-14310.632391081	1258.840446545
20	 1.06350	 1.13767	 1.23777	 0.00000	-1302.514082387	-14314.196289034	1289.055465161
21	 1.11199	 1.18902	 1.27363	 0.00000	-1304.344940338	-14318.823778935	1275.374375556
22	 1.08583	 1.23772	 1.27026	 0.00000	-1304.366466717	-14314.187875623	1270.523208448
23	 1.03919	 1.19516	 1.26635	 0.00000	-1303.932219488	-14304.857677186	1265.535482303
24	 1.06269	 1.21341	 1.20274	 0.00000	-1303.636130707	-14302.414931827	1266.053624761
25	 1.09678	 1.19141	 1.20274	 0.00000	-1304.058049177	-14313.453560664	1272.873068896
26	 1.07408	 1.26472	 1.24374	 0.00000	-1306.937811229	-14314.010992830	1244.632880539
27	 1.02057	 1.31560	 1.24708	 0.00000	-1305.394975337	-14315.845446216	1261.895692848
28	 0.98719	 1.36585	 1.20192	 0.00000	-1304.011004440	-14307.942123785	1267.832079385
29	 1.03361	 1.40830	 1.19756	 0.00000	-1304.728786554	-14307.802013432	1260.514147891
30	 1.02137	 1.46483	 1.23936	 0.00000	-1301.472691985	-14303.787273530	1289.060353683
31	 1.06535	 1.50840	 1.19722	 0.00000	-1302.096861370	-14304.104501679	1283.135887980
32	 1.04334	 1.41983	 1.24330	 0.00000	-1303.166343486	-14301.023977793	1269.360542929
33	 1.07247	 1.38220	 1.32019	 0.00000	-1305.133152147	-14308.098264728	1256.766743255
34	 1.10442	 1.35105	 1.40300	 0.00000	-1305.558225669	-14306.352074812	1250.769818124
35	 1.13000	 1.32080	 1.43997	 0.00000	-1305.558456374	-14297.588003289	1242.003439551
36	 1.18282	 1.40534	 1.37457	 0.00000	-1302.577499023	-14294.426073167	1268.651082936
37	 1.11939	 1.46434	 1.40544	 0.00000	-1306.105749146	-14303.961893382	1242.904401927
38	 1.06969	 1.50962	 1.46659	 0.00000	-1304.857033130	-14305.226163934	1256.655832635
39	 1.12114	 1.55429	 1.49147	 0.00000	-1306.382591548	-14310.414441414	1246.588525932
40	 1.09568	 1.49104	 1.49049	 0.00000	-1307.196248858	-14302.634113472	1230.671624887
41	 1.06443	 1.43163	 1.54100	 0.00000	-1305.738710130	-14300.616807783	1243.229706485
42	 1.11483	 1.49413	 1.63498	 0.00000	-1306.230174578	-14300.496648029	1238.194902247
43	 1.07887	 1.43145	 1.68977	 0.00000	-1306.212179765	-14297.576158911	1235.454361257
44	 1.03832	 1.37073	 1.76373	 0.00000	-1306.276303127	-14293.938373969	1231.175342696
45	 1.05125	 1.31711	 1.75833	 0.00000	-1308.320725497	-14294.653162397	1211.445907427
46	 1.09881	 1.29358	 1.84054	 0.00000	-1308.484776927	-14295.272333418	1210.424564148
47	 1.06283	 1.23600	 1.88725	 0.00000	-1308.131765576	-14288.591211408	1207.273555645
48	 1.13176	 1.18272	 1.95826	 0.00000	-1308.580122622	-14287.176713091	1201.375486873
49	 1.18904	 1.14544	 1.99632	 0.00000	-1309.035987461	-14304.512432070	1214.152557464
50	 1.15605	 1.11040	 1.94922	 0.00000	-1308.356723193	-14306.455324345	1222.888092419
51	 1.20667	 1.15782	 1.89842	 0.00000	-1309.372198182	-14294.881346640	1201.159364822
52	 1.12683	 1.20050	 1.92815	 0.00000	-1308.927804222	-14299.850903441	1210.572861217
53	 1.17696	 1.15407	 1.92367	 0.00000	-1308.441149106	-14300.730805867	1216.319314802
54	 1.22823	 1.19553	 1.86619	 0.00000	-1309.239777461	-14296.773208187	1204.375433574
55	 1.26632	 1.24224	 1.93792	 0.00000	-1308.638280244	-14296.387109559	1210.004307115
56	 1.20042	 1.29948	 1.85671	 0.00000	-1306.757734167	-14293.624443498	1226.047101827
57	 1.30045	 1.23644	 1.79169	 0.00000	-1308.193277616	-14303.084711417	1221.151935260
58	 1.38053	 1.26153	 1.70722	 0.00000	-1307.693086297	-14305.116826188	1228.185963216
59	 1.33239	 1.27757	 1.71166	 0.00000	-1307.234703001	-14313.830798376	1241.483768368
60	 1.37641	 1.22428	 1.71038	 0.00000	-1306.945576043	-14300.129809090	1230.674048664
61	 1.44988	 1.17618	 1.65058	 0.00000	-1307.378103112	-14302.559111903	1228.778080779
62	 1.40407	 1.14731	 1.57241	 0.00000	-1305.665693176	-14310.491860172	1253.834928409
63	 1.32589	 1.18164	 1.57241	 0.00000	-1305.014215662	-14298.435219016	1248.293062395
64	 1.26122	 1.24810	 1.66857	 0.00000	-1305.376836063	-14290.649665555	1236.881304924
65	 1.31511	 1.21126	 1.69252	 0.00000	-1309.701587981	-14296.780507700	1199.764627889
66	 1.29766	 1.27217	 1.68934	 0.00000	-1306.829776718	-14292.148767390	1223.851000206
67	 1.24137	 1.22019	 1.77027	 0.00000	-1307.934887554	-14301.154860930	1221.805985390
68	 1.30218	 1.26684	 1.77706	 0.00000	-1307.107250482	-14294.573730251	1223.501225435
69	 1.35565	 1.21507	 1.84948	 0.00000	-1307.397888660	-14294.151315091	1220.172428492
70	 1.30927	 1.27594	 1.82537	 0.00000	-1308.336738867	-14300.879185614	1217.511796945
71	 1.34162	 1.21043	 1.91617	 0.00000	-1309.110857774	-14301.762177039	1210.653599302
72	 1.41164	 1.18904	 1.88080	 0.00000	-1309.087629397	-14301.928070305	1211.051776338
73	 1.45436	 1.22070	 1.95163	 0.00000	-1310.174221148	-14300.936752557	1199.194541080
74	 1.38195	 1.30403	 2.05966	 0.00000	-1308.429680276	-14296.194125778	1211.897323022
75	 1.43250	 1.25486	 2.04971	 0.00000	-1309.677894769	-14292.491934168	1195.712986481
