iteration	A_coal_stats_total	A_num_coals_total	B_coal_stats_total	B_num_coals_total	C_coal_stats_total	C_num_coals_total	D_coal_stats_total	D_num_coals_total	AB_coal_stats_total	AB_num_coals_total	ABC_coal_stats_total	ABC_num_coals_total	root_coal_stats_total	root_num_coals_total	A__pop_coal_stats_total	A__pop_num_coals_total	B__pop_coal_stats_total	B__pop_num_coals_total	C__pop_coal_stats_total	C__pop_num_coals_total	D__pop_coal_stats_total	D__pop_num_coals_total	AB__pop_coal_stats_total	AB__pop_num_coals_total	ABC__pop_coal_stats_total	ABC__pop_num_coals_total	root__pop_coal_stats_total	root__pop_num_coals_total	D->B__mig_stats	D->B__num_migs	
0	0.00008788266840503471328312906640789	0	0.00008434800679328767936300537133576	1	0.00016020078483142024855685747741774	4	0.00084720224149842002746291225179220	4	0.00095113815883490987826420770545610	9	0.00600623057893778008325957884494528	37	0.01684435523051077548961629304358212	70	0.00008788266840503468617807475427028	0	0.00008434800679328765225795105919815	1	0.00016020078483142022145180316528013	4	0.00084720224149842002746291225179220	4	0.00043444613323994257835305998760589	8	0.00360892051777881748761411806469823	24	0.00300944610181831488648906969274321	29	0.00008611533759916117599427648476862	0	
1	0.00007809018807905218943158504041335	2	0.00008788266840503471328312906640789	0	0.00016330761971084477432100690030836	1	0.00086023963239980196036210680077261	4	0.00090894399009707729699542033685589	7	0.00645726875148890707561966095795469	32	0.01783500278006061937063897460120643	70	0.00007809018807905214877400357220694	2	0.00008788266840503468617807475427028	0	0.00016330761971084490984627846099642	1	0.00086023963239980152668123780657083	4	0.00041102542064481604675019177363993	5	0.00412627402664376453922390197703862	24	0.00300069779164755618891535782211122	34	0.00008788266840503468617807475427028	0	
2	0.00010081130341720379093965742622885	1	0.00009289390766524230336458750612039	2	0.00014747590160278843348685973158041	2	0.00071685206796751077019946851720533	4	0.00082762218722367880598816958226394	8	0.00517931344325848249526833555478333	38	0.01463757741077143306740460104720114	70	0.00010081130341720369607196733374721	1	0.00009289390766524222204942456970755	2	0.00014747590160278854190707698013085	2	0.00071685206796751066177925126865489	4	0.00024650655397634029268247313204654	5	0.00305798639025603273544628990521232	28	0.00272585031334683213638525600686080	28	0.00010084356034001269459676047857144	0	
3	0.00008933871440841910469433245767235	0	0.00008296688757761550860568566800879	1	0.00011570030902740465199481090241562	2	0.00076568061344902955782376618998342	4	0.00078662597413136140216821656778734	5	0.00559730294043076729432195648428205	40	0.01536038906680419272032800392935314	70	0.00008933871440841906403675098946593	0	0.00008296688757761548150063135587118	1	0.00011570030902740480107260961917248	2	0.00076568061344902912414289719578164	4	0.00026970916817325714213982035261097	4	0.00369392791458493302200749575092686	33	0.00260659762962530197616395355453278	26	0.00008615280099301723211110970446214	0	
4	0.00006546835106507218552795296373503	1	0.00006596409073886949636644771999272	2	0.00014046710772611768086072514538643	1	0.00076389192901041703780140590396286	4	0.00075606487398952265752832824219354	6	0.00531558447217477664237250678525015	39	0.01530333425450584351745764166707886	70	0.00006546835106507219908048011980384	1	0.00006596409073886952347150203213033	2	0.00014046710772611784349105101821209	1	0.00076389192901041671254075415831153	4	0.00036176754857769730013700160142776	3	0.00335079772247668479165372268369083	32	0.00291287407485339971263682556923413	27	0.00006801820243264510782842807712356	0	
5	0.00005056918704860939941820446863474	2	0.00005118147876838479050495486766259	1	0.00013248141715911854925449842035334	2	0.00065982183419045661691704207640896	4	0.00079140479719020273997182046699095	6	0.00602010140649211593355527583071307	37	0.01558969862386453721081469581122292	70	0.00005056918704860937908941373453153	2	0.00005118147876838477695242771159378	1	0.00013248141715911849504438979607812	2	0.00065982183419045672533725932495940	4	0.00048532825863375019838363844115747	3	0.00402782712540429577163791918792413	29	0.00270565431566339000338250464494649	29	0.00005271346212671581594631439737775	0	
6	0.00007094184886658024197843980251932	0	0.00006699202454724615134109416691999	1	0.00013303233134637893310750489384020	2	0.00081597406507477718198145799632925	2	0.00072977214581053558017931237600351	6	0.00577917285613819674966462613951990	36	0.01621142772522321529038435983238742	70	0.00007094184886658021487338549038171	0	0.00006699202454724612423603985478238	1	0.00013303233134637893310750489384020	2	0.00081597406507477750724210974198058	2	0.00031597052556905631890554753127276	5	0.00389947030876067537996654266407859	28	0.00310480780099172716524069670640529	32	0.00006896693670691315600218551651324	0	
7	0.00009156231537661372861611891460498	0	0.00009156231537661372861611891460498	0	0.00014187004766834788831164626543568	2	0.00083070020688931446237179834213293	4	0.00091998107745738376839900185544252	3	0.00550470190892079873357101149622395	39	0.01566391663937810249662696548966778	70	0.00009156231537661363374842882212334	0	0.00009156231537661363374842882212334	0	0.00014187004766834788831164626543568	2	0.00083070020688931489605266733633471	4	0.00037060718519770115275679955857413	3	0.00326382738225979929583275840343504	34	0.00284682050232714332904659926271052	27	0.00009156231537661362019590166605454	0	
8	0.00007267096893646901665641396617090	1	0.00007420118817632962435800608735903	0	0.00014638178667066009805072801519543	1	0.00060259973568163843326422890456229	6	0.00082395265889533160757335350510289	6	0.00512108724034085211612721266760673	39	0.01387359823497931639313396345869478	70	0.00007267096893646886757861524941404	1	0.00007420118817632947528020737060217	0	0.00014638178667066007094567370305782	1	0.00060259973568163919220574964441539	6	0.00038333618755693495269362691679760	5	0.00300602813078630019122394756436734	32	0.00245239424311736184738941268790313	25	0.00007420118817632946172768021453336	0	
9	0.00006271928862439073843176168265856	1	0.00006353548031341688182970645071279	0	0.00013386868984858145675137519603481	1	0.00068763185614975532843756722556350	4	0.00080522072850897790687041410961911	3	0.00577099135382615549549889522040758	38	0.01431371411024955422885973632673995	70	0.00006271928862439054869638149769528	1	0.00006353548031341669209432626574952	0	0.00013386868984858142964632088389720	1	0.00068763185614975597895887071686616	4	0.00042645642169555426003943465751433	2	0.00375207303665770928666201022849691	34	0.00174141949787269176806725479167426	28	0.00006353548031341667854179910968071	0	
