Sample	theta_A	theta_B	theta_C	theta_D	theta_AB	theta_ABC	theta_root	tau_AB	tau_ABC	tau_root	m_D->B	Data-ld-ln	Full-ld-ln	Gene-ld-ln
0	1.11761188458847371407500759232789278	1.07963827000723489035749480535741895	1.03426186270357178820233912119874731	0.87517258622945270918336291288142093	1.09189230417042537624183751177042723	1.00067552474797105688253395783249289	0.97404663135619584668489778778166510	0.03658629437359281477704087137681199	0.09485782158381370066102533655794105	0.51144103395643691900573912789695896	0.00000000000000000000000000000000000	-1344.66359288223452495003584772348403931	-14061.20523434327333234250545501708984375	614.56930552092853758949786424636840820
1	1.09349919443415144471032363071572036	1.11409669347703155217743642424466088	0.98235817170955863630865678715053946	0.90830966448123573453443668768159114	1.15051474610274340193427633494138718	1.05276269061194027720773647160967812	0.93902214953733142976943781832233071	0.03757020313985055814942626284391736	0.08621848876210712331324970136847696	0.48152561352724682075532314229349140	20.07051902197377657444121723528951406	-1344.85956572792656515957787632942199707	-14059.66394363051767868455499410629272461	611.06828635125202708877623081207275391
2	1.02746585865491413258610009506810457	1.13831736417140394479474707623012364	0.94508779940001619301881419232813641	0.87597535615341859394078483092016540	1.12919792520545581027135995100252330	1.01322153975605644404822669457644224	0.90679304140253003119198638160014525	0.03748489904416958673483151187610929	0.08799045883547700064308827450076933	0.45368113229236500805185983153933194	19.70927082699988375225075287744402885	-1343.72825694811649555049370974302291870	-14060.63541509851893351878970861434936523	623.35284561735352326650172472000122070
3	0.97634959331856696618245905483490787	1.17161984152727849384234559693140909	0.96447422330198140372203852166421711	0.89466721537538307362780187759199180	1.07861731683841655105027257377514616	1.01810012871526200939342743367888033	0.90370876457772542078572541868197732	0.02966083589584564764174423601161834	0.09583267572970481651406515766211669	0.42110623705168276353916212428885046	19.51524655761447490931459469720721245	-1343.10508902514538931427523493766784668	-14055.54022289507156528998166322708129883	624.48933264361767214722931385040283203
4	0.92731579405891495504477006761590019	1.15190815170589799798506192018976435	1.01163044796718026852033744944492355	0.88092642889194616717674080064170994	1.05028275118450542535697422863449901	1.05843636001721042028123065392719582	0.90691865842601460112604172536521219	0.02152510847224624324081077020309749	0.08634355050017139543427902026451193	0.39442956487897129491670966672245413	19.97352717358864993002498522400856018	-1343.73321647986745119851548224687576294	-14055.44253202737490937579423189163208008	618.11036722870085213799029588699340820
5	0.94692249147662632680066963075660169	1.18507370821986457443131257605273277	1.04468887019119405223932517401408404	0.82076965718484229395102147464058362	1.06569575036584263116878901200834662	1.09962655460277924923673253942979500	0.86097141490919371076273591825156473	0.01216506814779644805868397128278957	0.08611387877068908680566750035723089	0.44261085254597687388411486608674750	19.67297106169180409551699995063245296	-1343.16620009639404997869860380887985229	-14051.94229880413513456005603075027465820	620.28029784019418002571910619735717773
6	0.96358442341467220870754317729733884	1.16582835407950913264585324213840067	1.01765921892599764397857597941765562	0.85900073316076286378262238940806128	1.09783644616205200428282751090591773	1.15007468619109332053085381630808115	0.86355851243995007671117036807117984	0.00254030880391449553901139779554796	0.09634313700888090525875639968944597	0.47007572272343428609886473168444354	19.99379499505674218085005122702568769	-1342.36320058919045550283044576644897461	-14042.42177105333030340261757373809814453	618.78976516142574837431311607360839844
7	1.00648094773187191108831939345691353	1.21555007392679881306207789748441428	0.97972719318744483363303743317374028	0.81971308739362758188917723600752652	1.15047463905979929776890458015259355	1.12511747003810680389790377375902608	0.90423541155120845669301843372522853	0.01288493475663544766962598231430093	0.08483887470935688734918755926628364	0.44219366808971383164816870703361928	19.65764998985811473630747059360146523	-1342.80465985713067311735358089208602905	-14043.86795816171616024803370237350463867	615.82135959040897432714700698852539062
8	1.04175341725564085670896474766777828	1.15791838196075391742567717301426455	1.02185499040288019223510218580486253	0.86125227805988580076501648363773711	1.15436730230433415300694832694716752	1.18234850548453773733115212962729856	0.87802074220273840232664497307268903	0.02313290325491264287638415453329799	0.08838628639231242700713409021773259	0.41387789736319013922383192038978450	19.91322093271882209819523268379271030	-1341.24917613737966348708141595125198364	-14043.74456044090766226872801780700683594	631.25279906711148214526474475860595703
9	1.00478806996448133403987412748392671	1.18866567042797366404727199551416561	0.98950535500543734812595175753813237	0.88854076794853731335877000674372539	1.17422176592879479173348045151215047	1.13692818134014439479528846277389675	0.83295635117265809377329333074158058	0.02540113669879309407639844664572593	0.09452749274592885109225193218662753	0.41288551193351241686002595088211820	19.72585477209310056423419155180454254	-1341.88101495432260890083853155374526978	-14040.14635323433321900665760040283203125	621.33620369110758474562317132949829102
10	0.98305107953528536590681596862850711	1.22574778411644280673442608531331643	0.96390788864920096123967141465982422	0.92506073345919459516295546563924290	1.22586208973520727205652747215935960	1.15694936701828554603821430646348745	0.81924672145820276458749731318675913	0.02033562151775896928440623412370769	0.08888032223491236505363843889426789	0.42911119060358327015336499243858270	19.43042687454412487113586394116282463	-1340.54643773651105220778845250606536865	-14028.37468795057066017761826515197753906	622.91031058545922860503196716308593750
