iter	coalStatFlat	numCoalFlat	migStatFlat	numMigFlat	logPrior	logLikelihood	dataLogLikelihood	genealogyLogLikelihood
      0	 0.166226	      150	 0.147544	        0	34.556998	-400224.049758	-400135.141473	-88.908285
      1	 0.527834	      150	 0.320635	        0	34.524767	-323618.151107	-320326.488967	-3291.662139
      2	 0.835193	      150	 0.417475	        0	34.597466	-276757.308498	-270709.796856	-6047.511642
      3	 1.358955	      150	 0.495288	        0	34.606469	-251365.061023	-240603.373037	-10761.687986
      4	 1.475240	      150	 0.539708	        0	34.533697	-229474.104083	-218384.178224	-11089.925859
      5	 1.796180	      150	 0.587681	        0	34.542445	-210156.567881	-196393.607477	-13762.960404
      6	 1.776149	      150	 0.589984	        0	34.399222	-198665.593637	-185982.668965	-12682.924672
      7	 2.047241	      150	 0.663557	        0	34.466795	-191152.478815	-176312.272080	-14840.206735
      8	 2.056878	      150	 0.702461	        0	34.446260	-187993.250182	-173107.475684	-14885.774499
      9	 2.177918	      150	 0.721046	        0	34.344934	-184824.316531	-168977.176871	-15847.139660
     10	 2.223850	      150	 0.738797	        0	34.283233	-184120.289983	-167908.334640	-16211.955344
     11	 2.341701	      150	 0.758853	        0	34.340645	-182855.035878	-165707.049821	-17147.986057
     12	 2.418634	      150	 0.784551	        0	34.221565	-181082.597941	-163371.939339	-17710.658602
     13	 2.379445	      150	 0.781342	        0	34.159555	-179257.362407	-162587.095912	-16670.266495
     14	 2.459574	      150	 0.818081	        0	33.999065	-177901.108377	-161580.796235	-16320.312141
     15	 2.453113	      150	 0.813884	        0	33.892268	-176771.778921	-160529.011279	-16242.767642
     16	 2.513969	      150	 0.823722	        0	33.728593	-175737.926313	-159717.784838	-16020.141475
     17	 2.567806	      150	 0.848022	        0	33.689718	-174910.002921	-158569.708944	-16340.293978
     18	 2.611135	      150	 0.855327	        0	33.555441	-173874.222674	-157262.974534	-16611.248140
     19	 2.634087	      150	 0.857408	        0	33.509848	-173122.885550	-156852.506832	-16270.378718
     20	 2.632392	      150	 0.853267	        0	33.478025	-172997.730571	-156738.738373	-16258.992197
     21	 2.662735	      150	 0.872998	        0	33.518520	-171407.201473	-155746.758965	-15660.442508
     22	 2.700669	      150	 0.892603	        0	33.335957	-170499.907153	-155170.061891	-15329.845261
     23	 2.716122	      150	 0.896722	        0	33.307712	-170419.263237	-154993.608874	-15425.654363
     24	 2.834217	      150	 0.935548	        0	33.299708	-170275.694535	-154117.873938	-16157.820597
     25	 2.830402	      150	 0.942953	        0	33.298930	-170215.552039	-154117.655685	-16097.896354
     26	 2.803624	      150	 0.935949	        0	33.234187	-169526.562139	-154213.338155	-15313.223984
     27	 2.829925	      150	 0.964754	        0	33.188965	-168893.356604	-154006.462682	-14886.893922
     28	 2.845104	      150	 0.970698	        0	33.102598	-168097.030181	-153874.359674	-14222.670507
     29	 2.895470	      150	 0.989046	        0	32.978978	-167227.217310	-153182.776165	-14044.441145
     30	 2.974104	      150	 1.024887	        0	32.990029	-167056.130377	-152628.968864	-14427.161513
     31	 3.001125	      150	 1.011236	        0	32.997847	-166942.085727	-152402.841407	-14539.244320
     32	 3.085260	      150	 1.052090	        0	33.133988	-166788.744096	-151839.302179	-14949.441917
     33	 3.105356	      150	 1.058362	        0	33.068078	-166765.763583	-151709.897085	-15055.866498
     34	 3.154695	      150	 1.070798	        0	33.052784	-166680.228832	-151409.122084	-15271.106748
     35	 3.199367	      150	 1.066941	        0	33.066906	-166257.419971	-151064.927235	-15192.492737
     36	 3.198937	      150	 1.080772	        0	32.952343	-165466.304380	-151040.152123	-14426.152257
     37	 3.216451	      150	 1.082530	        0	32.941096	-165438.347262	-150925.656772	-14512.690491
     38	 3.256276	      150	 1.096801	        0	32.817051	-165359.169202	-150649.707034	-14709.462168
     39	 3.312395	      150	 1.118132	        0	32.806605	-165183.994093	-150248.462658	-14935.531435
     40	 3.379182	      150	 1.133780	        0	32.809983	-164955.391187	-149743.902303	-15211.488884
     41	 3.439500	      150	 1.155336	        0	32.785072	-164824.182568	-149344.856170	-15479.326398
     42	 3.439413	      150	 1.154701	        0	32.810304	-164770.478213	-149291.575985	-15478.902228
     43	 3.477674	      150	 1.163132	        0	32.723362	-164284.892952	-148937.903161	-15346.989791
     44	 3.559741	      150	 1.211857	        0	32.849925	-164260.641268	-148519.023076	-15741.618193
     45	 3.584194	      150	 1.215306	        0	32.817388	-164230.198766	-148370.998231	-15859.200535
     46	 3.629431	      150	 1.224079	        0	32.775651	-164163.338235	-148131.487309	-16031.850926
     47	 3.653841	      150	 1.222975	        0	32.874283	-163860.254792	-147755.896681	-16104.358112
     48	 3.649949	      150	 1.220596	        0	32.670683	-162459.342184	-147296.003298	-15163.338886
     49	 3.705515	      150	 1.204093	        0	32.589854	-161270.548482	-145892.116646	-15378.431836
     50	 3.823662	      150	 1.241411	        0	32.481840	-160675.321525	-144762.996590	-15912.324935
     51	 3.847426	      150	 1.245290	        0	32.411659	-159738.043144	-144627.260234	-15110.782910
     52	 3.918252	      150	 1.282015	        0	32.295195	-159647.405698	-144275.511052	-15371.894646
     53	 3.966722	      150	 1.313921	        0	32.230480	-159589.782237	-144047.670385	-15542.111852
     54	 4.014775	      150	 1.308662	        0	32.096097	-159573.082102	-143826.245191	-15746.836910
     55	 4.012896	      150	 1.296555	        0	32.200402	-159230.968900	-143816.605156	-15414.363743
     56	 4.095800	      150	 1.307115	        0	32.089237	-159170.226213	-143409.427143	-15760.799070
     57	 4.227837	      150	 1.343090	        0	31.921208	-158435.943607	-142803.879072	-15632.064536
     58	 4.286630	      150	 1.364584	        0	31.885823	-158369.993708	-142539.063275	-15830.930432
     59	 4.335744	      150	 1.390406	        0	31.741953	-157907.813602	-142290.649428	-15617.164175
     60	 4.380304	      150	 1.397684	        0	31.651975	-157833.020615	-142068.959129	-15764.061485
     61	 4.438331	      150	 1.420920	        0	31.632450	-157170.778747	-141821.338751	-15349.439996
     62	 4.500497	      150	 1.432961	        0	31.774943	-157133.247598	-141550.060799	-15583.186799
     63	 4.565114	      150	 1.469382	        0	31.841258	-157040.524879	-141214.375896	-15826.148983
     64	 4.643776	      150	 1.502121	        0	31.719665	-156783.076517	-140661.158271	-16121.918246
     65	 4.664410	      150	 1.490630	        0	31.642210	-156002.800486	-140511.910341	-15490.890146
     66	 4.697898	      150	 1.501666	        0	31.479281	-155267.805879	-140380.071415	-14887.734465
     67	 4.879687	      150	 1.623785	        0	31.509220	-154880.898674	-139717.302256	-15163.596418
     68	 4.905722	      150	 1.625875	        0	31.583605	-154862.914548	-139611.356984	-15251.557564
     69	 4.970493	      150	 1.617478	        0	31.570073	-154809.203938	-139349.548069	-15459.655869
     70	 5.018786	      150	 1.622890	        0	31.289079	-153869.712593	-139146.935051	-14722.777542
     71	 5.104415	      150	 1.658581	        0	31.069746	-153010.401969	-138835.302378	-14175.099591
     72	 5.269579	      150	 1.741309	        0	31.106632	-152948.304735	-138272.264801	-14676.039934
     73	 5.414122	      150	 1.765935	        0	31.203980	-152813.279950	-137752.636474	-15060.643476
     74	 5.590608	      150	 1.804657	        0	31.043362	-151760.301569	-137022.954008	-14737.347561
     75	 5.606849	      150	 1.819114	        0	30.917461	-151734.162996	-136950.232173	-14783.930823
     76	 5.679738	      150	 1.829548	        0	30.797341	-151617.797304	-136678.793430	-14939.003874
     77	 5.829660	      150	 1.850009	        0	30.734418	-150671.928191	-136186.942830	-14484.985361
     78	 5.988730	      150	 1.914389	        0	30.564539	-150150.073359	-135707.943664	-14442.129696
     79	 6.109460	      150	 1.962325	        0	30.355950	-149495.927136	-135346.760744	-14149.166392
     80	 6.220573	      150	 1.982586	        0	29.989348	-148400.921048	-134985.942943	-13414.978106
     81	 6.496192	      150	 2.062280	        0	29.881004	-147696.722117	-134228.093822	-13468.628295
     82	 6.728168	      150	 2.162819	        0	29.839053	-147605.939373	-133611.253393	-13994.685979
     83	 6.989075	      150	 2.216241	        0	29.701436	-146794.507084	-132949.503779	-13845.003305
     84	 7.287520	      150	 2.295854	        0	29.373243	-146161.005241	-132127.737294	-14033.267947
     85	 7.408588	      150	 2.349218	        0	29.156916	-145705.339705	-131811.013049	-13894.326656
     86	 7.579432	      150	 2.424958	        0	29.041162	-145662.168373	-131418.668801	-14243.499572
     87	 7.768384	      150	 2.473992	        0	28.917889	-145212.261973	-130960.116526	-14252.145446
     88	 8.122542	      150	 2.586953	        0	28.869134	-144836.422261	-130187.565450	-14648.856811
     89	 8.452955	      150	 2.672139	        0	28.938160	-144250.667726	-129270.213615	-14980.454110
     90	 8.434848	      150	 2.676945	        0	29.046623	-144162.567196	-129216.853037	-14945.714159
     91	 8.552139	      150	 2.719915	        0	29.149648	-144024.150713	-128900.764878	-15123.385835
     92	 8.684820	      150	 2.756894	        0	29.126463	-143948.162464	-128570.948960	-15377.213505
     93	 8.767640	      150	 2.777738	        0	28.776664	-143104.067968	-128330.777609	-14773.290359
     94	 8.873157	      150	 2.753565	        0	28.793038	-142779.053385	-128124.184283	-14654.869102
