Sample	theta_A	theta_B	theta_root	tau_root	Data-ld-ln	Full-ld-ln	Gene-ld-ln
0	 0.95045	 0.96521	 1.06186	 0.00000	-40022.404975792	-400135.141472929	-88.908284992
1	 0.91731	 0.98394	 1.10849	 0.00000	-32361.815110655	-320326.488967079	-3291.662139472
2	 0.89347	 0.93254	 1.11104	 0.00000	-27675.730849810	-270709.796855844	-6047.511642259
3	 0.86398	 0.95303	 1.11104	 0.00000	-25136.506102273	-240603.373036734	-10761.687985995
4	 0.82968	 0.99576	 1.17538	 0.00000	-22947.410408272	-218384.178224109	-11089.925858610
5	 0.85647	 0.95573	 1.17986	 0.00000	-21015.656788072	-196393.607477141	-13762.960403578
6	 0.90462	 0.97403	 1.25663	 0.00000	-19866.559363728	-185982.668964947	-12682.924672338
7	 0.85148	 0.95960	 1.25663	 0.00000	-19115.247881533	-176312.272080382	-14840.206734949
8	 0.90515	 0.92404	 1.25905	 0.00000	-18799.325018248	-173107.475683804	-14885.774498676
9	 0.93961	 0.99091	 1.25905	 0.00000	-18482.431653068	-168977.176870853	-15847.139659826
10	 0.96890	 1.02332	 1.25905	 0.00000	-18412.028998339	-167908.334639646	-16211.955343740
11	 0.94184	 0.99298	 1.25905	 0.00000	-18285.503587766	-165707.049820632	-17147.986057032
12	 0.99376	 1.05693	 1.26225	 0.00000	-18108.259794111	-163371.939339400	-17710.658601712
13	 1.03453	 1.02689	 1.31353	 0.00000	-17925.736240680	-162587.095911532	-16670.266495272
14	 1.09405	 1.05626	 1.38513	 0.00000	-17790.110837672	-161580.796235263	-16320.312141461
15	 1.14079	 1.11388	 1.38757	 0.00000	-17677.177892141	-160529.011279041	-16242.767642373
16	 1.18320	 1.18212	 1.44060	 0.00000	-17573.792631320	-159717.784837834	-16020.141475366
17	 1.23110	 1.16872	 1.44497	 0.00000	-17491.000292143	-158569.708943678	-16340.293977755
18	 1.30209	 1.22967	 1.44731	 0.00000	-17387.422267385	-157262.974534118	-16611.248139727
19	 1.25102	 1.28514	 1.48850	 0.00000	-17312.288555007	-156852.506832176	-16270.378717890
20	 1.22140	 1.34659	 1.48850	 0.00000	-17299.773057061	-156738.738373128	-16258.992197485
21	 1.15295	 1.30401	 1.55904	 0.00000	-17140.720147308	-155746.758964621	-15660.442508457
22	 1.21775	 1.36785	 1.61295	 0.00000	-17049.990715256	-155170.061891063	-15329.845261495
23	 1.19028	 1.42357	 1.61295	 0.00000	-17041.926323720	-154993.608874009	-15425.654363194
24	 1.13274	 1.48911	 1.61295	 0.00000	-17027.569453484	-154117.873937731	-16157.820597108
