,hypothesis,root,reference,E_ratio
0,1348.93990656,1206.4304846291448,1206.4304846291448,-142.5094219308553
1,1329.666748057,1164.103034747519,1164.103034747519,-165.56371330948105
2,1321.535566792,1164.2362517846373,1164.2362517846373,-157.2993150073628
3,1332.36130141,1174.8728164492056,1174.8728164492056,-157.48848496079427
4,1331.158099609,1185.4572392599457,1185.4572392599457,-145.7008603490542
5,1326.47178062,1184.5902045249677,1184.5902045249677,-141.8815760950322
6,1300.251651716,1134.4850680484972,1134.4850680484972,-165.7665836675028
7,1284.720311157,1112.7270973495013,1112.7270973495013,-171.9932138074987
8,1271.3410692710002,1079.3075566715208,1079.3075566715208,-192.0335125994793
9,1268.540168427,1071.8646732055072,1071.8646732055072,-196.67549522149284
10,1276.5149941280001,1088.6574656883558,1088.6574656883558,-187.85752843964428
11,1273.654609729,1085.0967395006924,1085.0967395006924,-188.5578702283076
12,1301.196919443,1138.189788815801,1138.189788815801,-163.0071306271991
13,1291.999982817,1114.9740726532818,1114.9740726532818,-177.0259101637182
14,1301.104568731,1142.257020819481,1142.257020819481,-158.84754791151886
15,1304.858394416,1155.3238981078384,1155.3238981078384,-149.53449630816158
16,1301.493116658,1145.8683715959105,1145.8683715959105,-155.62474506208946
17,1309.400744172,1145.189505274298,1145.189505274298,-164.21123889770206
18,1288.0089867939998,1113.362851069576,1113.362851069576,-174.64613572442386
19,1311.23053782,1163.6915521853623,1163.6915521853623,-147.5389856346378
20,1317.0727522480001,1168.4015722625088,1168.4015722625088,-148.67117998549134
21,1282.407810706,1113.413778562417,1113.413778562417,-168.9940321435829
22,1290.2418625369999,1130.2218336274366,1130.2218336274366,-160.02002890956328
23,1307.1521797980001,1150.1348387049773,1150.1348387049773,-157.01734109302288
24,1298.992880106,1123.5920139560403,1123.5920139560403,-175.4008661499597
25,1293.967093622,1107.310643705865,1107.310643705865,-186.656449916135
26,1291.875646466,1091.8026992251012,1091.8026992251012,-200.07294724089888
27,1302.167148459,1120.7366995162665,1120.7366995162665,-181.4304489427334
28,1297.617334371,1112.3952376586167,1112.3952376586167,-185.2220967123833
29,1320.6264862110002,1139.6951113379987,1139.6951113379987,-180.93137487300146
30,1310.061628593,1119.9937753975755,1119.9937753975755,-190.0678531954245
31,1286.835691619,1085.743231201801,1085.743231201801,-201.09246041719894
32,1281.01590092,1067.265473179197,1067.265473179197,-213.75042774080293
33,1260.478424767,1036.3095919585876,1036.3095919585876,-224.1688328084124
34,1286.959873869,1078.1780295232836,1078.1780295232836,-208.7818443457163
35,1287.031018296,1073.9986615830933,1073.9986615830933,-213.03235671290668
36,1277.1775960119999,1038.521175430101,1038.521175430101,-238.65642058189883
37,1276.743380912,1040.5663502394425,1040.5663502394425,-236.17703067255752
38,1267.930865949,1027.2220283247993,1027.2220283247993,-240.70883762420067
39,1273.120539039,1043.26076222825,1043.26076222825,-229.85977681074996
40,1284.848173132,1085.7809128718377,1085.7809128718377,-199.06726026016236
41,1263.949043228,1040.2693573054562,1040.2693573054562,-223.67968592254374
42,1255.241469353,1022.947553140712,1022.947553140712,-232.29391621228797
43,1269.034309987,1043.9503485075022,1043.9503485075022,-225.0839614794977
44,1253.158978716,1008.9135729932639,1008.9135729932639,-244.24540572273622
45,1274.323805143,1067.6144746784926,1067.6144746784926,-206.7093304645075
46,1262.224391585,1048.0982220461876,1048.0982220461876,-214.1261695388123
47,1249.890059051,1003.8420277271798,1003.8420277271798,-246.04803132382017
48,1279.779355458,1058.8924118199393,1058.8924118199393,-220.88694363806076
49,1286.0080133860001,1091.0911434234015,1091.0911434234015,-194.91686996259864
50,1286.337932375,1102.528928054316,1102.528928054316,-183.80900432068393
51,1306.592840041,1146.5845475793737,1146.5845475793737,-160.0082924616263
52,1276.908430714,1087.8109370183456,1087.8109370183456,-189.0974936956543
53,1276.61627867,1097.2861264529984,1097.2861264529984,-179.33015221700157
54,1255.956889075,1059.247211494225,1059.247211494225,-196.70967758077495
55,1284.760397271,1098.0973710724788,1098.0973710724788,-186.66302619852127
56,1283.727361138,1105.726075090257,1105.726075090257,-178.00128604774318
57,1280.919571858,1087.5839276482855,1087.5839276482855,-193.33564420971447
58,1265.470702625,1065.2581644079278,1065.2581644079278,-200.21253821707228
59,1275.1975014710001,1077.6909895403571,1077.6909895403571,-197.506511930643
60,1252.520353209,1017.7624819943381,1017.7624819943381,-234.7578712146618
61,1236.591493534,977.7543346360864,977.7543346360864,-258.8371588979136
62,1250.349111451,1020.9719612137782,1020.9719612137782,-229.37715023722183
63,1253.653183513,1017.6275478039576,1017.6275478039576,-236.02563570904238
64,1253.416072352,1035.5168591538475,1035.5168591538475,-217.89921319815244
65,1245.285653941,1028.8150190598215,1028.8150190598215,-216.4706348811785
66,1267.263386041,1087.7193769720961,1087.7193769720961,-179.54400906890396
67,1265.853164416,1103.9974559936995,1103.9974559936995,-161.8557084223005
68,1241.812230124,1063.5335326388326,1063.5335326388326,-178.2786974851674
69,1250.682954448,1085.5763784615615,1085.5763784615615,-165.10657598643843
70,1234.303896273,1056.740282350339,1056.740282350339,-177.56361392266103
71,1241.641129035,1044.5240818077052,1044.5240818077052,-197.11704722729473
72,1231.4035535389999,1011.3803287220105,1011.3803287220105,-220.02322481698934
73,1244.122254744,1035.9923521076842,1035.9923521076842,-208.12990263631582
74,1236.307265265,1023.3226346105581,1023.3226346105581,-212.98463065444196
75,1250.260293138,1053.7607264798617,1053.7607264798617,-196.4995666581383
76,1273.312765475,1107.2455643676335,1107.2455643676335,-166.0672011073666
77,1246.093256234,1059.627312075591,1059.627312075591,-186.465944158409
78,1254.907558634,1074.545686952861,1074.545686952861,-180.36187168113906
79,1256.223814407,1073.547233720835,1073.547233720835,-182.67658068616493
80,1243.927481728,1039.278950445766,1039.278950445766,-204.648531282234
81,1236.695769685,1021.2410017136511,1021.2410017136511,-215.45476797134882
82,1251.963529902,1068.2343249491942,1068.2343249491942,-183.72920495280573
83,1242.066939043,1055.360798686064,1055.360798686064,-186.70614035693598
84,1225.021064644,1019.510165804771,1019.510165804771,-205.51089883922907
85,1231.140430133,1023.5844150249293,1023.5844150249293,-207.55601510807082
86,1248.877906826,1067.1089367275936,1067.1089367275936,-181.7689700984065
87,1246.42705569,1056.9973684462216,1056.9973684462216,-189.42968724377852
88,1248.066640727,1046.7709273835785,1046.7709273835785,-201.29571334342154
89,1249.951768379,1067.17764640621,1067.17764640621,-182.77412197279
90,1253.3614310980001,1065.9975923813329,1065.9975923813329,-187.36383871666726
91,1277.778237587,1097.7504913027944,1097.7504913027944,-180.02774628420548
92,1259.448797263,1073.0260281729338,1073.0260281729338,-186.42276909006614
93,1258.387353549,1066.648552153154,1066.648552153154,-191.73880139584594
94,1266.23501442,1077.1929439933824,1077.1929439933824,-189.04207042661756
95,1250.498058252,1021.2832133260499,1021.2832133260499,-229.21484492595005
96,1254.479067828,1026.4799490753812,1026.4799490753812,-227.99911875261887
97,1254.976573396,1048.3698246947245,1048.3698246947245,-206.6067487012756
98,1251.077976164,1050.4208108993423,1050.4208108993423,-200.65716526465758
99,1247.237762234,1047.996025148183,1047.996025148183,-199.24173708581702
100,1259.034538722,1054.8213316004712,1054.8213316004712,-204.21320712152874
101,1240.8848684910001,1048.2854472718832,1048.2854472718832,-192.59942121911695
102,1238.64273685,1043.9636168063223,1043.9636168063223,-194.67912004367759
103,1228.689395583,1033.0931166126225,1033.0931166126225,-195.59627897037763
104,1225.0407791139999,999.2971986252485,999.2971986252485,-225.74358048875138
105,1249.631956822,1066.7092163285395,1066.7092163285395,-182.92274049346042
106,1242.479631931,1064.4439159908138,1064.4439159908138,-178.03571594018626
107,1242.306223139,1077.274423353084,1077.274423353084,-165.03179978591584
108,1232.760308149,1041.7261290332433,1041.7261290332433,-191.03417911575661
109,1250.108385149,1079.7444260878756,1079.7444260878756,-170.36395906112443
110,1218.906553263,1035.1375338065031,1035.1375338065031,-183.76901945649684
111,1195.10873931,1017.7451454433284,1017.7451454433284,-177.36359386667152
112,1231.3909901089999,1063.2407239406386,1063.2407239406386,-168.1502661683612
113,1244.25806656,1073.8372020120103,1073.8372020120103,-170.42086454798982
114,1238.573306752,1070.687735406473,1070.687735406473,-167.88557134552707
115,1254.004334748,1109.9121341378022,1109.9121341378022,-144.09220061019778
116,1240.45178351,1096.349527843986,1096.349527843986,-144.10225566601412
117,1240.945206009,1105.061620936708,1105.061620936708,-135.8835850722919
118,1218.9838924780001,1058.7393335683987,1058.7393335683987,-160.24455890960144
119,1234.269638686,1092.6224548271598,1092.6224548271598,-141.6471838588402
120,1245.296216591,1102.3964090282693,1102.3964090282693,-142.89980756273076
121,1249.2662289,1118.4951390834874,1118.4951390834874,-130.77108981651259
122,1215.588400404,1083.3583776137125,1083.3583776137125,-132.23002279028742
123,1234.528585109,1115.7944550158288,1115.7944550158288,-118.73413009317119
124,1239.329752367,1127.243071902012,1127.243071902012,-112.08668046498815
125,1247.022010943,1135.9192193508466,1135.9192193508466,-111.10279159215338
126,1220.2951224610001,1094.4686049005265,1094.4686049005265,-125.82651756047358
127,1199.618402413,1073.4020244265296,1073.4020244265296,-126.21637798647043
128,1231.350829186,1118.0802982173163,1118.0802982173163,-113.27053096868372
129,1220.1077378510001,1104.7417888242592,1104.7417888242592,-115.36594902674096
130,1208.691179224,1084.8270996007507,1084.8270996007507,-123.86407962324938
131,1205.241390158,1074.3359114907169,1074.3359114907169,-130.9054786672832
