iteration	A_coal_stats_total	A_num_coals_total	B_coal_stats_total	B_num_coals_total	C_coal_stats_total	C_num_coals_total	AB_coal_stats_total	AB_num_coals_total	root_coal_stats_total	root_num_coals_total	A__pop_coal_stats_total	A__pop_num_coals_total	B__pop_coal_stats_total	B__pop_num_coals_total	C__pop_coal_stats_total	C__pop_num_coals_total	AB__pop_coal_stats_total	AB__pop_num_coals_total	root__pop_coal_stats_total	root__pop_num_coals_total	
0	6.67175209747265718362996267387643456	69476	6.07190577199108982853203997365199029	59031	8.06766114753104268686456634895876050	74966	28.66428091962038138262869324535131454	144957	73.12296625077695466643490362912416458	225000	6.67175209747282860206496479804627597	69476	6.07190577199096370719644255586899817	59031	8.06766114753103735779404814820736647	74966	1.53254750137851258884325034159701318	16450	0.51496689634690029357955154409864917	5077	
1	6.70085332839533798221509641734883189	69433	6.28924243248376413362166204024106264	58674	8.38441853623552368901528097921982408	74948	29.30693969855345315522754390258342028	144961	75.12806910653482361794885946437716484	225000	6.70085332839548364347592723788693547	69433	6.28924243248353942448147790855728090	58674	8.38441853623571731191077560652047396	74948	1.65804121981619845271893609606195241	16854	0.51993433774819530768240838369820267	5091	
2	6.76689896893533049393454348319210112	69257	6.37380099718392845176140326657332480	58620	8.60355719276732244793493009638041258	74941	29.71714834965155560553284885827451944	144956	76.46253066685578403394174529239535332	225000	6.76689896893562448099146422464400530	69257	6.37380099718359094396191721898503602	58620	8.60355719276774344450586795574054122	74941	1.72368086454971547460957026487449184	17079	0.49423043145865130920668661929084919	5103	
3	6.74629458235996359860564552946016192	69329	6.32033346332053369565073808189481497	58667	8.66334879914514743859399459324777126	74921	29.58512923138772521269856952130794525	144951	76.40254424058652205076214158907532692	225000	6.74629458236034817986137568368576467	69329	6.32033346332018997060231413342989981	58667	8.66334879914582245419296668842434883	74921	1.73483709077204983906028701312607154	16955	0.46914361352872441246475432308216114	5128	
4	6.69675764535741979699423609417863190	69353	6.27608808558839825764152919873595238	58817	8.70650015020638790019802399910986423	74926	29.46802184346277186932638869620859623	144946	76.39919160392514640989247709512710571	225000	6.69675764535802553467647157958708704	69353	6.27608808558787867326600462547503412	58817	8.70650015020718726077575411181896925	74926	1.80953108936318862731695844558998942	16776	0.45748064491595441527493903777212836	5128	
5	6.70517154626250277971166724455542862	69401	6.26503142288361392076012634788639843	58871	8.73099507451993162021608441136777401	74919	29.60123501369556464624110958538949490	144918	76.76269714196718041421263478696346283	225000	6.70517154626257561034208265482448041	69401	6.26503142288365477696743255364708602	58871	8.73099507451963319226706516928970814	74919	1.93125178179061718353182186547201127	16646	0.46345974056949046371300937607884407	5163	
6	6.66442508262997623802448288188315928	69388	6.38247147111190749058096116641536355	58846	8.76714440475724465784423955483362079	74912	29.84763389858437676593894138932228088	144900	77.26378635037249864581099245697259903	225000	6.66442508262998956070077838376164436	69388	6.38247147111200341385028877994045615	58846	8.76714440475692846632682631025090814	74912	2.01571747847347637616621796041727066	16666	0.44659878166389538334257736096333247	5188	
7	6.62866423998545517548564021126367152	69377	6.23300667906614780378049545106478035	58740	8.75148447728385470156808878527954221	74892	29.48313884324304368078628613147884607	144903	76.59853865251126592283981153741478920	225000	6.62866423998552978247289502178318799	69377	6.23300667906634586756808857899159193	58740	8.75148447728381739807446138001978397	74892	2.04313409509937793373524073103908449	16786	0.41183533269238958851587995013687760	5205	
8	6.72012050337563238144866772927343845	69263	6.30385966665304930955926465685479343	58769	8.77659209955930741386964655248448253	74890	29.88706079281222827148667420260608196	144885	77.36123231488545570755377411842346191	225000	6.72012050337592725668400817085057497	69263	6.30385966665320118806903337826952338	58769	8.77659209955922925416871294146403670	74890	2.10767178531837862109910020080860704	16853	0.41227435840097487185218483318749350	5225	
9	6.70044044056123233588095899904146791	69254	6.30773658566533068636772441095672548	58731	8.82602953098987619284798711305484176	74895	29.88955219509169225489131349604576826	144868	77.53867326123139491755864582955837250	225000	6.70044044056155030375521164387464523	69254	6.30773658566542216874495352385565639	58731	8.82602953098978382229233830003067851	74895	2.14638064419894503132013596768956631	16883	0.39952209034116414887449764137272723	5237	
10	6.71172493200868824914095966960303485	69250	6.33819596658615314055396083858795464	58722	9.23359883078532206468480580952018499	74896	30.06707457940977690213912865146994591	144853	79.05156792015451117094926303252577782	225000	6.71172493200877529062609028187580407	69250	6.33819596658612915973662893520668149	58722	9.23359883078547838408667303156107664	74896	2.22448435048414117076731599809136242	16881	0.39912187893455880471904606565658469	5251	
11	6.74048022609408103988926086458377540	69168	6.23245795396337953775400819722563028	58759	9.50161848859415414381146547384560108	74876	29.94556048212115229034679941833019257	144813	79.59083948173677924842195352539420128	225000	6.74048022609416719319597177673131227	69168	6.23245795396349056005647071287967265	58759	9.50161848859392854649286164203658700	74876	2.28087297997728999376931824372150004	16886	0.39500016861811282353755814256146550	5311	
12	6.83467120686329732137664905167184770	69028	6.32011551313388064698983725975267589	58599	9.67705301987217580972355790436267853	74842	30.36627544871779349477947107516229153	144799	80.74124078361619183397124288603663445	225000	6.83467120686333107215659765643067658	69028	6.32011551313413288966103209531866014	58599	9.67705301987146171427411900367587805	74842	2.33323314869493936285493873583618551	17172	0.38154118168932449339791901365970261	5359	
13	6.75801632328528611992624064441770315	68963	6.24563291776864293325388644007034600	58574	9.72411339983989009283504856284707785	74830	30.10520301034931023309582087676972151	144779	80.45969410148164513429946964606642723	225000	6.75801632328527368542836484266445041	68963	6.24563291776900531004912409116514027	58574	9.72411339983910849582571245264261961	74830	2.37010838174644389297895941126625985	17242	0.39310579915141591333949122599733528	5391	
14	6.71985524991090876767430017935112119	68898	6.16355117128566121209587436169385910	58577	10.15555374255333198618700407678261399	74800	29.91088108931268152446136809885501862	144764	81.36314097524467570110573433339595795	225000	6.71985524991098426283997468999586999	68898	6.16355117128605556331422121729701757	58577	10.15555374255189313714708987390622497	74800	2.44243511561835369150230690138414502	17289	0.38093412941791504611188656781450845	5436	
15	6.76965528841318509023494698340073228	68877	6.28058792688190248298951701144687831	58391	10.22090679129315304862757329829037189	74783	30.32423739862416312007553642615675926	144724	82.28949215671710248898307327181100845	225000	6.76965528841309716057139667100273073	68877	6.28058792688190692388161551207304001	58391	10.22090679129320633933275530580431223	74783	2.51280172039694837948786698689218611	17456	0.38896874360611399801257448416436091	5493	
16	6.80923687080787942704773740842938423	68844	6.29789330287926585327795692137442529	58402	10.22887590739937557771099818637594581	74787	30.52927534905126805142572266049683094	144698	82.66958782964572094442701200023293495	225000	6.80923687080763961887441837461665273	68844	6.29789330287934845387098903302103281	58402	10.22887590739964558395058702444657683	74787	2.61359902111659847534497203014325351	17452	0.39467736481569681838976748622371815	5515	
17	6.68046245113705339235821156762540340	68864	6.19783179331690980973235127748921514	58370	10.31780835250340544462233083322644234	74752	30.04180377692826198199327336624264717	144670	82.10317733529076633658405626192688942	225000	6.68046245113688641481530794408172369	68864	6.19783179331705014192266389727592468	58370	10.31780835250349603882114024600014091	74752	2.61725296574020038775643115513958037	17436	0.40421836331672228448397277134063188	5578	
18	6.72443009487001663870842094183899462	68667	6.19083727214250423287467128830030560	58180	10.30146432378485421565983415348455310	74733	30.22071003222621143891046813223510981	144638	82.37558981287705250906583387404680252	225000	6.72443009486968268362261369475163519	68667	6.19083727214265167049234150908887386	58180	10.30146432378530541029704181710258126	74733	2.72913550335307775185356149449944496	17791	0.40994081067314686039892990265798289	5629	
19	6.81005673802719435627750499406829476	68578	6.28266577552703076037232676753774285	58072	10.32297752938540291722802066942676902	74737	30.64735675676100257192047138232737780	144642	83.12943252078424904993880772963166237	225000	6.81005673802678312966918383608572185	68578	6.28266577552714977628056658431887627	58072	10.32297752938577595216429472202435136	74737	2.77830943134233843139213604445103556	17992	0.40455035440849251848760559369111434	5621	
20	6.66782562960657632089578328304924071	68581	6.20407082915378715881615789839997888	58131	10.32112091871870518389187054708600044	74731	30.21260829614086773631242976989597082	144609	82.45396266643662386286450782790780067	225000	6.66782562960657099182526508229784667	68581	6.20407082915370367004470608662813902	58131	10.32112091871866077497088554082438350	74731	2.81590277665752264368848045705817640	17897	0.41297712720646639894539475790224969	5660	
21	6.68760643342674754308063711505383253	68419	6.15749720359937047220455497154034674	58040	10.59529980664844117654865840449929237	74710	30.25059580329415709343265916686505079	144580	83.28385875071434440997109049931168556	225000	6.68760643342681326828369492432102561	68419	6.15749720359932162239147146465256810	58040	10.59529980664856907424109522253274918	74710	2.92905100581204802523416219628416002	18121	0.41074229982342119749105791015608702	5710	
22	6.82723140359386526654361659893766046	68269	6.24143420568410522975000276346690953	57854	10.66881645046824367284443724201992154	74686	30.91638104261372888004189007915556431	144534	84.65843198879063891126861562952399254	225000	6.82723140359398605880869581596925855	68269	6.24143420568405016268798135570250452	57854	10.66881645046843019031257426831871271	74686	3.12326737986428915050396426522638649	18411	0.42956522468629881883472876324958634	5780	
23	6.72417844082903837232834121095947921	68235	6.16495012099649208892060414655134082	57831	10.94869102765731838644569506868720055	74670	30.70619259672218603895998967345803976	144461	85.14354533795811619256710400804877281	225000	6.72417844082912274927821272285655141	68235	6.16495012099619099643632580409757793	57831	10.94869102765775537022818753030151129	74670	3.29791589864069756288245116593316197	18395	0.43337060098877389080485045269597322	5869	
24	6.74892824487563292024105976452119648	68189	6.20318678535886824931822047801688313	57679	11.23125347137293239541122602531686425	74643	30.98700472740286215866944985464215279	144398	86.38022918458996457502507837489247322	225000	6.74892824487562936752738096402026713	68189	6.20318678535843925914150531752966344	57679	11.23125347137340668268734589219093323	74643	3.45348712195183082940275198780000210	18530	0.43933487342354743399042149576416705	5959	
25	6.79661908624721888827480142936110497	68042	6.27572457247504722488429251825436950	57647	11.61510324068624377957803517347201705	74619	31.26899942867528281453814997803419828	144369	87.90036344583376148875686340034008026	225000	6.79661908624718957838695132522843778	68042	6.27572457247500281596330751199275255	57647	11.61510324068644806061456620227545500	74619	3.48753518390109507052443404973018914	18680	0.44752912213581574896181791700655594	6012	
26	6.69408236977642356890783048584125936	68053	6.17056607126536604823741072323173285	57576	11.76686767793945165294644539244472980	74610	30.92304586979287961412410368211567402	144335	87.75523556116820600436767563223838806	225000	6.69408236977642179255099108559079468	68053	6.17056607126506939664523088140413165	57576	11.76686767793903598544602573383599520	74610	3.58733382233786590731483556737657636	18706	0.44490945285167671219284102335222997	6055	
27	6.85059177586766754330938056227751076	67858	6.26713052310735374561545540927909315	57483	11.75158722248787768194233649410307407	74586	31.63418350493204656004309072159230709	144277	89.02883633045881595080572878941893578	225000	6.85059177586757517275373174925334752	67858	6.26713052310700913238861176068894565	57483	11.75158722248760589934590825578197837	74586	3.78076007415554071755536824639420956	18936	0.46772456844458221159044342130073346	6137	
28	6.82187957720738413769367980421520770	67950	6.28901077284602116890255274483934045	57431	11.99405593130143543589838373009115458	74575	31.73891515108749672435806132853031158	144200	89.87828638653418522608262719586491585	225000	6.82187957720729176713803099119104445	67950	6.28901077284572096459669410251080990	57431	11.99405593130128089285335590830072761	74575	3.89020908550087707311604390270076692	18819	0.47064109134440523796172328729880974	6225	
29	6.71956138628893828723676051595248282	67834	6.22064852356066655403310505789704621	57431	12.28136933011651521496787609066814184	74555	31.56680144516579744617956748697906733	144090	90.44797199776225227196846390143036842	225000	6.71956138628869936724186118226498365	67834	6.22064852356037256697618431644514203	57431	12.28136933011606934940118662780150771	74555	4.07970610691788326818141285912133753	18825	0.48945771430774426269394439259485807	6355	
30	6.71250744430999990441932823159731925	67808	6.18199945855126919980193633818998933	57304	12.36684612431121266240552358794957399	74528	31.69308595090465630050857726018875837	144006	90.92920993582765731844119727611541748	225000	6.71250744431019796820692135952413082	67808	6.18199945855128785154875004081986845	57304	12.36684612431111496277935657417401671	74528	4.31108240693404809462663251906633377	18894	0.51943306668824529293004843566450290	6466	
31	6.69554945595266737257134082028642297	67691	6.15581549087649282370193759561516345	57251	12.86256363248825707046307798009365797	74493	31.70397513978145553892318275757133961	143934	92.25935848752988022170029580593109131	225000	6.69554945595294537241670695948414505	67691	6.15581549087659407604178340989165008	57251	12.86256363248828904488618718460202217	74493	4.41803812728784528474079706938937306	18992	0.53600560320786194701270233053946868	6573	
32	6.78462926261293919338868363411165774	67666	6.23102033995671344968059202074073255	57027	13.38932499450901048021478345617651939	74432	32.12878936244521099752091686241328716	143911	94.36270700596659821712819393724203110	225000	6.78462926261320475873617397155612707	67666	6.23102033995680404387940143351443112	57027	13.38932499450909752169991406844928861	74432	4.48668972578596836342512688133865595	19218	0.54306959409481669887043153721606359	6657	
33	6.83877919695808245137413905467838049	67472	6.19667652645659305932213101186789572	57038	13.48654970411671882857262971810996532	74431	32.27022061732949964607541915029287338	143884	94.88528439559524940705159679055213928	225000	6.83877919695830360780064438586123288	67472	6.19667652645653621590327020385302603	57038	13.48654970411670106500423571560531855	74431	4.60079373937672375660667967167682946	19374	0.56110867214405135694477166907745413	6685	
34	6.92751939683124096092114996281452477	67388	6.25091687316345723246513443882577121	57117	13.45571245491707479402521130396053195	74378	32.73375162067927846010206849314272404	143775	95.63604320691963778244826244190335274	225000	6.92751939683152428983703430276364088	67388	6.25091687316346078517881323932670057	57117	13.45571245491706235952733550220727921	74378	4.77437799810116469956255969009362161	19270	0.56545217689265903082684872060781345	6847	
35	6.73935897442779463517581461928784847	67404	6.18182961241414918873715578229166567	57127	13.77379589563664730178516037994995713	74384	32.30276157730909147858255892060697079	143773	95.74973808159275279194844188168644905	225000	6.73935897442764808573656409862451255	67404	6.18182961241423356568702729418873787	57127	13.77379589563661355100521177519112825	74384	4.88033103379768373741853793035261333	19242	0.57455427153231652948051078055868857	6843	
36	6.87061227920947104053084331098943949	67197	6.28522200393785190897233405848965049	56921	14.08963128694284705488826148211956024	74361	32.90359164978823969249788206070661545	143696	97.65573955112408555123693076893687248	225000	6.87061227920938577540255209896713495	67197	6.28522200393797536577267237589694560	56921	14.08963128694300515064696810441091657	74361	4.99020025045549875386541316402144730	19578	0.59468928987076430381364389177178964	6943	
37	6.95624921404277785086378571577370167	67174	6.25821912149150527682195388479158282	56927	14.22812683521429910626920900540426373	74337	33.09947276346424871462659211829304695	143658	98.33823062332348285963234957307577133	225000	6.95624921404272900105070220888592303	67174	6.25821912149161363458915730006992817	56927	14.22812683521451226908993703546002507	74337	5.05630363406762395328541970229707658	19557	0.59875104712062376943748631674679928	7005	
38	6.95393880450572421381139065488241613	67195	6.27978614592319850373769440921023488	56866	14.18180277967640279257466318085789680	74275	33.24879685039977772476049722172319889	143620	98.50785555984113273098046192899346352	225000	6.95393880450582013708071826840750873	67195	6.27978614592340278477422543801367283	56866	14.18180277967663016625010641291737556	74275	5.17492995205569350503083114745095372	19559	0.60860243701460547960380154108861461	7105	
39	6.93807752658717458160708702052943408	67252	6.24594714065017964088610824546776712	57009	14.25345660094387412186733854468911886	74277	33.08029235717745564215874765068292618	143637	98.41553610181708222626184578984975815	225000	6.93807752658726428762747673317790031	67252	6.24594714065043632444940158165991306	57009	14.25345660094393096528619935270398855	74277	5.11714388890674509724476592964492738	19376	0.62532095781251118005172884295461699	7086	
40	6.80363748730514572571337339468300343	67253	6.18998144406241657122791366418823600	56919	14.33492243814531086343322385801002383	74277	32.78842432137258811053470708429813385	143591	98.17279144455454797935090027749538422	225000	6.80363748730538642206511212862096727	67253	6.18998144406224604097133124014362693	56919	14.33492243814542455027094547403976321	74277	5.23113790989788807195282061002217233	19419	0.65672502568693869040572508311015554	7132	
41	6.78190420302646490569031811901368201	67001	6.12735414779671039298136747675016522	56763	14.81843626989086715184384956955909729	74199	32.66041201595552934122679289430379868	143587	99.09384595727436817469424568116664886	225000	6.78190420302679886077612536610104144	67001	6.12735414779651943462113194982521236	56763	14.81843626989106255109618359711021185	74199	5.28635708058085551641624988405965269	19823	0.65657108153521437365895963012007996	7214	
42	6.87920983825201037831220673979260027	66891	6.21938012161443332104227010859176517	56564	15.29340244971377060778650047723203897	74124	33.14586131421988568490633042529225349	143553	101.12599470463861450753029203042387962	225000	6.87920983825227683183811677736230195	66891	6.21938012161417752565739647252485156	56564	15.29340244971405127216712571680545807	74124	5.37231291999137372528139167116023600	20098	0.67687066824953245891549613588722423	7323	
43	6.87242539083703363189670199062675238	66944	6.25198745102317587907236884348094463	56530	15.24088158795540337564489163924008608	74107	33.30413856705837361005251295864582062	143499	101.30359363211988465991453267633914948	225000	6.87242539083724768289584972080774605	66944	6.25198745102296982167899841442704201	56530	15.24088158795590075555992370937019587	74107	5.47275039678376540308590847416780889	20025	0.69338110235182504048623286507790908	7394	
44	6.83201981473813546585915901232510805	67020	6.25189841524071265865813984419219196	56422	15.46251977693884782638633623719215393	74072	33.26560969391263000716207898221910000	143462	101.85387241364361443629604764282703400	225000	6.83201981473832464786255513899959624	67020	6.25189841524028899755194288445636630	56422	15.46251977693915691247639188077300787	74072	5.53581633841276765650718516553752124	20020	0.72497967598731649641052854349254631	7466	
45	6.75305025270579228902079194085672498	66844	6.12238796047892019913660988095216453	56438	15.40997317994327708845503366319462657	74050	33.01293789336427408898089197464287281	143386	101.34493771920335802860790863633155823	225000	6.75305025270565373318731872132048011	66844	6.12238796047909961117738930624909699	56438	15.40997317994303017485435702838003635	74050	5.71564149552531919340481181279756129	20104	0.75244153673220781630703868358978070	7564	
46	6.89743151442048763044567749602720141	66635	6.21090047740670936349260955466888845	56382	15.83513973465554514064024260733276606	73971	33.89389751420205243448435794562101364	143227	104.01889595559607926134049193933606148	225000	6.89743151442031443565383597160689533	66635	6.21090047740684791932608277420513332	56382	15.83513973465518098748816555598750710	73971	6.12848659740572276888315172982402146	20210	0.79322294027323747567237433031550609	7802	
47	6.86825105999496177133778473944403231	66742	6.23686326727848250328634094330482185	56284	15.92505713605652140074653289048001170	73926	33.98791143024843108833010774105787277	143099	104.43751053581692644911527168005704880	225000	6.86825105999484630814322372316382825	66742	6.23686326727858109109092765720561147	56284	15.92505713605654626974228449398651719	73926	6.24070487444951815803051431430503726	20073	0.83411169718736166700523426698055118	7975	
48	6.91633516791439273418973243678919971	66557	6.23140755803925383560226691770367324	56288	15.91679185070732671647419920191168785	73921	34.12786052203644970859386376105248928	143130	104.71042415549003123942384263500571251	225000	6.91633516791438740511921423603780568	66557	6.23140755803911527976879369816742837	56288	15.91679185070728586026689299615100026	73921	6.27876347521649602612114904331974685	20285	0.84622521703703446060984560972428881	7949	
49	6.86516008450083781156081386143341660	66626	6.21079873152264738678240973968058825	56326	15.81296952441249636933662259252741933	73882	34.11702417650504770563202328048646450	143055	104.44632565602667284565541194751858711	225000	6.86516008450095416293379457783885300	66626	6.21079873152257277979515492916107178	56326	15.81296952441250525112081959377974272	73882	6.43103680336077765389291016617789865	20103	0.87028350959865730107622994182747789	8063	
50	6.73730310663405962401384385884739459	66761	6.12345670129390295954863177030347288	56303	15.96546578409916783414246310712769628	73859	33.83536610940186761808945448137819767	142902	104.41965138236466259513690602034330368	225000	6.73730310663420794980993377976119518	66761	6.12345670129390384772705147042870522	56303	15.96546578409902750195215048734098673	73859	6.58485226879401075450459757121279836	19838	0.91714175357105331976015349937370047	8239	
51	6.73741975310659046982664222014136612	66611	6.05784743432548999919617926934733987	56225	15.98339101534401862636514124460518360	73868	33.79279125404053729653242044150829315	142823	104.34194482700173978173552313819527626	225000	6.73741975310656560083089061663486063	66611	6.05784743432567385212905719527043402	56225	15.98339101534365802592674299376085401	73868	6.70136988211012063487714840448461473	19987	0.93776573358880699338158137834398076	8309	
52	6.72207842555550705299083347199484706	66256	6.06167536141381280145878918119706213	55812	15.92276747462589092663165502017363906	73847	34.19645320547418521073268493637442589	142693	105.03986567832808418643253389745950699	225000	6.72207842555534007544792984845116735	66256	6.06167536141398777260747010586783290	55812	15.92276747462559427503947517834603786	73847	7.13729215029393593283657537540420890	20625	0.97874341388948893349919444517581724	8460	
53	6.71498013205197707975457888096570969	66158	6.08687645386958653404008146026171744	55707	15.93684649625286198215690092183649540	73845	34.47190836596073637565496028400957584	142646	105.57466892515263623408827697858214378	225000	6.71498013205164578920403073425404727	66158	6.08687645386968512184466817416250706	55707	15.93684649625267013561824569478631020	73845	7.38384390261528711363325783167965710	20781	1.01014695256987585558761111315106973	8509	
54	6.75667077329093501703027868643403053	66052	6.15588123263623110403841565130278468	55682	16.03285047101615035103350237477570772	73798	34.82703242367491469622109434567391872	142551	106.45094945020396437485032947733998299	225000	6.75667077329052290224353782832622528	66052	6.15588123263600905943349061999469995	55682	16.03285047101608284947360516525804996	73798	7.50436597702123808772967095137573779	20817	1.06240886365945863545334759692195803	8651	
55	6.72550648718312071849823041702620685	65987	6.06994848440916801024513915763236582	55696	16.17464415167399138795190083328634501	73772	34.60819556394105234176095109432935715	142529	106.47445229011468370572401909157633781	225000	6.72550648718306742779304840951226652	65987	6.06994848440918133292143465951085091	55696	16.17464415167345492818640195764601231	73772	7.53087613061985994278302314341999590	20846	1.10325610167385645965509866073261946	8699	
56	6.63461616761324091129381486098282039	65883	6.02265446701263851281282768468372524	55425	16.07573215164531177379103610292077065	73749	34.35931150855053317627607611939311028	142475	105.77954416792037761751998914405703545	225000	6.63461616761334216363366067525930703	65883	6.02265446701276641050526450271718204	55425	16.07573215164446622793548158369958401	73749	7.59644572762178693636769821750931442	21167	1.14214188875969813175004219374386594	8776	
57	6.75532629558706787520350189879536629	65771	6.13630365704958169459359851316548884	55365	16.26830591129566272456941078417003155	73697	35.30007442007536866412920062430202961	142290	108.02112904716808827743079746142029762	225000	6.75532629558727215624003292759880424	65771	6.13630365704966251882979122456163168	55365	16.26830591129567693542412598617374897	73697	8.04700146740211685880694858497008681	21154	1.19609975712548344262131649884395301	9013	
58	6.65118052098563072860315514844842255	65776	6.02647811946765266100101143820211291	55376	16.20973737397677538751850079279392958	73682	35.22189553926208560596933239139616489	142132	107.76939481563654510409833164885640144	225000	6.65118052098601530985888530267402530	65776	6.02647811946777078873083155485801399	55376	16.20973737397702052476233802735805511	73682	8.40866238657181774840410071192309260	20980	1.22602114675471440818910195957869291	9186	
59	6.73899910434145699156260889139957726	65631	6.00905655355130274841712889610789716	55314	16.28100757771374773597017338033765554	73619	35.58969402208521870534241315908730030	141960	108.63641514217628980532026616856455803	225000	6.73899910434199878039862596779130399	65631	6.00905655355147505503055072040297091	55314	16.28100757771351325686737254727631807	73619	8.64639304364045635509228304727002978	21015	1.28988933624670543132140210218494758	9421	
60	6.72272228663015702920802141306921840	65584	6.04987804561814357384719187393784523	55320	16.14750522742742333548449096269905567	73633	35.71769800501684954951997497119009495	141776	108.58400479738395461026811972260475159	225000	6.72272228663011528482229550718329847	65584	6.04987804561813913295509337331168354	55320	16.14750522742742688819816976319998503	73633	8.72852227487796916705065086716786027	20872	1.35023407437478826231824768910882995	9591	
61	6.65803324472986624016357382060959935	65588	6.02435108758398563111313706031069160	55228	16.44396664833566035213152645155787468	73517	35.49347106313509669917038991115987301	141804	108.93702311152802053584309760481119156	225000	6.65803324472970814440486719831824303	65588	6.02435108758395010397634905530139804	55228	16.44396664833642773828614735975861549	73517	8.67821955477074702400841488270089030	20988	1.43652353482524208772019846946932375	9679	
