Sample	theta_A	theta_B	theta_C	theta_AB	theta_root	tau_AB	tau_root	Data-ld-ln	Full-ld-ln	Gene-ld-ln
0	0.90876981210359020213473968397011049	1.05145593968699468945260377950035036	1.07552813127220892042146260791923851	0.85675305858244854562144610099494457	0.98543708335142421450569827356957830	0.48754951634661314319174607589957304	2.92638068098890968826708558481186628	-1133.20303762016510518151335418224334717	-15334.40846834271724219433963298797607422	4002.37809214106528088450431823730468750
1	0.86943771904942634964896797100664116	1.10417910385369477666017701267264783	1.11423326222221019676794639963191003	0.80925828130774613011766405179514550	0.95292974704313593292681616730988026	0.48905120231132809260898852699028794	2.93739181416973860194730150396935642	-1084.83661971986907701648306101560592651	-14889.47054550168832065537571907043457031	4041.10434830299709574319422245025634766
2	0.88952189038729434500396564544644207	1.03100285427178972597062056593131274	1.10976224132029921420894424954894930	0.74911756692285569325662208939320408	0.91463815058648501032934063914581202	0.49563667466926453197828550401027314	2.90648608752596215865082740492653102	-1057.38823061725565821689087897539138794	-14593.56652620951354037970304489135742188	4019.68422003695741295814514160156250000
3	0.88595589728413370878001842356752604	0.99338187319059489954753416895982809	1.10531332944813232010972114949254319	0.70546398936018051006868745389510877	0.93328625674133691703104886983055621	0.48605327861087010976604005918488838	2.85365112051705160922665527323260903	-1048.25517653128827078035101294517517090	-14478.36897843298174848314374685287475586	3995.81721312009904067963361740112304688
4	0.86207737616819668513556962352595292	0.98010024522256045109713795682182536	1.15568565724213478951298839092487469	0.69775199659291353704304583516204730	0.88260937175728726433732163059175946	0.48764668547851580671093074670352507	2.87534694113200872678248742886353284	-1046.07083833560818675323389470577239990	-14466.94356496118052746169269084930419922	4006.23518160509775043465197086334228516
5	0.85969285886159296783404215602786280	1.01750392342713280591226521210046485	1.15248901558690852731103859696304426	0.67120865804864116022088182944571599	0.83446367306822788467712825877242722	0.48629784836345324450235239055473357	2.89822606589361431161933069233782589	-1042.66103574340195336844772100448608398	-14417.63609976434963755309581756591796875	3991.02574233033010386861860752105712891
6	0.90983284120233576253156115853926167	1.05619144283178068022266415937338024	1.20603860697783926703152701520593837	0.64052680609254319943346445143106394	0.86290171001303006548255325469654053	0.49778554309800315813561155664501712	2.86982386314435533591904459171928465	-1036.72090322372082482615951448678970337	-14384.21158676357299555093050003051757812	4017.00255452636520203668624162673950195
7	0.95571249933782909113944015189190395	1.01144189795722705405012220580829307	1.21544133312777224986689361685421318	0.62693611239356294984048645346774720	0.83242098517119622602677964096073993	0.50312352616768685198422872417722829	2.84833952669077516972606645140331239	-1036.67197776212537974060978740453720093	-14372.29726484631282801274210214614868164	4005.57748722505857585929334163665771484
8	0.99185143378096107813490789339994080	1.05613573248930525672051317087607458	1.21981174109907919422823852073634043	0.66424255708376223061861765017965809	0.85924469581914297844349448496359400	0.50493262629402280161627913912525401	2.88390394966473806448448158334940672	-1035.50270059389686139184050261974334717	-14374.69905995453336799982935190200805664	4019.67205401556384458672255277633666992
9	1.02340818750064266318133832101011649	1.08284858892711022271271303907269612	1.18301655234592550947070321853971109	0.64479185399048355442630509060109034	0.90493936659432461233620870189042762	0.50085186917438728748663834267063066	2.91711888592611767734297245624475181	-1039.94195166468102797807659953832626343	-14372.83510542888325289823114871978759766	3973.41558878207251837011426687240600586
10	1.05223346822971386416156747145578265	1.03562266981363304552132831304334104	1.20161892250691448857935483829351142	0.65959729449576132154220431402791291	0.88002932371077557949234915213310160	0.50791206942367961296724843123229221	2.94050731379060792392010625917464495	-1041.62107435083839845901820808649063110	-14359.16800753481948049739003181457519531	3942.95726402643595065455883741378784180
