iteration	A_coal_stats_total	A_num_coals_total	B_coal_stats_total	B_num_coals_total	C_coal_stats_total	C_num_coals_total	D_coal_stats_total	D_num_coals_total	AB_coal_stats_total	AB_num_coals_total	ABC_coal_stats_total	ABC_num_coals_total	root_coal_stats_total	root_num_coals_total	A__pop_coal_stats_total	A__pop_num_coals_total	B__pop_coal_stats_total	B__pop_num_coals_total	C__pop_coal_stats_total	C__pop_num_coals_total	D__pop_coal_stats_total	D__pop_num_coals_total	AB__pop_coal_stats_total	AB__pop_num_coals_total	ABC__pop_coal_stats_total	ABC__pop_num_coals_total	root__pop_coal_stats_total	root__pop_num_coals_total	D->B__mig_stats	D->B__num_migs	
0	0.00908452550468816580342412692061771	91	0.00916024547123673628379325606374550	83	0.01632246597130885754078910565567639	190	0.07053019926856479715482350911770482	592	0.09704944893932243576983864841167815	575	0.60487460502606393841773524400196038	3856	1.63175487413939834802079076325753704	7000	0.00908452550468781018511155167516335	91	0.00916024547123638240020415679509824	83	0.01632246597130881243797873025869194	190	0.07053019926856474164367227785987779	592	0.04230877778606233208247289212522446	401	0.36114216071968396892799546549213119	3091	0.30392271114980184965048692902200855	2552	0.00935122033527876865555139573871202	0	
1	0.00910900057652848718636739988596673	97	0.00914717966259262493800008542166324	98	0.01700704494384626744296618028329249	140	0.07520091407250559245589727197511820	566	0.09720236262020054418542258645175025	591	0.62722838424208426921779846452409402	3852	1.70158733941564133118617974105291069	7000	0.00910900057652821830422862348086710	97	0.00914717966259236646420216487740618	98	0.01700704494384644438476072991761612	140	0.07520091407250723003485859408101533	566	0.04240919406427810789406152025549090	396	0.37993189471850641325545439030975103	3121	0.31646871283808675201498772366903722	2582	0.00936454882550435789567710997971517	0	
2	0.01068645799021192797917390038264784	110	0.01074028343966475229631640786465141	85	0.01702881873432511919408405276499252	141	0.07433626454630820612479169540165458	558	0.09820919975565220449986725270719035	585	0.61341828074162607631336641134112142	3903	1.66528090070268985911638992547523230	7000	0.01068645799021115602722709070349083	110	0.01074028343966399769160435795356534	85	0.01702881873432533429979507388907223	141	0.07433626454631012125950917379668681	558	0.03390866867230906550600977311660245	390	0.36449140453429063057910752831958234	3177	0.30568138475937178810681871254928410	2539	0.01100890271815607029948225203952461	3	
3	0.01061386571426151288755068691216366	113	0.01065954624893998038681619533463163	100	0.01649482456574945590799252670421993	179	0.07348362885415532508304181646963116	569	0.09793403300063009686571291467771516	555	0.61905304630274515798049606019048952	3867	1.68937032799403974436813768988940865	7000	0.01061386571426077216062644481553434	113	0.01065954624893925353767976105245907	100	0.01649482456574972652485477908612665	179	0.07348362885415708756209340890563908	569	0.03408151713136202409781816413669731	342	0.37303988479881761142209484205523040	3133	0.32276865102716784106107184015854727	2564	0.01096853412279365051762436422677638	2	
4	0.01056859476587347981824116516236245	116	0.01068337507790343386682163639989085	92	0.01614959353816600162723204903159058	155	0.07348272300293130776527306124989991	572	0.09468167360701033874459398020917433	557	0.61365663700054984275311653618700802	3876	1.69411977473374508740278088225750253	7000	0.01056859476587278939829772639313887	116	0.01068337507790275385521905349150984	92	0.01614959353816670939441024756888510	155	0.07348272300293311187768807712927810	572	0.03088940413194939463292776338221302	349	0.37490219019313331116904919326771051	3164	0.33469948572213881199388652021298185	2552	0.01098044853727535991039232499133504	1	
5	0.01080128344145327851100191196564992	91	0.01080107661664524328071212977420146	93	0.01653753137756352326048769896260637	133	0.07706417555460355617302781183752813	546	0.09634487357707896548753012666566065	507	0.64212998894485628920136832675780170	3874	1.77275909776148132834805437596514821	7000	0.01080128344145356820982240009243469	91	0.01080107661664553124480914192417913	93	0.01653753137756355101606331459151988	133	0.07706417555460579049686486996506574	546	0.03149844930356660022141568333609030	323	0.39868855823837806573450848190987017	3234	0.35517990259735537916796488389081787	2580	0.01106342701659828245408512259473355	3	
6	0.01075451609359938213994478672930200	99	0.01069534019538718148945033448171671	106	0.01608134683556095012590958504006267	165	0.07939820573095031364108109528388013	522	0.09539452795321623490565343672642484	550	0.62358348889909698264943926915293559	3854	1.77130390058656139729009737493470311	7000	0.01075451609359967010404179887927967	99	0.01069534019538746424937691870127310	106	0.01608134683556099522871996043704712	165	0.07939820573095271449837184718489880	522	0.03099980671081005445532952080611722	345	0.38385605524480886918681221686711069	3139	0.37184815174310115182265690236818045	2624	0.01101055880596926717096550873975502	3	
7	0.01064098554452493072819407871065778	113	0.01077098233732272543339281156704601	106	0.01632639279600518050772350875377015	142	0.08326853842396365890099474427188397	522	0.09519958090684156604144305902082124	559	0.65425943789466300959389855051995255	3820	1.89062855828461229279469080211129040	7000	0.01064098554452499838240964180613446	113	0.01077098233732277920982056684806594	106	0.01632639279600508683265580600618705	142	0.08326853842396700344785642755596200	522	0.03092296893405713231750553404708626	340	0.41374797618301117907435582310426980	3119	0.41789567684202066910614803418866359	2658	0.01105352615614340477945276575155731	2	
8	0.01084716584253331110587748042917156	95	0.01071583684466501443233177326419536	107	0.01728204536499989771303198438090476	142	0.08322939156547524974794072250006138	540	0.10076874932558586850372961407629191	506	0.66139241349299937589023556938627735	3901	1.86842056602697170752946931315818802	7000	0.01084716584253362162137968027764146	95	0.01071583684466530066170530943736594	107	0.01728204536500150753641769085788837	142	0.08322939156547838612798528856728808	540	0.03604738178999859765649915743779275	304	0.40686731879494875130376385641284287	3253	0.38732091446476230034434706794854719	2559	0.01103941095594876929675276500120162	0	
9	0.01083057980561813460340658821223769	99	0.01084054002775229792743250101239028	92	0.01738876016769633908731762517163588	127	0.08450625719426228810160495186210028	534	0.10110081979292230569544841500828625	528	0.67625824612466944874000773779698648	3881	1.90822963676077428374355804407969117	7000	0.01083057980561811031727792453693837	99	0.01084054002775224762045169768498454	92	0.01738876016769775462167402224622492	127	0.08450625719426482773677378190768650	534	0.03606140700643542529313378963706782	337	0.42068753285546545139794716305914335	3226	0.39654381302871694048306494551070500	2585	0.01111852724381326776303957615255058	2	
