iter	coalStatFlat	numCoalFlat	migStatFlat	numMigFlat	logPrior	logLikelihood	dataLogLikelihood	genealogyLogLikelihood
      0	 1.705610	     7000	 0.485138	        0	74.276079	-1346052.847938	-1406959.809003	60906.961065
      1	 1.677248	     7000	 0.479830	        0	74.243178	-1343741.511438	-1405092.316853	61350.805414
      2	 1.699763	     7000	 0.490039	        2	74.108242	-1342632.873483	-1403874.654944	61241.781462
      3	 1.749275	     7000	 0.514672	        1	73.815336	-1342480.946588	-1403399.684092	60918.737504
      4	 1.748764	     7000	 0.511517	        2	73.572695	-1342193.656122	-1403200.955152	61007.299030
      5	 1.789314	     7000	 0.528117	        3	73.485157	-1342261.657194	-1403006.171313	60744.514119
      6	 1.786407	     7000	 0.532566	        0	73.428587	-1342028.038501	-1402766.595805	60738.557304
      7	 1.898690	     7000	 0.567337	        0	73.252560	-1342521.082865	-1402673.924166	60152.841301
      8	 1.865894	     7000	 0.558789	        2	73.145159	-1342212.912933	-1402619.838812	60406.925878
      9	 1.917000	     7000	 0.577778	        3	73.066448	-1342432.813881	-1402538.979338	60106.165457
     10	 1.999708	     7000	 0.616451	        5	72.941913	-1342749.595761	-1402443.502371	59693.906610
     11	 1.992340	     7000	 0.609103	        2	72.991064	-1342702.986456	-1402401.162561	59698.176105
     12	 1.983562	     7000	 0.601830	        2	72.838880	-1342574.032773	-1402437.256479	59863.223707
     13	 2.016262	     7000	 0.611669	        2	72.888631	-1342800.789942	-1402394.894074	59594.104132
     14	 2.035245	     7000	 0.632025	        2	72.796743	-1342888.103486	-1402333.835255	59445.731769
     15	 2.055272	     7000	 0.634708	        2	72.647623	-1342921.980127	-1402279.002872	59357.022745
     16	 2.075681	     7000	 0.631663	        1	72.357592	-1343136.754435	-1402342.688598	59205.934164
     17	 2.073385	     7000	 0.622730	        0	72.109714	-1343065.743220	-1402314.644818	59248.901599
     18	 2.138476	     7000	 0.644157	        0	72.174883	-1343410.824380	-1402323.939579	58913.115199
     19	 2.095425	     7000	 0.630252	        0	72.181212	-1343103.032866	-1402244.549409	59141.516542
     20	 2.165933	     7000	 0.655075	        3	72.046717	-1343428.431362	-1402247.830019	58819.398657
     21	 2.163956	     7000	 0.651447	        3	71.988088	-1343381.144904	-1402241.071395	58859.926490
     22	 2.214459	     7000	 0.665401	        3	71.968986	-1343614.500645	-1402231.785181	58617.284536
     23	 2.251646	     7000	 0.671994	        4	71.834920	-1343727.942523	-1402201.868380	58473.925857
     24	 2.254490	     7000	 0.681460	        1	71.840964	-1343805.253939	-1402232.215982	58426.962043
     25	 2.258090	     7000	 0.676253	        0	71.629813	-1343696.620751	-1402201.459632	58504.838881
     26	 2.324441	     7000	 0.702234	        0	71.567445	-1343975.538586	-1402194.880173	58219.341587
     27	 2.311535	     7000	 0.701086	        1	71.496322	-1343882.805514	-1402155.779451	58272.973936
     28	 2.335949	     7000	 0.704054	        2	71.259470	-1343938.727669	-1402186.830779	58248.103111
     29	 2.397716	     7000	 0.726786	        1	71.102074	-1344198.317839	-1402173.800394	57975.482554
     30	 2.480172	     7000	 0.755775	        2	70.979639	-1344486.545085	-1402135.358726	57648.813640
     31	 2.574700	     7000	 0.782759	        0	70.765023	-1344737.764150	-1402132.646509	57394.882359
     32	 2.647257	     7000	 0.813649	        4	70.552279	-1344815.332063	-1402069.626551	57254.294488
     33	 2.651926	     7000	 0.820922	        3	70.401407	-1344858.236791	-1402042.753062	57184.516271
     34	 2.669338	     7000	 0.818344	        1	70.052532	-1344878.911040	-1402064.080988	57185.169948
     35	 2.683062	     7000	 0.817913	        3	69.856989	-1344868.020162	-1401996.311852	57128.291690
     36	 2.691711	     7000	 0.826872	        1	69.636932	-1344870.422649	-1401961.107408	57090.684758
     37	 2.768339	     7000	 0.849755	        0	69.332836	-1345245.789942	-1402017.458049	56771.668107
     38	 2.872815	     7000	 0.878817	        0	68.999508	-1345500.127653	-1402019.492316	56519.364663
     39	 2.959539	     7000	 0.910005	        4	68.699619	-1345722.607475	-1402011.756045	56289.148569
     40	 2.949327	     7000	 0.907254	        4	68.558219	-1345656.976289	-1401947.862179	56290.885890
     41	 3.032255	     7000	 0.945455	        4	68.254075	-1345867.434140	-1401941.716884	56074.282744
     42	 2.968899	     7000	 0.926259	        4	67.975001	-1345651.990999	-1401992.791967	56340.800968
     43	 3.060276	     7000	 0.953263	        2	67.860827	-1345989.908063	-1401963.988516	55974.080453
     44	 3.043136	     7000	 0.945209	        1	67.906216	-1345968.689085	-1401964.733756	55996.044672
     45	 3.061042	     7000	 0.942457	        1	67.890456	-1345974.982003	-1401942.389153	55967.407149
     46	 3.133450	     7000	 0.982292	        3	67.679991	-1346119.922263	-1401926.201804	55806.279541
     47	 3.143414	     7000	 0.980137	        2	67.571353	-1346147.843729	-1401945.779260	55797.935532
     48	 3.138305	     7000	 0.977843	        1	67.266423	-1346147.453230	-1401923.729886	55776.276657
     49	 3.157501	     7000	 0.982858	        1	67.216563	-1346152.863704	-1401957.019267	55804.155563
     50	 3.261390	     7000	 1.020546	        1	66.808232	-1346402.584439	-1401907.611690	55505.027252
     51	 3.352775	     7000	 1.051467	        2	66.472593	-1346595.064560	-1401895.325991	55300.261431
     52	 3.268336	     7000	 1.033706	        1	66.091177	-1346365.446059	-1401931.748532	55566.302473
     53	 3.325939	     7000	 1.045778	        3	65.757983	-1346483.589506	-1401886.295909	55402.706403
     54	 3.443130	     7000	 1.093472	        3	65.478829	-1346848.160910	-1401900.173594	55052.012683
     55	 3.552535	     7000	 1.143197	        1	65.179365	-1347116.270807	-1401875.659735	54759.388928
     56	 3.654963	     7000	 1.165921	        3	64.859977	-1347265.444437	-1401834.718116	54569.273679
     57	 3.706270	     7000	 1.205753	        5	64.623909	-1347322.713928	-1401783.688232	54460.974304
     58	 3.820027	     7000	 1.232931	        3	64.287216	-1347639.838286	-1401811.342184	54171.503899
     59	 3.822061	     7000	 1.234059	        1	64.151507	-1347622.309939	-1401793.639316	54171.329377
     60	 3.832071	     7000	 1.228248	        2	64.047361	-1347731.517826	-1401843.189653	54111.671827
     61	 3.979941	     7000	 1.276892	        2	63.869506	-1348013.157153	-1401809.162328	53796.005176
     62	 3.910085	     7000	 1.285484	        5	63.811339	-1347854.555188	-1401841.187975	53986.632786
     63	 3.948961	     7000	 1.298054	        0	63.491540	-1347993.771221	-1401843.956507	53850.185286
     64	 3.998435	     7000	 1.309967	        0	63.549795	-1348054.998123	-1401801.580647	53746.582524
     65	 4.038332	     7000	 1.310807	        4	63.592843	-1348077.424325	-1401791.221655	53713.797329
     66	 4.003044	     7000	 1.313602	        3	63.367593	-1347940.510286	-1401753.577099	53813.066813
     67	 3.953784	     7000	 1.301826	        0	63.436786	-1347866.230785	-1401758.353428	53892.122642
     68	 3.986288	     7000	 1.309968	        2	63.060984	-1347924.928094	-1401772.488627	53847.560533
     69	 3.970600	     7000	 1.330462	        1	62.922630	-1347913.822028	-1401821.518045	53907.696017
     70	 4.032239	     7000	 1.338274	        0	62.744672	-1348013.951458	-1401753.058110	53739.106652
     71	 4.133894	     7000	 1.361827	        2	62.447189	-1348222.693707	-1401726.328495	53503.634788
     72	 4.040789	     7000	 1.339098	        0	62.248597	-1348089.108654	-1401792.183621	53703.074967
     73	 4.112245	     7000	 1.353430	        1	61.875744	-1348227.894975	-1401776.961674	53549.066699
     74	 4.107687	     7000	 1.355955	        0	61.332890	-1348212.390286	-1401747.190387	53534.800101
     75	 4.110543	     7000	 1.349199	        1	61.919483	-1348256.567060	-1401772.408989	53515.841928
     76	 4.107645	     7000	 1.342814	        0	61.569338	-1348239.483096	-1401776.900526	53537.417430
     77	 4.138218	     7000	 1.376859	        2	61.322951	-1348297.054037	-1401821.218579	53524.164543
     78	 4.121346	     7000	 1.376941	        1	60.820576	-1348152.933161	-1401724.919250	53571.986089
     79	 4.183747	     7000	 1.369428	        3	60.496279	-1348281.519197	-1401728.441900	53446.922703
     80	 4.153457	     7000	 1.367262	        2	60.790979	-1348203.960440	-1401725.205474	53521.245034
     81	 4.231723	     7000	 1.393769	        2	61.208875	-1348391.783855	-1401750.541030	53358.757175
     82	 4.208724	     7000	 1.381543	        1	61.130089	-1348343.336631	-1401742.610551	53399.273920
     83	 4.160657	     7000	 1.368367	        3	60.648552	-1348267.840951	-1401733.994995	53466.154044
     84	 4.345378	     7000	 1.418523	        2	60.494082	-1348501.816294	-1401698.269509	53196.453215
     85	 4.335875	     7000	 1.400836	        1	60.667173	-1348569.395716	-1401746.976865	53177.581149
     86	 4.273359	     7000	 1.398353	        1	60.814965	-1348428.704874	-1401776.483186	53347.778312
     87	 4.237661	     7000	 1.384637	        2	60.907476	-1348360.911376	-1401758.903368	53397.991992
     88	 4.211994	     7000	 1.373603	        1	61.072018	-1348384.123696	-1401795.247361	53411.123665
     89	 4.165231	     7000	 1.359336	        2	61.531436	-1348304.850011	-1401821.737648	53516.887637
     90	 4.161226	     7000	 1.337754	        1	61.326139	-1348343.178054	-1401830.075703	53486.897649
     91	 4.090252	     7000	 1.325773	        1	61.219467	-1348152.458435	-1401808.988718	53656.530283
     92	 4.216157	     7000	 1.368069	        0	61.277504	-1348450.167242	-1401839.863709	53389.696467
     93	 4.178366	     7000	 1.337860	        4	61.181192	-1348307.617957	-1401828.302091	53520.684134
     94	 4.108571	     7000	 1.342076	        3	60.540305	-1348103.109061	-1401767.592857	53664.483796
     95	 4.191944	     7000	 1.373864	        0	59.809073	-1348326.935583	-1401795.172961	53468.237378
     96	 4.246643	     7000	 1.392054	        0	60.048022	-1348497.763831	-1401808.474146	53310.710315
     97	 4.357977	     7000	 1.438061	        2	60.130585	-1348776.933608	-1401806.130279	53029.196671
     98	 4.234653	     7000	 1.406956	        0	60.107355	-1348478.363815	-1401758.848054	53280.484239
     99	 4.374207	     7000	 1.428639	        2	59.867187	-1348812.330034	-1401802.164657	52989.834623
    100	 4.357759	     7000	 1.423388	        0	60.071810	-1348774.133111	-1401781.610780	53007.477668
    101	 4.324090	     7000	 1.419066	        6	60.503897	-1348649.628230	-1401781.217941	53131.589711
    102	 4.294034	     7000	 1.411416	        2	60.331452	-1348636.174560	-1401797.000847	53160.826286
    103	 4.272696	     7000	 1.401922	        2	60.711146	-1348574.146183	-1401768.017423	53193.871240
    104	 4.307748	     7000	 1.419419	        1	60.940961	-1348646.692598	-1401710.387854	53063.695256
    105	 4.311653	     7000	 1.413112	        1	60.537940	-1348649.010005	-1401720.430511	53071.420507
    106	 4.315066	     7000	 1.416400	        1	60.165374	-1348660.671312	-1401770.120838	53109.449526
    107	 4.321153	     7000	 1.420600	        1	60.131502	-1348626.939187	-1401751.583009	53124.643823
    108	 4.355516	     7000	 1.431750	        5	60.142395	-1348774.290270	-1401795.111392	53020.821122
    109	 4.435163	     7000	 1.457931	        4	60.532230	-1348857.658426	-1401726.964067	52869.305642
    110	 4.225196	     7000	 1.397022	        1	60.800339	-1348552.191510	-1401775.852393	53223.660883
    111	 4.356092	     7000	 1.413635	        2	60.544030	-1348839.018752	-1401760.342999	52921.324247
    112	 4.406750	     7000	 1.457168	        1	60.639231	-1348852.134724	-1401759.292883	52907.158159
    113	 4.449741	     7000	 1.452109	        2	60.820633	-1348941.510044	-1401754.744031	52813.233987
    114	 4.451554	     7000	 1.469620	        1	60.383907	-1349013.439521	-1401813.427232	52799.987711
    115	 4.402926	     7000	 1.447735	        1	60.260423	-1348872.398060	-1401760.569537	52888.171477
    116	 4.432128	     7000	 1.458894	        0	60.169634	-1348965.649038	-1401752.636030	52786.986992
    117	 4.402909	     7000	 1.431875	        1	59.959613	-1348843.332853	-1401770.359133	52927.026280
    118	 4.380197	     7000	 1.437980	        4	60.370948	-1348755.561461	-1401796.467431	53040.905970
    119	 4.428799	     7000	 1.454085	        3	60.159134	-1348900.622403	-1401828.730361	52928.107958
    120	 4.357822	     7000	 1.414736	        2	59.699102	-1348790.479319	-1401816.148177	53025.668858
    121	 4.317937	     7000	 1.409526	        2	60.311130	-1348643.298018	-1401786.744796	53143.446777
    122	 4.267432	     7000	 1.400094	        3	60.016723	-1348545.572900	-1401764.970468	53219.397569
    123	 4.294256	     7000	 1.397984	        2	59.416822	-1348555.459262	-1401780.758580	53225.299318
    124	 4.433242	     7000	 1.448659	        2	59.676908	-1348874.530138	-1401808.777810	52934.247671
    125	 4.417590	     7000	 1.439956	        2	59.540637	-1348852.887504	-1401781.273726	52928.386221
    126	 4.274778	     7000	 1.390192	        1	59.504509	-1348600.177309	-1401795.977661	53195.800353
    127	 4.279802	     7000	 1.400313	        3	59.796384	-1348593.890348	-1401773.530027	53179.639679
    128	 4.215502	     7000	 1.400285	        1	60.444637	-1348511.992418	-1401792.333637	53280.341219
    129	 4.308519	     7000	 1.442102	        3	60.438453	-1348670.679044	-1401749.422882	53078.743838
    130	 4.374164	     7000	 1.441604	        4	60.114126	-1348695.125874	-1401733.702195	53038.576321
    131	 4.398538	     7000	 1.430700	        1	59.649184	-1348792.304368	-1401771.686902	52979.382534
    132	 4.249490	     7000	 1.393538	        4	59.624721	-1348481.533933	-1401755.139882	53273.605949
    133	 4.296008	     7000	 1.418006	        1	59.371996	-1348609.482004	-1401776.880976	53167.398972
    134	 4.395340	     7000	 1.438576	        0	58.839132	-1348818.936186	-1401774.073726	52955.137540
    135	 4.426162	     7000	 1.473387	        1	58.560526	-1348857.634038	-1401738.534228	52880.900190
    136	 4.490601	     7000	 1.496242	        0	58.755999	-1348932.698440	-1401688.830504	52756.132064
    137	 4.485730	     7000	 1.498458	        1	58.906102	-1348950.502307	-1401720.756590	52770.254283
    138	 4.372914	     7000	 1.474277	        2	58.752976	-1348661.886599	-1401675.003803	53013.117205
    139	 4.419758	     7000	 1.495049	        1	58.717932	-1348824.021757	-1401747.233428	52923.211671
    140	 4.363311	     7000	 1.470581	        2	58.789309	-1348630.507335	-1401704.325452	53073.818117
    141	 4.466540	     7000	 1.492329	        3	59.085817	-1348875.119577	-1401728.652659	52853.533082
    142	 4.451206	     7000	 1.477829	        5	59.234542	-1348869.948649	-1401770.274815	52900.326166
    143	 4.462172	     7000	 1.471713	        4	59.706815	-1348935.902623	-1401765.409511	52829.506888
    144	 4.455830	     7000	 1.481389	        4	59.180470	-1348921.881561	-1401790.022200	52868.140639
    145	 4.401998	     7000	 1.479507	        3	59.142002	-1348806.886803	-1401737.475176	52930.588372
    146	 4.423409	     7000	 1.476066	        2	59.579555	-1348842.890891	-1401773.250039	52930.359149
    147	 4.437622	     7000	 1.490970	        3	59.292017	-1348806.115833	-1401723.779969	52917.664136
