Sample	theta_A	theta_B	theta_C	theta_D	theta_AB	theta_ABC	theta_root	tau_AB	tau_ABC	tau_root	m_D->B	Data-ld-ln	Full-ld-ln	Gene-ld-ln
0	1.03397970798150828919403920735931024	1.02356216257402410363397393666673452	0.93919893655643826857470912727876566	0.96069168383598468885509191750315949	0.97929311199911805996265456997207366	1.08293691674320857742941370815970004	1.04788467261661955021168068924453110	0.04771097599660659160925035848777043	0.09108971401193542705154726490945905	0.51502164994270305253820652069407515	0.00000000000000000000000000000000000	-1346.11684874686557122913654893636703491	-1407360.26071468624286353588104248046875000	61243.41196782072074711322784423828125000
1	1.03828401710650020106641022721305490	1.01236855433093286826817802648292854	0.98444022042784240511537063866853714	0.96469090543493796197083156584994867	0.98336976867379133349089670446119271	1.08744502770181528106263613153714687	1.10326434241017556914243868959601969	0.04790958994208271287673639449167240	0.09146890741794518053797702350493637	0.53917505506646246082880225003464147	19.66122092709857227532666001934558153	-1344.22980203776592134090606123208999634	-1405137.40847744932398200035095214843750000	60907.60643968335352838039398193359375000
2	1.06681910237026889021194619999732822	1.05326026909320447089157823938876390	0.98444022042784240511537063866853714	0.96469090543493796197083156584994867	0.94136814708334237700171343021793291	1.10155092397793930025784447934711352	1.17645779036095787795090927829733118	0.05638760998324361672917603982568835	0.09146890741794518053797702350493637	0.53917505506646246082880225003464147	19.73804529113834860254428349435329437	-1343.03541137553975204355083405971527100	-1404274.81784028792753815650939941406250000	61239.40646474808454513549804687500000000
3	1.02470866194307297369903153594350442	1.09575161474568272268470536801032722	0.98109143070669624364654737291857600	0.96469090543493796197083156584994867	0.94136814708334237700171343021793291	1.10155092397793930025784447934711352	1.17645779036095787795090927829733118	0.05638760998324361672917603982568835	0.09146890741794518053797702350493637	0.53917505506646246082880225003464147	19.59282974464093385336127539630979300	-1342.64861935385033575585111975669860840	-1403671.55759402085095643997192382812500000	61022.93824017047882080078125000000000000
4	0.99702015477245042873732927546370775	1.06766614667428494378498271544231102	1.02867775693509932999347711302107200	0.99787249839973402032455851440317929	0.91060427580863756436002631744486280	1.10155092397793930025784447934711352	1.23112215590248319507793439697707072	0.05638760998324361672917603982568835	0.08799952889432358094090602662618039	0.53917505506646246082880225003464147	19.89128802297526377174108347389847040	-1342.44741429869418425369076430797576904	-1403401.40222016768530011177062988281250000	60953.98792147357016801834106445312500000
5	1.01802036406481621888531208242056891	1.03392162998296077702775619400199503	0.99735862883966797109991375691606663	1.04867403397489056260383222252130508	0.91450066294997478522077472007367760	1.12301297346919848330060176522238180	1.23639000788287711785073952341917902	0.05662888708275463922614534340027603	0.08837607032064523360226360182423377	0.55632843094459216715108595963101834	19.64762626884699514562271360773593187	-1342.65668116997335346241015940904617310	-1403192.07366624963469803333282470703125000	60535.39249627618119120597839355468750000
6	1.08643239352096188099494611378759146	1.00732452137707162442836761329090223	1.04312747989843002116572279192041606	1.06616074237481117670256480778334662	0.88290622440879296117799412968452089	1.15523722040264975596812746516661718	1.27231307748901500964677779847988859	0.05662888708275463922614534340027603	0.08837607032064523360226360182423377	0.55632843094459216715108595963101834	19.93866155217989444281556643545627594	-1342.40262305931446462636813521385192871	-1402948.85774585092440247535705566406250000	60546.23468653648160398006439208984375000
7	1.08741971372519108385290564910974354	0.96611460482164723817533058536355384	1.08353084502757446294651799689745530	1.07885635786980671468882064800709486	0.95549516960057157000107963540358469	1.17430345622165477337262018409091979	1.31560871892458841614370612660422921	0.05668034987481907621686971765484486	0.08845638408919477557734722950044670	0.59515672875945979658496298725367524	19.53356354819230844555022486019879580	-1342.86767670392328000161796808242797852	-1402773.62860560510307550430297851562500000	59905.95190168172121047973632812500000000
8	1.14055443849070270445622554689180106	1.00472760941812278012719161779386923	1.15096215790631961617407341691432521	1.08141787332271599453292765247169882	1.01973601683355186153789873060304672	1.21231599293108427417564598727039993	1.31873235261217347513706954487133771	0.05681492533615975504268647000571946	0.09324525712791578713201090522488812	0.59656980210003918152494861715240404	20.00628761210192863018164644017815590	-1342.59312496757843291561584919691085815	-1402731.62082887045107781887054443359375000	60138.49586129211820662021636962890625000
9	1.21189811961578319809973436349537224	1.04277672749142191754856412444496527	1.09521249080294169608862375753233209	1.08460887324660681940713402582332492	1.02274500866952600119930139044299722	1.21589324122390962656936608254909515	1.32262360958195901439182762260315940	0.05698257229936973256023691192240221	0.09352040109930598310583604870771524	0.59833013382754030029531122636399232	19.52738266270422684556251624599099159	-1342.69131682267493488325271755456924438	-1402643.40190103463828563690185546875000000	59952.08507835981436073780059814453125000
