iter	coalStatFlat	numCoalFlat	migStatFlat	numMigFlat	logPrior	root_theta	logLikelihood	dataLogLikelihood	genealogyLogLikelihood
      0	1.563964	     7000	0.435464	        0	74.385423	0.944200	-1344952.714294	-1407189.645891	-62236.931597
      1	1.680680	     7000	0.471674	        2	74.214795	0.944200	-1343414.298617	-1404960.374097	-61546.075480
      2	1.687730	     7000	0.470062	        4	73.994428	0.986701	-1342433.409935	-1404067.766776	-61634.356841
      3	1.765420	     7000	0.499956	        2	73.983596	0.994815	-1342499.655522	-1403585.805025	-61086.149503
      4	1.774833	     7000	0.511522	        0	73.778319	0.994815	-1342128.188013	-1403220.710703	-61092.522690
      5	1.801515	     7000	0.508880	        6	73.797418	0.997670	-1341966.533436	-1403033.989193	-61067.455758
      6	1.801945	     7000	0.509745	        2	73.711839	1.000305	-1341848.526080	-1402949.884256	-61101.358176
      7	1.824347	     7000	0.515089	        1	73.501943	1.000305	-1341848.707221	-1402850.941678	-61002.234457
      8	1.847585	     7000	0.523002	        3	73.286420	1.048756	-1341958.491680	-1402832.542847	-60874.051167
      9	1.923702	     7000	0.540101	        3	73.213139	1.099812	-1342256.166107	-1402714.910970	-60458.744863
     10	1.962336	     7000	0.553020	        1	73.055586	1.102326	-1342413.169608	-1402711.869550	-60298.699942
     11	1.949277	     7000	0.561339	        3	72.790066	1.163780	-1342214.772894	-1402597.239654	-60382.466760
     12	1.992432	     7000	0.576138	        3	72.648508	1.163780	-1342350.824716	-1402507.930588	-60157.105872
     13	2.042581	     7000	0.587156	        2	72.549163	1.164793	-1342601.324587	-1402494.150104	-59892.825517
     14	2.103791	     7000	0.606886	        2	72.449095	1.236222	-1342840.391704	-1402446.283223	-59605.891519
     15	2.109392	     7000	0.605630	        3	72.363175	1.283394	-1342759.442015	-1402420.928554	-59661.486538
     16	2.206492	     7000	0.639878	        0	72.070287	1.321453	-1343184.555250	-1402391.612044	-59207.056794
     17	2.244663	     7000	0.656236	        1	71.934677	1.350922	-1343315.642901	-1402361.661264	-59046.018363
     18	2.265428	     7000	0.651574	        1	71.678206	1.353877	-1343336.859697	-1402355.449590	-59018.589893
     19	2.281975	     7000	0.663122	        0	71.720945	1.353877	-1343558.395767	-1402428.597771	-58870.202004
     20	2.279103	     7000	0.663454	        1	71.532448	1.353877	-1343421.817208	-1402338.003060	-58916.185852
     21	2.331403	     7000	0.670525	        4	71.395058	1.428361	-1343516.763572	-1402316.277978	-58799.514406
     22	2.354433	     7000	0.680933	        2	71.178121	1.452092	-1343537.676253	-1402258.468330	-58720.792077
     23	2.364455	     7000	0.681479	        2	71.050067	1.457093	-1343686.397885	-1402299.978601	-58613.580716
     24	2.417821	     7000	0.697909	        1	70.895985	1.519646	-1343877.912253	-1402287.896194	-58409.983941
     25	2.480858	     7000	0.718279	        2	70.947738	1.515976	-1344101.798334	-1402265.528367	-58163.730033
     26	2.497092	     7000	0.723959	        0	70.679447	1.521140	-1344115.427357	-1402237.244839	-58121.817482
     27	2.465080	     7000	0.714155	        1	70.593631	1.516106	-1344022.398576	-1402232.276287	-58209.877711
     28	2.605863	     7000	0.750942	        4	70.272451	1.617965	-1344367.033564	-1402231.823884	-57864.790320
     29	2.573237	     7000	0.744920	        4	70.036743	1.691151	-1344357.703164	-1402257.801283	-57900.098119
     30	2.629958	     7000	0.768956	        6	69.775685	1.746958	-1344507.434674	-1402212.066878	-57704.632204
     31	2.664498	     7000	0.777372	        3	69.569533	1.746958	-1344609.528080	-1402183.145543	-57573.617463
     32	2.696485	     7000	0.790215	        4	69.447917	1.746958	-1344666.830945	-1402155.273151	-57488.442206
     33	2.730615	     7000	0.795108	        6	69.159137	1.786119	-1344812.635324	-1402200.044829	-57387.409506
     34	2.776593	     7000	0.805416	        4	68.845364	1.881279	-1344963.819740	-1402212.047841	-57248.228101
     35	2.794606	     7000	0.818843	        2	68.824708	1.943332	-1345000.801519	-1402149.830558	-57149.029039
     36	2.794165	     7000	0.827245	        2	68.789460	1.985304	-1344952.717853	-1402111.803486	-57159.085633
     37	2.800077	     7000	0.829194	        3	68.461817	2.075625	-1345026.645506	-1402135.216091	-57108.570585
     38	2.840355	     7000	0.846673	        3	68.342353	2.188587	-1345200.972852	-1402107.703483	-56906.730630
     39	2.891096	     7000	0.873082	        2	68.240502	2.188587	-1345324.287394	-1402053.127218	-56728.839824
     40	2.905548	     7000	0.886177	        2	68.057283	2.194223	-1345423.352863	-1402067.053263	-56643.700399
     41	2.986817	     7000	0.899513	        3	67.795117	2.247720	-1345580.211686	-1402014.961853	-56434.750167
     42	2.961968	     7000	0.913276	        3	67.515052	2.353832	-1345467.566658	-1402034.744016	-56567.177358
     43	3.070558	     7000	0.947759	        3	67.090877	2.451049	-1345762.281779	-1402000.581079	-56238.299301
     44	3.056272	     7000	0.951181	        2	66.899170	2.451049	-1345682.813230	-1401973.684736	-56290.871506
     45	3.103395	     7000	0.969512	        2	66.502267	2.458677	-1345715.831207	-1401961.258536	-56245.427329
     46	3.252043	     7000	1.027110	        3	65.942348	2.593194	-1346104.492293	-1401907.199627	-55802.707334
     47	3.332557	     7000	1.051572	        2	65.486143	2.661433	-1346290.893431	-1401897.466532	-55606.573101
     48	3.316718	     7000	1.034201	        2	65.222842	2.745795	-1346222.953413	-1401958.651587	-55735.698174
     49	3.247850	     7000	1.008160	        3	65.265519	2.745795	-1346141.381427	-1402027.744114	-55886.362686
     50	3.368436	     7000	1.049438	        4	64.896234	2.841142	-1346405.066191	-1401988.753766	-55583.687575
     51	3.366826	     7000	1.049715	        1	64.802684	2.972898	-1346320.154673	-1401951.485108	-55631.330435
     52	3.434842	     7000	1.062760	        2	64.356816	3.067348	-1346575.764971	-1401981.009913	-55405.244942
     53	3.521666	     7000	1.102021	        1	63.972209	3.073020	-1346735.783496	-1401912.905469	-55177.121973
     54	3.537577	     7000	1.108362	        0	63.888349	3.065496	-1346813.423931	-1401911.495236	-55098.071305
     55	3.524198	     7000	1.106778	        1	63.785554	3.185062	-1346721.059416	-1401897.868260	-55176.808844
     56	3.540678	     7000	1.118105	        5	63.921901	3.175632	-1346817.706142	-1401912.941045	-55095.234902
     57	3.548526	     7000	1.119889	        5	63.669450	3.256419	-1346766.303822	-1401882.080747	-55115.776925
     58	3.587579	     7000	1.162872	        3	63.717527	3.256694	-1346950.761589	-1401927.517678	-54976.756089
     59	3.581588	     7000	1.133639	        4	63.917725	3.244698	-1346848.562670	-1401875.983426	-55027.420757
     60	3.571455	     7000	1.132706	        2	63.556158	3.402913	-1346799.685981	-1401847.230735	-55047.544753
     61	3.591669	     7000	1.155161	        5	63.516872	3.412487	-1346886.401009	-1401892.234017	-55005.833008
     62	3.717537	     7000	1.168591	        4	63.424253	3.414613	-1347208.057436	-1401885.307647	-54677.250211
     63	3.688606	     7000	1.184699	        6	63.047550	3.414613	-1347129.555343	-1401903.680616	-54774.125273
     64	3.662539	     7000	1.176014	        5	62.946013	3.409602	-1346978.421997	-1401852.379006	-54873.957009
     65	3.650362	     7000	1.180943	        6	63.008773	3.409602	-1346929.107092	-1401848.545345	-54919.438253
     66	3.696318	     7000	1.189910	        6	63.096667	3.409602	-1347079.866751	-1401823.335330	-54743.468578
     67	3.680602	     7000	1.196671	        6	62.992463	3.397597	-1347057.635120	-1401845.769130	-54788.134009
     68	3.659708	     7000	1.177468	        4	62.965203	3.504059	-1347032.909294	-1401798.666060	-54765.756766
     69	3.678529	     7000	1.204540	        3	63.266554	3.512208	-1347068.974745	-1401815.009628	-54746.034883
     70	3.676649	     7000	1.197579	        2	63.298885	3.498454	-1347082.988523	-1401787.546437	-54704.557915
     71	3.721363	     7000	1.205726	        2	63.370313	3.498454	-1347231.488190	-1401826.156964	-54594.668774
     72	3.725758	     7000	1.201195	        2	63.033511	3.635488	-1347265.310319	-1401852.298829	-54586.988509
     73	3.694530	     7000	1.213576	        2	62.848891	3.705426	-1347142.726024	-1401804.319759	-54661.593736
     74	3.795464	     7000	1.239325	        3	62.288816	3.816445	-1347351.424425	-1401840.970832	-54489.546407
     75	3.829935	     7000	1.250594	        1	62.164327	3.825671	-1347435.006382	-1401825.944970	-54390.938588
     76	3.834379	     7000	1.255635	        3	62.003360	3.871294	-1347505.072084	-1401873.088325	-54368.016241
     77	3.840905	     7000	1.251660	        1	62.055927	3.871294	-1347630.118109	-1401869.608034	-54239.489925
     78	3.827636	     7000	1.245412	        1	61.865732	3.882504	-1347510.086939	-1401791.091833	-54281.004894
     79	3.832057	     7000	1.253747	        1	61.418868	3.892162	-1347568.834965	-1401841.956002	-54273.121037
     80	3.940667	     7000	1.278932	        3	61.240893	3.899235	-1347800.318078	-1401892.836199	-54092.518121
     81	3.886254	     7000	1.261615	        2	61.533088	3.896135	-1347681.631265	-1401842.928800	-54161.297535
     82	3.895108	     7000	1.262805	        1	61.105053	3.918229	-1347707.099600	-1401894.164655	-54187.065055
