Sample	theta_A	theta_B	theta_C	theta_D	theta_AB	theta_ABC	theta_root	tau_AB	tau_ABC	tau_root	m_D->B	Data-ld-ln	Full-ld-ln	Gene-ld-ln
0	 1.10416	 0.86496	 0.97830	 1.02842	 0.97070	 1.05548	 1.13029	 0.05278	 0.09217	 0.55521	 0.00000	-1345.801071	-1406737.081917	60936.010744
1	 1.16107	 0.86496	 0.98491	 1.02842	 1.01538	 1.05548	 1.13463	 0.05278	 0.09217	 0.58484	20.41332	-1344.205168	-1404984.103747	60778.935860
2	 1.12788	 0.89812	 0.94954	 1.07791	 0.98785	 1.08719	 1.13463	 0.05278	 0.09217	 0.58484	20.08666	-1343.014538	-1404015.244397	61000.706368
3	 1.17717	 0.94461	 1.02042	 1.08212	 0.94083	 1.09144	 1.16141	 0.05298	 0.09253	 0.58713	19.73074	-1342.642785	-1403571.758895	60928.974111
4	 1.26229	 0.91251	 1.02384	 1.08575	 0.98707	 1.12761	 1.24072	 0.05316	 0.08820	 0.58910	19.43847	-1342.487283	-1403331.920843	60844.637872
5	 1.30051	 0.94964	 1.06909	 1.14189	 0.98988	 1.17166	 1.30183	 0.05331	 0.08845	 0.59078	18.93169	-1342.581380	-1403115.047157	60533.667241
6	 1.27179	 0.98545	 1.09228	 1.19986	 0.98988	 1.20840	 1.35351	 0.05331	 0.08845	 0.61839	19.17268	-1342.982071	-1402899.870472	59917.798981
7	 1.20742	 0.97451	 1.07146	 1.20365	 1.01984	 1.21222	 1.43524	 0.05348	 0.08873	 0.62035	19.52234	-1342.817185	-1402854.179037	60036.993729
8	 1.20742	 0.92446	 1.07146	 1.20365	 0.98444	 1.21222	 1.50343	 0.05348	 0.08873	 0.62035	19.71702	-1342.918216	-1402683.013204	59764.797164
9	 1.24068	 0.94808	 1.07146	 1.26784	 1.00473	 1.21956	 1.52645	 0.05348	 0.08873	 0.61971	20.25079	-1342.906490	-1402648.862069	59742.372049
10	 1.24297	 0.94523	 1.04011	 1.29019	 1.05623	 1.22181	 1.52926	 0.05901	 0.08889	 0.62085	19.99237	-1342.707174	-1402573.718996	59866.544995
11	 1.31075	 0.91035	 1.07118	 1.33740	 1.10411	 1.22181	 1.59848	 0.05901	 0.08889	 0.62085	20.54611	-1342.854076	-1402523.710183	59669.634254
12	 1.26187	 0.91148	 1.11647	 1.33906	 1.16117	 1.27180	 1.60047	 0.05908	 0.08900	 0.65436	20.88017	-1343.213974	-1402416.358476	59202.384117
13	 1.30944	 0.95103	 1.17156	 1.38673	 1.18959	 1.26890	 1.65341	 0.05895	 0.08880	 0.65287	20.62062	-1343.246449	-1402379.533012	59133.083867
14	 1.38007	 0.95382	 1.13442	 1.39080	 1.22840	 1.31476	 1.70171	 0.05912	 0.08906	 0.65479	20.93285	-1343.191270	-1402280.388628	59089.118352
15	 1.42906	 0.90633	 1.17431	 1.39080	 1.22840	 1.31476	 1.70171	 0.05725	 0.08850	 0.65479	20.63977	-1343.227251	-1402256.181197	59028.930672
16	 1.35984	 0.90390	 1.14711	 1.38708	 1.17804	 1.31124	 1.76515	 0.05710	 0.08826	 0.65303	20.47240	-1343.355778	-1402290.496535	58934.718468
17	 1.29528	 0.95452	 1.10800	 1.47486	 1.18046	 1.31394	 1.83489	 0.05722	 0.08844	 0.65438	21.00756	-1343.390143	-1402314.043909	58923.901347
18	 1.29528	 0.91625	 1.10800	 1.47486	 1.20444	 1.31394	 1.83489	 0.05722	 0.08844	 0.65438	20.60778	-1343.428788	-1402262.875931	58834.087432
