iter	coalStatFlat	numCoalFlat	migStatFlat	numMigFlat	logPrior	logLikelihood	dataLogLikelihood	genealogyLogLikelihood
      0	 0.015532	      150	 0.003596	        0	34.573587	-13342.707512	-14672.927037	1330.219525
      1	 0.017539	      150	 0.004112	        0	34.559141	-13234.589911	-14544.863551	1310.273641
      2	 0.017566	      150	 0.003869	        0	34.662391	-13139.032102	-14448.505436	1309.473334
      3	 0.019322	      150	 0.004694	        0	34.633783	-13092.781712	-14384.555357	1291.773645
      4	 0.018751	      150	 0.004601	        0	34.646003	-13082.724201	-14380.219861	1297.495660
      5	 0.019201	      150	 0.004580	        0	34.568298	-13085.122316	-14377.341260	1292.218944
      6	 0.016616	      150	 0.003684	        0	34.576408	-13042.095437	-14360.831562	1318.736125
      7	 0.016666	      150	 0.004101	        0	34.447876	-13036.112108	-14355.186662	1319.074554
      8	 0.019048	      150	 0.004397	        0	34.499145	-13030.894395	-14327.601697	1296.707302
      9	 0.019897	      150	 0.004984	        0	34.514953	-13035.404965	-14325.140849	1289.735884
