Sample	theta_A	theta_B	theta_root	tau_root	tau_A	tau_B	Data-ld-ln	Full-ld-ln	Gene-ld-ln
0	 1.00489	 0.92874	 1.07288	 0.00000	 0.00000	 0.00000	-1262.717039352	-15343.559933660	2716.389540135
1	 1.02536	 0.86284	 1.07047	 0.00000	 0.00000	 0.00000	-1222.554079077	-14913.295344358	2687.754553589
2	 1.07037	 0.83636	 1.10275	 0.00000	 0.00000	 0.00000	-1203.268067696	-14725.112898593	2692.432221629
3	 1.01267	 0.80926	 1.14022	 0.00000	 0.00000	 0.00000	-1199.590105837	-14665.551663260	2669.650604886
4	 1.06839	 0.78421	 1.14282	 0.00000	 0.00000	 0.00000	-1199.921453478	-14663.188452871	2663.973918087
5	 1.11714	 0.76656	 1.13826	 0.00000	 0.00000	 0.00000	-1193.966967205	-14577.451614328	2637.781942276
6	 1.09188	 0.73471	 1.13694	 0.00000	 0.00000	 0.00000	-1189.933059264	-14557.325720081	2657.995127445
7	 1.05501	 0.71086	 1.14003	 0.00000	 0.00000	 0.00000	-1182.643481208	-14506.032775051	2679.597962970
8	 1.01686	 0.69287	 1.13593	 0.00000	 0.00000	 0.00000	-1178.898063475	-14474.748440958	2685.767806209
9	 1.06410	 0.73129	 1.19743	 0.00000	 0.00000	 0.00000	-1179.274883588	-14478.833815225	2686.084979349
10	 1.11470	 0.76078	 1.27490	 0.00000	 0.00000	 0.00000	-1176.968824683	-14424.128475636	2654.440228808
11	 1.16628	 0.79043	 1.28858	 0.00000	 0.00000	 0.00000	-1173.655866434	-14401.771040798	2665.212376454
12	 1.12108	 0.81074	 1.35178	 0.00000	 0.00000	 0.00000	-1172.252649308	-14370.253947972	2647.727454891
13	 1.07133	 0.84811	 1.41910	 0.00000	 0.00000	 0.00000	-1171.727349078	-14360.058602417	2642.785111640
14	 1.05134	 0.80914	 1.42359	 0.00000	 0.00000	 0.00000	-1173.524490916	-14370.422757939	2635.177848781
15	 1.11803	 0.84478	 1.42732	 0.00000	 0.00000	 0.00000	-1174.263680136	-14361.365336404	2618.728535049
16	 1.11016	 0.80849	 1.43151	 0.00000	 0.00000	 0.00000	-1174.326248690	-14365.019336710	2621.756849814
17	 1.06738	 0.78153	 1.46471	 0.00000	 0.00000	 0.00000	-1173.034273161	-14354.354539789	2624.011808176
18	 1.11453	 0.81242	 1.46818	 0.00000	 0.00000	 0.00000	-1172.266719467	-14349.949408435	2627.282213768
19	 1.15684	 0.79093	 1.51831	 0.00000	 0.00000	 0.00000	-1176.153621432	-14351.530754539	2589.994540216
20	 1.21018	 0.83352	 1.57773	 0.00000	 0.00000	 0.00000	-1174.696020780	-14344.019897102	2597.059689306
