iter	coalStatFlat	numCoalFlat	migStatFlat	numMigFlat	logPrior	logLikelihood	dataLogLikelihood	genealogyLogLikelihood
      0	 0.016767	      150	 0.003819	        0	34.587622	-13346.514863	-14664.879841	1318.364978
      1	 0.018087	      150	 0.004381	        0	34.590583	-13203.163905	-14508.770574	1305.606669
      2	 0.020015	      150	 0.004411	        0	34.599353	-13160.624054	-14447.724361	1287.100307
      3	 0.016220	      150	 0.003340	        0	34.561963	-13068.476159	-14392.126101	1323.649942
      4	 0.018809	      150	 0.003941	        0	34.525114	-13057.844613	-14356.569778	1298.725165
      5	 0.018577	      150	 0.004199	        0	34.459249	-13052.356499	-14354.785868	1302.429369
      6	 0.016705	      150	 0.003710	        0	34.434454	-12997.736485	-14317.107517	1319.371032
      7	 0.017805	      150	 0.004576	        0	34.435236	-13002.059732	-14311.437087	1309.377355
      8	 0.020180	      150	 0.005367	        0	34.346845	-13023.978536	-14312.705761	1288.727225
      9	 0.021213	      150	 0.005839	        0	34.336735	-13035.212080	-14314.884177	1279.672097
     10	 0.019131	      150	 0.004883	        0	34.288958	-13015.536428	-14314.214479	1298.678050
     11	 0.021147	      150	 0.005161	        0	34.235447	-13026.289994	-14308.867823	1282.577829
     12	 0.023006	      150	 0.005334	        0	34.161818	-13038.668769	-14306.082051	1267.413282
     13	 0.022717	      150	 0.005353	        0	34.002412	-13041.167192	-14312.219259	1271.052068
     14	 0.022099	      150	 0.005069	        0	34.055664	-13037.179863	-14313.594044	1276.414181
     15	 0.025006	      150	 0.005682	        0	34.059724	-13060.043769	-14314.261425	1254.217656
     16	 0.022702	      150	 0.005406	        0	34.081772	-13037.531557	-14308.505754	1270.974197
     17	 0.023168	      150	 0.005644	        0	34.129009	-13032.985627	-14299.302937	1266.317309
     18	 0.024252	      150	 0.005787	        0	34.020762	-13045.895449	-14303.420904	1257.525455
     19	 0.024076	      150	 0.005545	        0	34.129841	-13051.791945	-14310.632391	1258.840447
     20	 0.020358	      150	 0.004655	        0	34.095579	-13025.140824	-14314.196289	1289.055465
     21	 0.022144	      150	 0.004857	        0	33.959859	-13043.449403	-14318.823779	1275.374376
     22	 0.022752	      150	 0.004674	        0	33.940696	-13043.664667	-14314.187876	1270.523208
     23	 0.023373	      150	 0.005265	        0	34.033804	-13039.322195	-14304.857677	1265.535482
     24	 0.023066	      150	 0.006382	        0	34.055676	-13036.361307	-14302.414932	1266.053625
     25	 0.022246	      150	 0.005479	        0	34.043581	-13040.580492	-14313.453561	1272.873069
     26	 0.025891	      150	 0.005945	        0	33.951963	-13069.378112	-14314.010993	1244.632881
     27	 0.023758	      150	 0.005776	        0	33.951264	-13053.949753	-14315.845446	1261.895693
     28	 0.022849	      150	 0.005436	        0	33.979544	-13040.110044	-14307.942124	1267.832079
     29	 0.023708	      150	 0.005383	        0	33.895036	-13047.287866	-14307.802013	1260.514148
     30	 0.020359	      150	 0.005099	        0	33.808950	-13014.726920	-14303.787274	1289.060354
     31	 0.020998	      150	 0.005418	        0	33.763535	-13020.968614	-14304.104502	1283.135888
     32	 0.022814	      150	 0.005774	        0	33.828033	-13031.663435	-14301.023978	1269.360543
     33	 0.024699	      150	 0.006121	        0	33.759642	-13051.331521	-14308.098265	1256.766743
     34	 0.025810	      150	 0.005871	        0	33.676035	-13055.582257	-14306.352075	1250.769818
     35	 0.027190	      150	 0.006110	        0	33.643746	-13055.584564	-14297.588003	1242.003440
     36	 0.023251	      150	 0.005855	        0	33.571770	-13025.774990	-14294.426073	1268.651083
     37	 0.026923	      150	 0.006327	        0	33.545337	-13061.057491	-14303.961893	1242.904402
     38	 0.025141	      150	 0.006021	        0	33.488609	-13048.570331	-14305.226164	1256.655833
     39	 0.026693	      150	 0.005623	        0	33.367614	-13063.825915	-14310.414441	1246.588526
     40	 0.029062	      150	 0.006264	        0	33.457299	-13071.962489	-14302.634113	1230.671625
     41	 0.027342	      150	 0.006635	        0	33.497445	-13057.387101	-14300.616808	1243.229706
     42	 0.028381	      150	 0.007080	        0	33.290560	-13062.301746	-14300.496648	1238.194902
     43	 0.028959	      150	 0.007471	        0	33.334423	-13062.121798	-14297.576159	1235.454361
     44	 0.029848	      150	 0.007676	        0	33.361733	-13062.763031	-14293.938374	1231.175343
     45	 0.033307	      150	 0.007900	        0	33.407819	-13083.207255	-14294.653162	1211.445907
     46	 0.033790	      150	 0.007744	        0	33.301575	-13084.847769	-14295.272333	1210.424564
     47	 0.034533	      150	 0.008018	        0	33.348429	-13081.317656	-14288.591211	1207.273556
     48	 0.035903	      150	 0.008614	        0	33.261769	-13085.801226	-14287.176713	1201.375487
     49	 0.033473	      150	 0.007519	        0	33.203717	-13090.359875	-14304.512432	1214.152557
     50	 0.031679	      150	 0.007427	        0	33.318839	-13083.567232	-14306.455324	1222.888092
     51	 0.035730	      150	 0.007389	        0	33.271598	-13093.721982	-14294.881347	1201.159365
     52	 0.034025	      150	 0.006905	        0	33.279027	-13089.278042	-14299.850903	1210.572861
     53	 0.032908	      150	 0.007619	        0	33.279810	-13084.411491	-14300.730806	1216.319315
     54	 0.035003	      150	 0.008060	        0	33.244564	-13092.397775	-14296.773208	1204.375434
     55	 0.034161	      150	 0.007567	        0	33.088040	-13086.382802	-14296.387110	1210.004307
     56	 0.030943	      150	 0.008061	        0	33.177894	-13067.577342	-14293.624443	1226.047102
     57	 0.031695	      150	 0.008501	        0	33.205927	-13081.932776	-14303.084711	1221.151935
     58	 0.030236	      150	 0.007281	        0	33.185229	-13076.930863	-14305.116826	1228.185963
     59	 0.027972	      150	 0.007013	        0	33.212890	-13072.347030	-14313.830798	1241.483768
     60	 0.029819	      150	 0.006959	        0	33.223445	-13069.455760	-14300.129809	1230.674049
     61	 0.029971	      150	 0.006317	        0	33.257860	-13073.781031	-14302.559112	1228.778081
     62	 0.025756	      150	 0.005290	        0	33.410721	-13056.656932	-14310.491860	1253.834928
     63	 0.026627	      150	 0.006738	        0	33.454576	-13050.142157	-14298.435219	1248.293062
     64	 0.028674	      150	 0.007087	        0	33.356621	-13053.768361	-14290.649666	1236.881305
     65	 0.035006	      150	 0.007554	        0	33.315622	-13097.015880	-14296.780508	1199.764628
     66	 0.030919	      150	 0.006779	        0	33.275341	-13068.297767	-14292.148767	1223.851000
     67	 0.031519	      150	 0.007318	        0	33.302679	-13079.348876	-14301.154861	1221.805985
     68	 0.031237	      150	 0.008220	        0	33.188428	-13071.072505	-14294.573730	1223.501225
     69	 0.032017	      150	 0.008239	        0	33.114309	-13073.978887	-14294.151315	1220.172428
     70	 0.032445	      150	 0.007367	        0	33.123929	-13083.367389	-14300.879186	1217.511797
     71	 0.033978	      150	 0.006461	        0	33.066291	-13091.108578	-14301.762177	1210.653599
     72	 0.033801	      150	 0.007282	        0	33.053023	-13090.876294	-14301.928070	1211.051776
     73	 0.036306	      150	 0.007978	        0	32.907825	-13101.742211	-14300.936753	1199.194541
     74	 0.034035	      150	 0.008800	        0	32.788866	-13084.296803	-14296.194126	1211.897323
     75	 0.037337	      150	 0.008577	        0	32.797430	-13096.778948	-14292.491934	1195.712986
     76	 0.035735	      150	 0.008644	        0	32.727959	-13088.327836	-14291.877911	1203.550075
     77	 0.032493	      150	 0.007502	        0	32.605730	-13066.432587	-14285.976143	1219.543556
     78	 0.038462	      150	 0.009127	        0	32.508703	-13091.043959	-14284.047762	1193.003804
     79	 0.038501	      150	 0.007994	        0	32.437981	-13097.289913	-14290.075863	1192.785950
     80	 0.041984	      150	 0.009328	        0	32.524821	-13111.341751	-14288.731167	1177.389416
     81	 0.038455	      150	 0.008168	        0	32.419287	-13094.444319	-14287.731777	1193.287458
     82	 0.041516	      150	 0.009467	        0	32.406553	-13107.135099	-14286.893124	1179.758025
     83	 0.041182	      150	 0.010315	        0	32.195558	-13110.745153	-14293.445011	1182.699858
     84	 0.040434	      150	 0.009378	        0	32.224050	-13094.293779	-14280.590626	1186.296847
     85	 0.038675	      150	 0.009061	        0	32.022972	-13095.285447	-14288.737627	1193.452179
     86	 0.044013	      150	 0.009638	        0	32.087584	-13121.242542	-14293.579633	1172.337091
     87	 0.039584	      150	 0.009278	        0	31.922149	-13103.240736	-14293.205594	1189.964858
     88	 0.043689	      150	 0.010163	        0	31.826423	-13113.415828	-14288.270387	1174.854559
     89	 0.042908	      150	 0.010487	        0	31.612211	-13108.124116	-14285.927267	1177.803150
     90	 0.043467	      150	 0.011749	        0	31.785436	-13107.990533	-14283.885020	1175.894487
     91	 0.050293	      150	 0.013632	        0	31.888073	-13137.387606	-14289.275537	1151.887931
