,hypothesis,root,reference,E_ratio
0,1318.36497797,1318.3650338854973,1318.3650338854973,5.5915497341629816e-05
1,1305.6066691380001,1305.6067846544145,1305.6067846544145,0.00011551641432561155
2,1287.100306557,1287.1003757502572,1287.1003757502572,6.919325710441626e-05
3,1323.649942093,1323.6499223786082,1323.6499223786082,-1.9714391783054452e-05
4,1298.72516492,1298.725257138993,1298.725257138993,9.221899290423607e-05
5,1302.4293688789999,1302.4293662089258,1302.4293662089258,-2.670074081834173e-06
6,1319.371031805,1319.3710369914995,1319.3710369914995,5.18649949299288e-06
7,1309.37735519,1309.3774074577575,1309.3774074577575,5.2267757610025e-05
8,1288.727225228,1288.727214596222,1288.727214596222,-1.0631777968228562e-05
9,1279.6720968280001,1279.672001415746,1279.672001415746,-9.54122540406388e-05
10,1298.678050305,1298.678035076321,1298.678035076321,-1.5228678876155755e-05
11,1282.577829066,1282.5779157639345,1282.5779157639345,8.669793442095397e-05
12,1267.413282088,1267.413383677659,1267.413383677659,0.00010158965915252338
13,1271.05206788,1271.0520751276076,1271.0520751276076,7.2476075274607865e-06
14,1276.4141806510002,1276.414242458838,1276.414242458838,6.180783793752198e-05
15,1254.217655777,1254.2175341836485,1254.2175341836485,-0.00012159335142314376
16,1270.9741969469999,1270.9742942906082,1270.9742942906082,9.734360833135725e-05
17,1266.317309128,1266.3174519966574,1266.3174519966574,0.00014286865734902676
18,1257.525455231,1257.5255560696432,1257.5255560696432,0.00010083864322041336
19,1258.840446545,1258.8405192958057,1258.8405192958057,7.275080565705139e-05
20,1289.055465161,1289.0555118122315,1289.0555118122315,4.665123151426087e-05
21,1275.3743755560001,1275.3743015987948,1275.3743015987948,-7.395720535896544e-05
22,1270.523208448,1270.523131088112,1270.523131088112,-7.735988810964045e-05
23,1265.535482303,1265.53545781777,1265.53545781777,-2.448522991471691e-05
24,1266.053624761,1266.053706141594,1266.053706141594,8.138059388329566e-05
25,1272.873068896,1272.873136332509,1272.873136332509,6.743650897078624e-05
26,1244.6328805389999,1244.632858322748,1244.632858322748,-2.221625186393794e-05
27,1261.895692848,1261.895589253464,1261.895589253464,-0.00010359453585806477
28,1267.832079385,1267.8320143304431,1267.8320143304431,-6.505455689875816e-05
29,1260.514147891,1260.5139892459904,1260.5139892459904,-0.0001586450096056069
30,1289.0603536830001,1289.0603481787443,1289.0603481787443,-5.504255796040525e-06
31,1283.13588798,1283.1358024601373,1283.1358024601373,-8.551986275051604e-05
32,1269.3605429289998,1269.3605033345352,1269.3605033345352,-3.959446462431515e-05
33,1256.766743255,1256.7666583268583,1256.7666583268583,-8.492814163219009e-05
34,1250.769818124,1250.7697262072252,1250.7697262072252,-9.191677486342087e-05
