iter	coalStatFlat	numCoalFlat	migStatFlat	numMigFlat	logPrior	root_theta	logLikelihood	dataLogLikelihood	genealogyLogLikelihood
      0	1.647692	     7000	0.456663	        0	85.771716	0.991943	-1345509.013895	-1407050.205672	-61541.191777
      1	1.653848	     7000	0.466969	        0	85.565753	1.026302	-1343572.394537	-1405120.579041	-61548.184504
      2	1.655964	     7000	0.471224	        0	85.435763	1.026302	-1342694.540552	-1404240.069788	-61545.529236
      3	1.766950	     7000	0.503056	        0	85.224455	1.061093	-1342600.461835	-1403603.841304	-61003.379469
      4	1.755144	     7000	0.497498	        0	85.170324	1.061093	-1342104.197499	-1403251.794271	-61147.596771
      5	1.777618	     7000	0.502939	        0	85.173809	1.060878	-1341978.755404	-1403022.511114	-61043.755710
      6	1.774062	     7000	0.503537	        0	84.980801	1.059413	-1341707.471886	-1402859.240640	-61151.768754
      7	1.810585	     7000	0.513084	        0	84.901245	1.103958	-1341908.641565	-1402814.000097	-60905.358531
      8	1.850406	     7000	0.527456	        0	84.860700	1.103958	-1342100.633121	-1402762.203611	-60661.570490
      9	1.830815	     7000	0.515478	        0	84.789721	1.103958	-1341933.093163	-1402732.908726	-60799.815563
     10	1.946405	     7000	0.555080	        0	84.571159	1.146352	-1342351.695963	-1402594.196243	-60242.500280
     11	1.923797	     7000	0.551060	        0	84.537344	1.146352	-1342166.371312	-1402528.767576	-60362.396264
     12	1.923386	     7000	0.554047	        0	84.242811	1.148540	-1342091.297429	-1402514.231127	-60422.933698
     13	1.951779	     7000	0.555315	        0	84.059644	1.153029	-1342225.486620	-1402540.426534	-60314.939914
     14	1.953925	     7000	0.559959	        0	84.052842	1.153029	-1342199.408799	-1402504.972414	-60305.563615
     15	1.983223	     7000	0.562083	        0	83.975639	1.155306	-1342341.444519	-1402518.717609	-60177.273090
     16	1.986825	     7000	0.567425	        0	83.920747	1.157517	-1342357.460310	-1402471.296531	-60113.836221
     17	2.013886	     7000	0.568149	        0	83.874069	1.157517	-1342500.111123	-1402486.209192	-59986.098069
     18	1.971691	     7000	0.564427	        0	83.790531	1.206008	-1342285.380832	-1402444.990317	-60159.609485
     19	2.027287	     7000	0.576767	        0	83.628965	1.266189	-1342557.961660	-1402445.399046	-59887.437386
     20	2.114647	     7000	0.611030	        0	83.457522	1.305240	-1342985.367904	-1402439.067455	-59453.699551
     21	2.102043	     7000	0.611711	        0	83.503993	1.337488	-1342851.797091	-1402414.729941	-59562.932850
     22	2.119456	     7000	0.610205	        0	83.362263	1.340516	-1342969.266664	-1402426.872351	-59457.605687
     23	2.087866	     7000	0.601616	        0	83.388752	1.340516	-1342923.225206	-1402454.491089	-59531.265884
     24	2.146588	     7000	0.629767	        0	83.283312	1.361619	-1343097.105520	-1402354.354878	-59257.249358
     25	2.180238	     7000	0.642271	        0	83.138805	1.437556	-1343163.735468	-1402369.264207	-59205.528739
     26	2.185843	     7000	0.635525	        0	83.120844	1.437556	-1343177.523051	-1402358.508002	-59180.984951
     27	2.227755	     7000	0.671898	        0	83.060438	1.439787	-1343321.007997	-1402281.231188	-58960.223190
     28	2.252326	     7000	0.662493	        0	82.889901	1.514626	-1343368.881055	-1402275.128630	-58906.247575
     29	2.260891	     7000	0.672566	        0	82.859783	1.518569	-1343417.921623	-1402271.577460	-58853.655837
