iter	coalStatFlat	numCoalFlat	migStatFlat	numMigFlat	logPrior	logLikelihood	dataLogLikelihood	genealogyLogLikelihood
      0	20.426497	      330	20.226177	        0	-20137.724758	-778456.092178	-780309.671762	1853.579584
      1	20.774664	      330	20.304732	        0	-20137.730447	-560243.263245	-560206.741836	-36.521409
      2	21.358268	      330	20.455822	        0	-20197.517734	-481653.565000	-478268.707710	-3384.857290
      3	21.808115	      330	20.574901	        0	-20257.304764	-395494.041174	-389505.824419	-5988.216756
      4	22.354751	      330	20.689002	        0	-20312.308552	-343892.903448	-334419.953261	-9472.950187
      5	22.425408	      330	20.697622	        0	-20312.423672	-315020.332088	-305042.332994	-9977.999094
      6	22.638767	      330	20.707451	        0	-20312.460121	-283338.924833	-272122.774155	-11216.150679
      7	22.887957	      330	20.789672	        0	-20378.907285	-263359.828389	-250782.266855	-12577.561534
      8	23.142168	      330	20.868080	        0	-20432.728975	-247821.764400	-233885.133776	-13936.630624
      9	23.459068	      330	20.984977	        0	-20515.090130	-235308.258419	-219925.735662	-15382.522757
     10	23.368378	      330	20.983046	        0	-20515.108811	-215511.464877	-200931.426987	-14580.037890
     11	23.494137	      330	21.041224	        0	-20567.993465	-210331.262034	-195211.180259	-15120.081775
     12	23.580270	      330	21.090987	        0	-20613.908260	-203491.880865	-188628.700497	-14863.180368
     13	23.676681	      330	21.148470	        0	-20671.543154	-201845.243932	-186710.338242	-15134.905690
     14	23.631712	      330	21.171664	        0	-20703.791232	-198848.654083	-184307.329402	-14541.324681
     15	23.741762	      330	21.182218	        0	-20703.799899	-196914.055790	-181563.630939	-15350.424851
     16	23.637944	      330	21.168795	        0	-20703.714208	-192088.861083	-177401.198833	-14687.662250
     17	23.654025	      330	21.171618	        0	-20703.721494	-191767.622932	-176942.223383	-14825.399550
     18	23.773985	      330	21.267214	        0	-20797.279099	-190902.656487	-176049.573730	-14853.082757
     19	23.877989	      330	21.342472	        0	-20870.178943	-188698.310694	-173623.504713	-15074.805980
     20	23.984390	      330	21.401754	        0	-20924.749873	-186046.685740	-171718.336603	-14328.349137
     21	24.110606	      330	21.415546	        0	-20924.926940	-183344.906277	-169251.212001	-14093.694276
     22	24.001362	      330	21.351142	        0	-20864.110101	-182133.804130	-168842.604295	-13291.199834
     23	24.115569	      330	21.356597	        0	-20864.085573	-179854.192733	-166564.256176	-13289.936558
     24	24.342224	      330	21.394749	        0	-20864.230063	-177965.093237	-164441.679433	-13523.413805
     25	24.347143	      330	21.397235	        0	-20864.181750	-177302.952068	-164228.996543	-13073.955525
     26	24.376878	      330	21.361582	        0	-20817.030633	-176891.500625	-163438.076338	-13453.424287
     27	24.618279	      330	21.438858	        0	-20875.500461	-176172.887093	-161786.348177	-14386.538916
     28	24.611787	      330	21.395173	        0	-20830.017495	-173546.098336	-159012.867956	-14533.230380
     29	24.565945	      330	21.349386	        0	-20776.701601	-173448.873485	-158770.844064	-14678.029422
     30	24.600401	      330	21.354621	        0	-20776.747413	-172679.030289	-158515.676176	-14163.354113
     31	24.643066	      330	21.357120	        0	-20776.814569	-171881.514098	-158211.639252	-13669.874846
     32	24.691833	      330	21.363569	        0	-20776.745041	-171637.162027	-157768.073933	-13869.088094
     33	24.788042	      330	21.407422	        0	-20814.097719	-171475.921991	-157372.774050	-14103.147942
     34	24.877434	      330	21.421702	        0	-20814.021645	-171380.036014	-156892.450354	-14487.585660
     35	24.847575	      330	21.370662	        0	-20755.665984	-170818.780417	-156736.614601	-14082.165816
     36	24.915063	      330	21.377873	        0	-20755.738876	-170318.929271	-156378.894959	-13940.034311
     37	24.941071	      330	21.380253	        0	-20755.864962	-169662.465282	-156244.407666	-13418.057616
     38	25.038427	      330	21.398271	        0	-20755.860033	-169618.314676	-155826.965066	-13791.349610
     39	25.017120	      330	21.310295	        0	-20660.675990	-169003.787840	-155427.652244	-13576.135595
     40	25.141459	      330	21.376738	        0	-20714.483286	-168046.777240	-154904.700572	-13142.076668
     41	25.320454	      330	21.382225	        0	-20687.097550	-166531.227927	-153411.888960	-13119.338967
     42	25.377382	      330	21.368961	        0	-20656.022881	-166379.069839	-152972.223981	-13406.845858
     43	25.470224	      330	21.378020	        0	-20655.989391	-165700.348671	-152369.654624	-13330.694047
     44	25.495054	      330	21.383005	        0	-20656.198280	-164597.338522	-152100.027709	-12497.310813
     45	25.553909	      330	21.373013	        0	-20632.540755	-164535.497748	-151783.067861	-12752.429887
     46	25.614566	      330	21.383149	        0	-20632.587690	-164127.012356	-151519.409341	-12607.603015
     47	25.801162	      330	21.443607	        0	-20678.622209	-163274.005893	-150877.270871	-12396.735021
     48	25.943937	      330	21.462208	        0	-20678.579652	-163139.171762	-150294.375743	-12844.796020
     49	26.211976	      330	21.544889	        0	-20719.319417	-162930.159231	-149530.352828	-13399.806403
     50	26.139600	      330	21.466049	        0	-20640.323496	-162928.439258	-149399.235306	-13529.203952
     51	26.153716	      330	21.442919	        0	-20613.045389	-161996.496286	-149269.870945	-12726.625341
     52	26.274544	      330	21.454888	        0	-20613.072703	-161877.961541	-148768.515196	-13109.446345
     53	26.255718	      330	21.413213	        0	-20566.868247	-161880.372620	-148646.774802	-13233.597819
     54	26.220093	      330	21.357025	        0	-20505.691871	-161939.293536	-148600.048123	-13339.245414
     55	26.450280	      330	21.446052	        0	-20565.998168	-160881.236532	-148044.652292	-12836.584239
     56	26.426074	      330	21.378763	        0	-20494.376919	-160109.190510	-147858.554461	-12250.636049
     57	26.515280	      330	21.374707	        0	-20478.418641	-159705.805145	-147464.260605	-12241.544541
     58	26.602356	      330	21.395278	        0	-20478.375584	-159523.870983	-147118.223886	-12405.647097
     59	26.586140	      330	21.314226	        0	-20392.840230	-159488.836165	-146811.470112	-12677.366053
     60	26.803911	      330	21.382047	        0	-20424.949110	-159323.141324	-146268.774874	-13054.366449
     61	26.858953	      330	21.387708	        0	-20425.022377	-158877.536086	-146076.831396	-12800.704690
     62	26.963774	      330	21.400607	        0	-20425.178285	-157992.150809	-145637.128750	-12355.022059
     63	27.112762	      330	21.419532	        0	-20425.125780	-157847.745105	-145128.118069	-12719.627037
     64	27.367153	      330	21.470802	        0	-20425.164171	-157746.666911	-144540.420244	-13206.246667
     65	27.221153	      330	21.408101	        0	-20374.742181	-156707.540871	-144458.581835	-12248.959036
     66	27.322198	      330	21.426575	        0	-20374.695965	-156204.128263	-144060.095951	-12144.032312
     67	27.354298	      330	21.361945	        0	-20283.589369	-156120.591735	-143675.230193	-12445.361542
     68	27.399263	      330	21.312411	        0	-20221.905595	-155734.421214	-143404.845241	-12329.575972
     69	27.766261	      330	21.404339	        0	-20263.179248	-155544.523997	-142559.194652	-12985.329345
