Sample	theta_A	theta_B	theta_root	tau_root	tau_A	tau_B	Data-ld-ln	Full-ld-ln	Gene-ld-ln
0	 1.05519	 0.99670	 0.98682	9320.54034	 0.00000	 0.00000	-72432.158934	-725502.492644	1180.903307
1	 1.05519	 0.99670	 1.02897	9320.54370	 0.00000	 0.00000	-55827.007538	-554670.717267	-3599.358114
2	 1.05789	 0.99924	 0.98237	9344.35431	 0.00000	 0.00000	-44224.929785	-432242.837993	-10006.459854
3	 1.06128	 1.04452	 1.00943	9374.36822	 0.00000	 0.00000	-36033.305849	-346576.663319	-13756.395170
4	 1.10190	 1.09046	 1.00943	9374.37567	 0.00000	 0.00000	-30937.849298	-294417.738441	-14960.754541
5	 1.10190	 1.12328	 0.98302	9374.36313	 0.00000	 0.00000	-28363.822048	-266649.562235	-16988.658243
6	 1.15296	 1.18135	 1.02545	9389.14357	 0.00000	 0.00000	-25996.975493	-241512.519550	-18457.235380
7	 1.23074	 1.20044	 0.98969	9398.53466	 0.00000	 0.00000	-24694.694699	-226657.155468	-20289.791520
8	 1.27820	 1.22133	 0.94810	9398.54576	 0.00000	 0.00000	-23822.643600	-216069.232869	-22157.203126
9	 1.27820	 1.22133	 0.91591	9398.55520	 0.00000	 0.00000	-23529.634580	-211642.027363	-23654.318439
10	 1.27820	 1.24389	 0.93888	9398.57084	 0.00000	 0.00000	-23218.982969	-208967.193496	-23222.636195
11	 1.28159	 1.27080	 0.90516	9423.45844	 0.00000	 0.00000	-23013.451200	-205490.997820	-24643.514179
12	 1.28159	 1.28608	 0.88096	9423.46672	 0.00000	 0.00000	-22874.274098	-203612.348028	-25130.392950
13	 1.28554	 1.33622	 0.92120	9452.53850	 0.00000	 0.00000	-22610.934964	-201787.198273	-24322.151365
14	 1.34290	 1.39410	 0.89477	9452.54851	 0.00000	 0.00000	-22466.050854	-202169.622875	-22490.885669
15	 1.37031	 1.44630	 0.92582	9479.55092	 0.00000	 0.00000	-22359.502542	-200479.716466	-23115.308955
16	 1.37419	 1.45040	 0.99365	9506.43280	 0.00000	 0.00000	-22314.013457	-200438.335371	-22701.799196
17	 1.37419	 1.53475	 0.96661	9506.44181	 0.00000	 0.00000	-22215.766162	-199901.086862	-22256.574757
18	 1.38013	 1.58859	 0.93352	9547.57069	 0.00000	 0.00000	-22154.696976	-199357.867914	-22189.101841
19	 1.43213	 1.59531	 0.97177	9547.56054	 0.00000	 0.00000	-22066.372110	-199036.483765	-21627.237334
20	 1.43632	 1.67119	 0.93847	9575.51825	 0.00000	 0.00000	-21995.100036	-198649.204260	-21301.796098
21	 1.43632	 1.73303	 0.90602	9575.51120	 0.00000	 0.00000	-21944.959060	-198240.858505	-21208.732093
22	 1.47213	 1.82490	 0.87303	9575.50373	 0.00000	 0.00000	-21850.999760	-198072.192963	-20437.804636
23	 1.51988	 1.82490	 0.83338	9575.51602	 0.00000	 0.00000	-21803.992421	-197722.052047	-20317.872165
24	 1.58214	 1.90462	 0.87734	9615.19949	 0.00000	 0.00000	-21693.336052	-196892.074647	-20041.285873
25	 1.58214	 1.90462	 0.86461	9615.19145	 0.00000	 0.00000	-21687.035912	-196439.658993	-20430.700131
26	 1.58455	 2.02244	 0.91446	9629.85630	 0.00000	 0.00000	-21612.560700	-196158.655064	-19966.951937
27	 1.68030	 2.02887	 0.95690	9660.51804	 0.00000	 0.00000	-21540.510722	-196052.611026	-19352.496196
28	 1.76949	 2.02887	 0.94552	9660.53331	 0.00000	 0.00000	-21481.391038	-195766.932785	-19046.977595
29	 1.81042	 2.03783	 0.94970	9703.19314	 0.00000	 0.00000	-21444.660242	-195375.122649	-19071.479773
30	 1.81430	 2.04220	 0.92154	9723.97657	 0.00000	 0.00000	-21437.703871	-195003.990393	-19373.048319
31	 1.82279	 2.13695	 0.89440	9769.46270	 0.00000	 0.00000	-21372.500599	-194285.027787	-19439.978199
32	 1.86081	 2.13695	 0.87182	9769.47638	 0.00000	 0.00000	-21335.163097	-193598.132056	-19753.498916
33	 1.86081	 2.20333	 0.90622	9769.46898	 0.00000	 0.00000	-21298.041888	-193029.420961	-19950.997921
34	 1.86597	 2.33670	 0.92452	9796.53261	 0.00000	 0.00000	-21226.909638	-192685.617266	-19583.479118
35	 1.86597	 2.37720	 0.97786	9796.52231	 0.00000	 0.00000	-21206.252334	-192254.257840	-19808.265504
36	 1.87164	 2.38443	 0.94543	9826.27857	 0.00000	 0.00000	-21169.934384	-191540.828816	-20158.515024
37	 1.87454	 2.50042	 0.96654	9841.50087	 0.00000	 0.00000	-21111.701378	-191306.133945	-19810.879830
38	 1.88063	 2.62587	 1.00674	9873.48578	 0.00000	 0.00000	-21043.928633	-190660.693700	-19778.592634
39	 1.94980	 2.62587	 1.00674	9873.49902	 0.00000	 0.00000	-20986.870032	-189987.944092	-19880.756230
40	 1.94980	 2.62587	 1.05791	9873.51048	 0.00000	 0.00000	-20977.033660	-189615.352606	-20154.983995
41	 2.03403	 2.70400	 1.10756	9873.51643	 0.00000	 0.00000	-20890.866871	-189425.209417	-19483.459289
42	 2.03989	 2.77369	 1.06716	9901.97208	 0.00000	 0.00000	-20851.530769	-189080.388034	-19434.919659
43	 2.04320	 2.89051	 1.06889	9918.02147	 0.00000	 0.00000	-20796.605948	-188564.862737	-19401.196744
44	 2.15442	 2.97245	 1.12696	9918.02068	 0.00000	 0.00000	-20698.280101	-187898.635970	-19084.165038
45	 2.15971	 2.97975	 1.12973	9942.37267	 0.00000	 0.00000	-20682.345979	-187492.867584	-19330.592203
46	 2.16482	 2.98680	 1.17559	9965.91427	 0.00000	 0.00000	-20669.409221	-186898.659926	-19795.432279
47	 2.16482	 2.98680	 1.10651	9965.92542	 0.00000	 0.00000	-20660.348772	-186519.863854	-20083.623868
48	 2.17152	 3.10178	 1.13984	9996.81608	 0.00000	 0.00000	-20606.074469	-186312.488230	-19748.256458
49	 2.17572	 3.10777	 1.09640	10016.13540	 0.00000	 0.00000	-20584.624123	-185697.706347	-20148.534881
50	 2.18164	 3.26717	 1.05392	10043.37188	 0.00000	 0.00000	-20505.544399	-185002.253938	-20053.190052
51	 2.18834	 3.38552	 1.03479	10074.21720	 0.00000	 0.00000	-20455.631495	-184800.937094	-19755.377852
52	 2.20331	 3.38552	 1.08204	10074.22796	 0.00000	 0.00000	-20446.478463	-184652.457379	-19812.327251
53	 2.20808	 3.39285	 1.12297	10096.02406	 0.00000	 0.00000	-20438.580044	-184117.583939	-20268.216504
54	 2.26761	 3.40339	 1.08853	10127.37954	 0.00000	 0.00000	-20373.522886	-183019.474014	-20715.754842
55	 2.39032	 3.40339	 1.13339	10127.37257	 0.00000	 0.00000	-20300.317598	-182802.945593	-20200.230391
56	 2.50337	 3.40339	 1.07723	10127.36501	 0.00000	 0.00000	-20225.619892	-181995.571332	-20260.627592
57	 2.56364	 3.48369	 1.11155	10127.37178	 0.00000	 0.00000	-20166.220873	-181634.539689	-20027.669037
58	 2.57307	 3.60852	 1.19046	10164.61992	 0.00000	 0.00000	-20113.953888	-180963.563411	-20175.975471
59	 2.65873	 3.62178	 1.16898	10201.99580	 0.00000	 0.00000	-20064.662218	-180433.998931	-20212.623250
60	 2.65873	 3.62178	 1.22349	10201.99526	 0.00000	 0.00000	-20062.142608	-180075.428315	-20545.997761
61	 2.65873	 3.62178	 1.16211	10202.00436	 0.00000	 0.00000	-20058.336626	-179685.526559	-20897.839699
62	 2.78693	 3.63238	 1.12352	10231.83872	 0.00000	 0.00000	-19997.442283	-179410.635630	-20563.787198
63	 2.87636	 3.81658	 1.09527	10256.01127	 0.00000	 0.00000	-19900.387635	-178985.322713	-20018.553638
64	 2.97045	 3.82779	 1.05887	10286.12629	 0.00000	 0.00000	-19853.544917	-178505.861746	-20029.587419
65	 2.97045	 4.06723	 1.10239	10286.13587	 0.00000	 0.00000	-19786.583647	-178215.868747	-19649.967724
