iter	coalStatFlat	numCoalFlat	migStatFlat	numMigFlat	logPrior	logLikelihood	dataLogLikelihood	genealogyLogLikelihood
      0	0.187098	      150	0.163547	        0	34.529698	-404834.586343	-404636.296670	-198.289673
      1	0.539302	      150	0.286941	        0	34.497522	-326890.383625	-323555.062052	-3335.321573
      2	1.066149	      150	0.380657	        0	34.522462	-269266.603890	-261580.622084	-7685.981805
      3	1.525791	      150	0.505547	        0	34.514496	-244446.938679	-232839.507079	-11607.431600
      4	1.825822	      150	0.572447	        0	34.432430	-219359.267840	-205181.808280	-14177.459560
      5	1.984281	      150	0.612965	        0	34.468935	-206439.433145	-191712.379290	-14727.053854
      6	2.174322	      150	0.630966	        0	34.424516	-200081.961358	-184232.686064	-15849.275295
      7	2.257792	      150	0.656755	        0	34.346266	-194290.733665	-178942.860322	-15347.873342
      8	2.378271	      150	0.709376	        0	34.237662	-191861.927168	-176051.396097	-15810.531071
      9	2.448377	      150	0.732432	        0	34.133565	-187564.709432	-172375.015542	-15189.693889
     10	2.455005	      150	0.760590	        0	34.114198	-186528.184799	-171293.510146	-15234.674653
     11	2.439213	      150	0.760831	        0	34.105839	-183877.190287	-169587.431451	-14289.758836
     12	2.550037	      150	0.791172	        0	34.106208	-181730.683513	-166727.183537	-15003.499976
     13	2.627781	      150	0.797661	        0	34.113664	-177700.528022	-162196.332355	-15504.195667
     14	2.675546	      150	0.818024	        0	34.043453	-175735.130590	-160681.036073	-15054.094517
     15	2.698257	      150	0.854151	        0	33.977550	-173467.349355	-158317.491053	-15149.858302
     16	2.840410	      150	0.855800	        0	34.081970	-172251.304359	-156260.859683	-15990.444676
     17	2.885219	      150	0.869697	        0	34.091787	-172082.200074	-155817.223650	-16264.976423
     18	2.921872	      150	0.874853	        0	34.026644	-171093.474323	-155274.756073	-15818.718250
     19	2.967753	      150	0.884028	        0	33.861519	-170102.184668	-154758.121923	-15344.062744
     20	3.039672	      150	0.909463	        0	33.819566	-169475.234367	-154235.090495	-15240.143872
     21	3.037644	      150	0.910367	        0	33.827057	-169299.780365	-154085.648676	-15214.131690
     22	3.067453	      150	0.933675	        0	33.887765	-169136.511886	-153818.012464	-15318.499422
     23	3.052924	      150	0.924309	        0	33.905371	-168488.491094	-153857.930631	-14630.560463
     24	3.079376	      150	0.930005	        0	33.897003	-168390.043129	-153675.040366	-14715.002763
     25	3.080399	      150	0.944912	        0	33.840273	-168312.544855	-153592.195309	-14720.349546
     26	3.071452	      150	0.945023	        0	33.732061	-167499.200010	-153315.831313	-14183.368697
     27	3.079877	      150	0.957342	        0	33.584274	-166210.514060	-152662.538963	-13547.975096
     28	3.148706	      150	0.980752	        0	33.520990	-165541.232944	-152162.697066	-13378.535878
     29	3.199801	      150	1.016717	        0	33.464862	-165409.804942	-151808.268413	-13601.536529
     30	3.276602	      150	1.039706	        0	33.366197	-165038.456479	-151130.729807	-13907.726671
     31	3.318508	      150	1.057221	        0	33.443190	-164895.343188	-150792.207958	-14103.135230
     32	3.369423	      150	1.076145	        0	33.376757	-164773.992125	-150473.881911	-14300.110214
     33	3.400480	      150	1.069588	        0	33.301747	-164514.363153	-150069.809905	-14444.553248
     34	3.424211	      150	1.074982	        0	33.358619	-164351.929516	-149826.049092	-14525.880424
     35	3.469233	      150	1.080941	        0	33.361559	-164254.761299	-149519.871714	-14734.889584
     36	3.496698	      150	1.089789	        0	33.298762	-163694.714489	-149374.784379	-14319.930110
     37	3.513497	      150	1.092089	        0	33.225054	-163673.407895	-149278.123631	-14395.284264
     38	3.587385	      150	1.125594	        0	33.084876	-162773.570764	-148925.913890	-13847.656874
     39	3.612894	      150	1.138072	        0	32.881943	-161778.046776	-148689.309986	-13088.736791
     40	3.769563	      150	1.187479	        0	32.714927	-160565.703289	-147744.809482	-12820.893808
     41	3.913517	      150	1.232731	        0	32.643549	-160385.135844	-147039.280301	-13345.855543
     42	4.093718	      150	1.283233	        0	32.486504	-159181.865803	-146061.402192	-13120.463611
     43	4.289275	      150	1.355593	        0	32.401995	-158694.244927	-144915.148953	-13779.095974
     44	4.513267	      150	1.409697	        0	32.465523	-158447.850199	-143918.402609	-14529.447590
     45	4.497956	      150	1.396160	        0	32.376890	-157808.472498	-143863.154030	-13945.318468
     46	4.610957	      150	1.422149	        0	32.225026	-157398.279919	-143350.976105	-14047.303814
     47	4.692347	      150	1.432531	        0	32.177112	-157213.413820	-142942.852046	-14270.561774
     48	4.803095	      150	1.454279	        0	32.170976	-156682.600597	-142486.774951	-14195.825646
     49	4.959497	      150	1.531167	        0	32.142421	-155932.487625	-141842.418582	-14090.069043
     50	5.003573	      150	1.531410	        0	32.023546	-155364.177525	-141604.316437	-13759.861089
     51	5.152843	      150	1.587739	        0	32.000379	-155093.006544	-141056.105009	-14036.901535
     52	5.239298	      150	1.602402	        0	31.991169	-154764.566527	-140524.327251	-14240.239276
     53	5.308343	      150	1.613338	        0	32.007162	-154162.526973	-140083.160606	-14079.366367
     54	5.373741	      150	1.628674	        0	31.718226	-153221.489143	-139722.629922	-13498.859221
