Sample	theta_A	theta_B	theta_root	tau_root	tau_A	tau_B	Data-ld-ln	Full-ld-ln	Gene-ld-ln
0	 1.04891	 1.08901	 0.96946	9720.18254	 0.00000	 0.00000	-74453.229242	-746206.727185	1674.434767
1	 1.04891	 1.08901	 0.96946	9720.18254	 0.00000	 0.00000	-58989.856969	-589698.704078	-199.865612
2	 1.04891	 1.08901	 0.96946	9720.18254	 0.00000	 0.00000	-46535.585990	-463533.382840	-1822.477057
3	 1.04891	 1.08901	 0.96946	9720.18254	 0.00000	 0.00000	-41737.321628	-413922.620323	-3450.595957
4	 1.05207	 1.09229	 0.97238	9749.47182	 0.00000	 0.00000	-37669.067382	-371377.485797	-5313.188019
5	 1.05207	 1.09229	 0.97238	9749.47182	 0.00000	 0.00000	-33287.138828	-325713.907246	-7157.481034
6	 1.05546	 1.09581	 0.97551	9780.86398	 0.00000	 0.00000	-29644.481192	-287032.173718	-9412.638203
7	 1.05807	 1.09852	 0.97792	9805.07963	 0.00000	 0.00000	-28230.195557	-269993.832132	-12308.123439
8	 1.05807	 1.09852	 0.97792	9805.07963	 0.00000	 0.00000	-26380.694669	-251221.971793	-12584.974898
9	 1.06086	 1.10141	 0.98050	9830.88730	 0.00000	 0.00000	-25068.348342	-237341.813543	-13341.669880
10	 1.06341	 1.10406	 0.98285	9854.53457	 0.00000	 0.00000	-24130.658829	-228339.400482	-12967.187811
11	 1.06341	 1.10406	 0.98285	9854.53457	 0.00000	 0.00000	-23026.336087	-216886.155557	-13377.205315
12	 1.06341	 1.10406	 0.98285	9854.53457	 0.00000	 0.00000	-21875.526991	-205726.580969	-13028.688939
13	 1.06530	 1.10602	 0.98460	9872.00941	 0.00000	 0.00000	-21040.105477	-197318.201080	-13082.853692
14	 1.06530	 1.10602	 0.98460	9872.00941	 0.00000	 0.00000	-20786.003605	-194481.974709	-13378.061344
15	 1.06691	 1.10770	 0.98609	9886.98257	 0.00000	 0.00000	-20452.307494	-191055.716070	-13467.358871
16	 1.06910	 1.10997	 0.98811	9907.23988	 0.00000	 0.00000	-20007.071260	-186471.558767	-13599.153829
17	 1.07245	 1.11344	 0.99121	9938.25956	 0.00000	 0.00000	-19646.787329	-182982.546956	-13485.326338
18	 1.07245	 1.11344	 0.99121	9938.25956	 0.00000	 0.00000	-19499.745302	-181450.311038	-13547.141983
19	 1.07245	 1.11344	 0.99121	9938.25956	 0.00000	 0.00000	-19177.573309	-177884.096106	-13891.636984
20	 1.07420	 1.11526	 0.99283	9954.52735	 0.00000	 0.00000	-18847.749184	-173224.206368	-15253.285476
21	 1.07826	 1.11948	 0.99658	9992.15256	 0.00000	 0.00000	-18577.857681	-170229.265817	-15549.310990
22	 1.07826	 1.11948	 0.99658	9992.15256	 0.00000	 0.00000	-18266.746492	-166923.174331	-15744.290589
23	 1.07826	 1.11948	 0.99658	9992.15256	 0.00000	 0.00000	-18113.821172	-165751.251548	-15386.960173
24	 1.08146	 1.12280	 0.99954	10021.79191	 0.00000	 0.00000	-18005.090275	-164562.193213	-15488.709541
25	 1.08275	 1.12414	 1.00073	10033.75823	 0.00000	 0.00000	-17970.390837	-164106.690013	-15597.218359
26	 1.08553	 1.12702	 1.00330	10059.50202	 0.00000	 0.00000	-17911.125843	-163557.750520	-15553.507910
27	 1.08652	 1.12805	 1.00421	10068.67431	 0.00000	 0.00000	-17864.402188	-163157.368847	-15486.653033
28	 1.08965	 1.13130	 1.00711	10097.68448	 0.00000	 0.00000	-17830.398621	-162689.787639	-15614.198571
29	 1.08965	 1.13130	 1.00711	10097.68448	 0.00000	 0.00000	-17819.187235	-162478.699551	-15713.172796
30	 1.08965	 1.13130	 1.00711	10097.68448	 0.00000	 0.00000	-17803.958277	-162305.239264	-15734.343504
31	 1.09323	 1.13502	 1.01042	10130.86733	 0.00000	 0.00000	-17785.870521	-162056.659093	-15802.046117
32	 1.09323	 1.13502	 1.01042	10130.86733	 0.00000	 0.00000	-17764.174888	-161875.359790	-15766.389093
33	 1.09661	 1.13853	 1.01354	10162.18961	 0.00000	 0.00000	-17750.987513	-161666.712559	-15843.162575
34	 1.09433	 1.13616	 1.01143	10141.03727	 0.00000	 0.00000	-17737.261664	-161522.737878	-15849.878762
35	 1.09131	 1.13303	 1.00864	10113.06619	 0.00000	 0.00000	-17710.947385	-161375.201066	-15734.272784
36	 1.09131	 1.13303	 1.00864	10113.06619	 0.00000	 0.00000	-17693.962999	-161059.558606	-15880.071385
37	 1.09482	 1.13667	 1.01188	10145.57438	 0.00000	 0.00000	-17685.928656	-161013.820104	-15845.466459
38	 1.09890	 1.14091	 1.01566	10183.43321	 0.00000	 0.00000	-17671.372370	-160858.539345	-15855.184359
39	 1.10200	 1.14412	 1.01852	10212.11422	 0.00000	 0.00000	-17656.155489	-160788.825492	-15772.729399
40	 1.09995	 1.14200	 1.01663	10193.18708	 0.00000	 0.00000	-17655.951342	-160778.431209	-15781.082215
41	 1.09995	 1.14200	 1.01663	10193.18708	 0.00000	 0.00000	-17641.833953	-160778.269103	-15640.070430
42	 1.10235	 1.14449	 1.01885	10215.42734	 0.00000	 0.00000	-17556.987626	-159944.827038	-15625.049226
43	 1.10235	 1.14449	 1.01885	10215.42734	 0.00000	 0.00000	-17527.103846	-159272.259527	-15998.778934
44	 1.10235	 1.14449	 1.01885	10215.42734	 0.00000	 0.00000	-17519.533018	-159307.615663	-15887.714521
45	 1.10235	 1.14449	 1.01885	10215.42734	 0.00000	 0.00000	-17518.857187	-159233.360572	-15955.211295
46	 1.09722	 1.13916	 1.01410	10167.84023	 0.00000	 0.00000	-17527.794246	-159293.535990	-15984.406470
47	 1.10042	 1.14249	 1.01706	10197.50416	 0.00000	 0.00000	-17515.583113	-159149.018385	-16006.812745
48	 1.10338	 1.14556	 1.01980	10224.96278	 0.00000	 0.00000	-17507.735431	-159288.067201	-15789.287108
49	 1.10576	 1.14803	 1.02199	10246.96029	 0.00000	 0.00000	-17492.947463	-159179.098690	-15750.375944
50	 1.10899	 1.15138	 1.02498	10276.88339	 0.00000	 0.00000	-17487.823849	-159072.187538	-15806.050950
51	 1.10899	 1.15138	 1.02498	10276.88339	 0.00000	 0.00000	-17477.012344	-158822.472827	-15947.650609
52	 1.10608	 1.14836	 1.02229	10249.91797	 0.00000	 0.00000	-17478.202396	-158895.790493	-15886.233465
53	 1.10608	 1.14836	 1.02229	10249.91797	 0.00000	 0.00000	-17478.117054	-158845.077833	-15936.092710
54	 1.11006	 1.15249	 1.02597	10286.83443	 0.00000	 0.00000	-17471.236708	-158653.115813	-16059.251262
55	 1.11006	 1.15249	 1.02597	10286.83443	 0.00000	 0.00000	-17462.391016	-158502.271371	-16121.638791
56	 1.11006	 1.15249	 1.02597	10286.83443	 0.00000	 0.00000	-17461.634535	-158520.577487	-16095.767864
57	 1.11006	 1.15249	 1.02597	10286.83443	 0.00000	 0.00000	-17460.555252	-158479.345061	-16126.207459
58	 1.10763	 1.14997	 1.02372	10264.31397	 0.00000	 0.00000	-17459.422525	-158421.787816	-16172.437432
59	 1.10763	 1.14997	 1.02372	10264.31397	 0.00000	 0.00000	-17459.918700	-158390.226135	-16208.960862
60	 1.10542	 1.14768	 1.02168	10243.85267	 0.00000	 0.00000	-17460.146580	-158478.184305	-16123.281499
61	 1.10389	 1.14608	 1.02026	10229.61255	 0.00000	 0.00000	-17462.962225	-158536.280335	-16093.341914
62	 1.10193	 1.14405	 1.01845	10211.47219	 0.00000	 0.00000	-17451.973617	-158534.691350	-15985.044817
63	 1.09890	 1.14091	 1.01565	10183.39662	 0.00000	 0.00000	-17430.333194	-158174.823157	-16128.508788
64	 1.09612	 1.13802	 1.01309	10157.68325	 0.00000	 0.00000	-17435.363654	-158252.327252	-16101.309293
65	 1.09213	 1.13388	 1.00940	10120.68753	 0.00000	 0.00000	-17437.262149	-158420.172156	-15952.449335
66	 1.09478	 1.13663	 1.01184	10145.19230	 0.00000	 0.00000	-17426.264075	-158375.409684	-15887.231067
67	 1.09686	 1.13879	 1.01377	10164.53499	 0.00000	 0.00000	-17418.374001	-158271.491473	-15912.248533
68	 1.09686	 1.13879	 1.01377	10164.53499	 0.00000	 0.00000	-17416.174572	-158245.234555	-15916.511167
69	 1.09255	 1.13432	 1.00979	10124.58939	 0.00000	 0.00000	-17423.217533	-158291.458501	-15940.716832
70	 1.08824	 1.12984	 1.00580	10084.60333	 0.00000	 0.00000	-17429.189807	-158392.550756	-15899.347310
71	 1.09174	 1.13347	 1.00904	10117.05166	 0.00000	 0.00000	-17421.311749	-158243.290054	-15969.827433
72	 1.09475	 1.13660	 1.01182	10144.99132	 0.00000	 0.00000	-17416.111567	-158207.863579	-15953.252094
73	 1.09721	 1.13915	 1.01410	10167.76432	 0.00000	 0.00000	-17412.853244	-158222.811625	-15905.720813
74	 1.09346	 1.13526	 1.01062	10132.96592	 0.00000	 0.00000	-17419.651693	-158253.783439	-15942.733491
75	 1.08977	 1.13143	 1.00722	10098.80770	 0.00000	 0.00000	-17426.165735	-158274.694885	-15986.962465
76	 1.08703	 1.12858	 1.00469	10073.42589	 0.00000	 0.00000	-17430.626597	-158270.625171	-16035.640796
77	 1.08703	 1.12858	 1.00469	10073.42589	 0.00000	 0.00000	-17429.429879	-158190.543674	-16103.755115
78	 1.08958	 1.13123	 1.00704	10097.07409	 0.00000	 0.00000	-17422.482558	-158084.740491	-16140.085094
79	 1.08727	 1.12884	 1.00491	10075.66765	 0.00000	 0.00000	-17427.366061	-158175.327629	-16098.332983
80	 1.08428	 1.12573	 1.00215	10047.97112	 0.00000	 0.00000	-17433.047626	-158256.882130	-16073.594133
81	 1.08726	 1.12882	 1.00489	10075.51369	 0.00000	 0.00000	-17427.761922	-158150.183959	-16127.435259
82	 1.09190	 1.13364	 1.00919	10118.54256	 0.00000	 0.00000	-17417.364354	-158013.041777	-16160.601765
83	 1.09327	 1.13506	 1.01045	10131.19663	 0.00000	 0.00000	-17414.990005	-157979.665372	-16170.234680
84	 1.09327	 1.13506	 1.01045	10131.19663	 0.00000	 0.00000	-17415.028515	-157935.091478	-16215.193677
85	 1.09008	 1.13175	 1.00750	10101.67188	 0.00000	 0.00000	-17422.356317	-157997.201517	-16226.361655
86	 1.08639	 1.12792	 1.00410	10067.49854	 0.00000	 0.00000	-17427.439267	-157970.716513	-16303.676153
87	 1.08461	 1.12607	 1.00245	10050.99577	 0.00000	 0.00000	-17429.520857	-157992.232675	-16302.975894
88	 1.08890	 1.13053	 1.00642	10090.75825	 0.00000	 0.00000	-17420.321826	-157879.907060	-16323.311199
89	 1.09325	 1.13504	 1.01043	10131.01782	 0.00000	 0.00000	-17413.096945	-157753.830602	-16377.138850
90	 1.08996	 1.13162	 1.00739	10100.52363	 0.00000	 0.00000	-17418.838691	-157862.560615	-16325.826291
91	 1.08657	 1.12810	 1.00426	10069.11407	 0.00000	 0.00000	-17425.705799	-157907.664736	-16349.393257
92	 1.08424	 1.12569	 1.00211	10047.57542	 0.00000	 0.00000	-17429.365599	-157973.453358	-16320.202631
93	 1.08424	 1.12569	 1.00211	10047.57542	 0.00000	 0.00000	-17429.435796	-157953.579869	-16340.778088
94	 1.08626	 1.12779	 1.00398	10066.29487	 0.00000	 0.00000	-17424.862572	-157683.609614	-16565.016107
95	 1.08626	 1.12779	 1.00398	10066.29487	 0.00000	 0.00000	-17425.425605	-157619.239481	-16635.016567
96	 1.09054	 1.13223	 1.00793	10105.92243	 0.00000	 0.00000	-17416.783825	-157566.324591	-16601.513664
