iter	coalStatFlat	numCoalFlat	migStatFlat	numMigFlat	logPrior	root_theta	logLikelihood	dataLogLikelihood	genealogyLogLikelihood
      0	0.721078	     3100	0.075605	        0	33.414711	1.075599	-125262.926486	-152348.166874	-27085.240388
      1	0.733193	     3100	0.082442	        0	33.261403	1.115399	-121459.547737	-148501.910608	-27042.362870
      2	0.708708	     3100	0.079157	        0	33.187359	1.115399	-119539.654541	-146710.064383	-27170.409842
      3	0.732727	     3100	0.080599	        0	33.073021	1.171738	-118742.457245	-145799.937643	-27057.480398
      4	0.754923	     3100	0.085804	        0	32.937939	1.224174	-118026.780684	-144973.647186	-26946.866502
      5	0.756087	     3100	0.087647	        0	32.776879	1.225987	-117643.419169	-144586.731317	-26943.312148
      6	0.781279	     3100	0.090034	        0	32.654611	1.260301	-117425.412372	-144263.312211	-26837.899839
      7	0.827749	     3100	0.097253	        0	32.583272	1.263287	-117362.365897	-143997.180038	-26634.814141
      8	0.807854	     3100	0.096712	        0	32.540279	1.316094	-117058.942629	-143774.010323	-26715.067694
      9	0.831327	     3100	0.099026	        0	32.454785	1.313562	-116921.216008	-143548.183764	-26626.967757
     10	0.840983	     3100	0.097621	        0	32.353022	1.373534	-116848.069705	-143452.843537	-26604.773832
     11	0.847047	     3100	0.098202	        0	32.341830	1.376501	-116784.737802	-143368.939122	-26584.201321
     12	0.863710	     3100	0.102206	        0	32.330598	1.379478	-116738.314446	-143245.638886	-26507.324440
     13	0.871075	     3100	0.104416	        0	32.228502	1.408463	-116738.651157	-143216.247858	-26477.596702
     14	0.880371	     3100	0.103794	        0	32.120563	1.408463	-116675.603411	-143128.184159	-26452.580748
     15	0.901370	     3100	0.107125	        0	31.941811	1.480739	-116697.797400	-143065.934051	-26368.136651
     16	0.913126	     3100	0.107816	        0	31.909464	1.480739	-116700.707344	-143038.046359	-26337.339015
     17	0.936817	     3100	0.110763	        0	31.813347	1.484826	-116760.048615	-143012.623197	-26252.574582
     18	0.964726	     3100	0.111833	        0	31.702233	1.580438	-116869.567663	-143021.545602	-26151.977939
     19	0.962366	     3100	0.112651	        0	31.485173	1.665933	-116796.025172	-142973.724280	-26177.699109
     20	0.975268	     3100	0.117606	        0	31.478689	1.671514	-116819.569508	-142928.209704	-26108.640196
     21	1.012496	     3100	0.122062	        0	31.315303	1.671514	-116914.128385	-142892.842109	-25978.713725
     22	1.010274	     3100	0.122466	        0	31.055984	1.749219	-116896.165198	-142895.435716	-25999.270518
     23	1.095483	     3100	0.129361	        0	31.008122	1.756025	-117180.013332	-142907.583365	-25727.570033
     24	1.123233	     3100	0.130465	        0	30.839075	1.805131	-117239.045946	-142890.309798	-25651.263852
     25	1.129927	     3100	0.132641	        0	30.666544	1.896990	-117274.744523	-142889.353660	-25614.609137
     26	1.142842	     3100	0.135948	        0	30.501346	1.951918	-117245.378451	-142844.231029	-25598.852578
     27	1.199823	     3100	0.142837	        0	30.328138	1.973231	-117370.266434	-142799.753756	-25429.487322
     28	1.233508	     3100	0.148439	        0	30.081687	2.028219	-117457.893966	-142807.906592	-25350.012626
     29	1.282553	     3100	0.150561	        0	29.898317	2.129298	-117524.960979	-142757.454478	-25232.493500
     30	1.231330	     3100	0.145517	        0	29.996318	2.124234	-117390.050838	-142759.377723	-25369.326885
     31	1.246812	     3100	0.151011	        0	29.811889	2.153148	-117460.734369	-142771.334284	-25310.599914
     32	1.295402	     3100	0.150140	        0	29.620076	2.159162	-117551.699891	-142752.701852	-25201.001961
     33	1.379719	     3100	0.155739	        0	29.444409	2.283863	-117770.981654	-142778.678011	-25007.696357
     34	1.352122	     3100	0.156661	        0	29.390697	2.276201	-117714.881475	-142783.519736	-25068.638261
     35	1.340125	     3100	0.158658	        0	29.366004	2.283102	-117715.848516	-142795.325561	-25079.477046
     36	1.430745	     3100	0.165642	        0	29.076829	2.419927	-117891.265656	-142770.900865	-24879.635208
     37	1.447437	     3100	0.167845	        0	28.972998	2.511299	-117929.118471	-142752.259018	-24823.140547
     38	1.438668	     3100	0.168697	        0	28.918168	2.584216	-117879.180502	-142732.520872	-24853.340370
     39	1.386312	     3100	0.168663	        0	28.641122	2.680886	-117731.080003	-142722.589738	-24991.509735
     40	1.476817	     3100	0.174615	        0	28.371332	2.839381	-117922.710986	-142696.856027	-24774.145041
     41	1.497404	     3100	0.179572	        0	28.235408	2.839381	-117980.009522	-142704.250256	-24724.240734
     42	1.502497	     3100	0.179118	        0	27.990883	2.968387	-117961.223788	-142683.324580	-24722.100792
     43	1.536357	     3100	0.185620	        0	27.800589	2.938691	-117991.267659	-142634.778808	-24643.511148
     44	1.620745	     3100	0.192516	        0	27.632958	3.076783	-118220.718433	-142666.266170	-24445.547737
     45	1.598546	     3100	0.191366	        0	27.572850	3.069074	-118175.265112	-142665.689143	-24490.424031
     46	1.629217	     3100	0.191354	        0	27.368763	3.060160	-118210.044813	-142648.359518	-24438.314704
     47	1.680436	     3100	0.200198	        0	27.244080	3.141768	-118335.350975	-142668.494660	-24333.143685
     48	1.733097	     3100	0.205885	        0	27.058941	3.319846	-118419.790488	-142647.589250	-24227.798762
     49	1.720568	     3100	0.205300	        0	26.979237	3.427070	-118390.407671	-142641.949883	-24251.542212
