iteration	A_coal_stats_total	A_num_coals_total	B_coal_stats_total	B_num_coals_total	C_coal_stats_total	C_num_coals_total	D_coal_stats_total	D_num_coals_total	AB_coal_stats_total	AB_num_coals_total	ABC_coal_stats_total	ABC_num_coals_total	root_coal_stats_total	root_num_coals_total	A__pop_coal_stats_total	A__pop_num_coals_total	B__pop_coal_stats_total	B__pop_num_coals_total	C__pop_coal_stats_total	C__pop_num_coals_total	D__pop_coal_stats_total	D__pop_num_coals_total	AB__pop_coal_stats_total	AB__pop_num_coals_total	ABC__pop_coal_stats_total	ABC__pop_num_coals_total	root__pop_coal_stats_total	root__pop_num_coals_total	D->B_mig_stats	D->B_num_migs	
0	0.01003836851818789427381872769728943	99	0.01003663459882570344050556343518110	94	0.01709724566690157612769418449261138	176	0.06664074285279539267001780444843462	563	0.10022062980414878086143914970307378	573	0.56769008997623648937747020681854337	3892	1.55713948195917706307511707564117387	7000	0.01003836851818788213075439585963977	99	0.01003663459882569129744123159753144	94	0.01709724566690150326930819346671342	176	0.06664074285279519838098849504604004	563	0.03995149531885310717482795439536858	380	0.31501027543621451521005383256124333	3143	0.31238811255558063262327550546615385	2545	0.01029310766816384989374988379040587	0	
5	0.00919398060921915692700334687970098	84	0.00922677474033998037961090687986143	81	0.01866413949588551987601725556942256	173	0.07253474086236809392769231408237829	469	0.10909739817612634782406644262664486	576	0.59686065786089936846536829762044363	3826	1.68929488151308104804115828301291913	7000	0.00919398060921798945810401448852645	84	0.00922677474033877995096553092935210	81	0.01866413949588501680620922229536518	173	0.07253474086236848250575093288716744	469	0.05382604452864204330753139515763905	411	0.32138554372264155345462199875328224	3077	0.37438455131744285964146001788321882	2705	0.00941180513567438890853988908702377	3	
10	0.01040064757379740439935389417769329	98	0.01050091745527126363413117360323668	80	0.01976387860423750933436259913378308	157	0.07719337790278783806297013825314934	436	0.11352965014037523505674442958479631	598	0.62916801417880419133865643743774854	3804	1.80654738450234408908556815731571987	7000	0.01040064757379637917777959188470049	98	0.01050091745527017422778826016838138	80	0.01976387860423726994252291433440405	157	0.07719337790278521516107446132082259	436	0.05081599599126046529207201274402905	420	0.34086686307964897402200676879147068	3049	0.41718869895007598680436444738006685	2760	0.01073230994851860457817149807624446	1	
15	0.01069402690691128622602068531932673	113	0.01082543242167588112834231139913754	85	0.01992325485584715838438540913557517	185	0.07922014836389504321978449752350571	412	0.11660194315531745290481779875335633	589	0.64407484381304891396524681113078259	3757	1.88251600148190667560754718579119071	7000	0.01069402690690952895113952081374009	113	0.01082543242167403885201082403000328	85	0.01992325485584632571711694026816986	185	0.07922014836389232317337416588998167	412	0.05198637814015666380740299246099312	391	0.34970657067205940249365880845289212	2983	0.46061533221251110825633645617926959	2831	0.01107246731409099009535434987583358	3	
20	0.00980356551135623706383359632354768	95	0.00987077402186225041913480993116536	76	0.01933965716976220397538277495641523	155	0.08519530156183109659284724557437585	389	0.11280504656502507443427418820647290	519	0.67682632037663126300941485169460066	3745	2.07158045349730324247161661332938820	7000	0.00980356551135485969339367073871472	95	0.00987077402186078457779760952917059	76	0.01933965716976175988617292489379906	155	0.08519530156182630875605354958679527	389	0.05376399626953779625759821669817029	348	0.39183952313371367415228974095953163	3071	0.56751964491140682866898714564740658	2866	0.01008190491713275779850356173028558	0	
25	0.00890737938781299004586955447848595	108	0.00908270344656133751803928078061290	67	0.01917977618124618727213359647976176	140	0.08986666508742718884050759697856847	378	0.11020207884894198113734375965577783	470	0.73041132156868504576863188049173914	3625	2.35085596559547349571062113682273775	7000	0.00890737938781149991840369040119185	108	0.00908270344655973810299443016447185	67	0.01917977618124563216062128390149155	140	0.08986666508741612824362476885653450	378	0.05616637025087663215305866515336675	295	0.45054486045079505940336161984305363	3015	0.73578954001284746500033406846341677	2997	0.00926504464828613143179136812932484	2	
30	0.00809742331881045142305541872929098	88	0.00820216048075080028656458352998015	54	0.01937264417940878433177509521101456	160	0.09480841423648139754121189071156550	370	0.11435666327559926291890235461323755	451	0.75675847993156486470667232424602844	3613	2.43967517369530106918773526558652520	7000	0.00809742331880950079459058343900324	88	0.00820216048074980282056589686590087	54	0.01937264417940796901174138611168019	160	0.09480841423646771404243338565720478	370	0.06542285765056359003732922019480611	309	0.46913129236271339239650046692986507	3002	0.75785678215485097197756658715661615	3017	0.00832005568746342974439933470875985	1	
35	0.00815418848243612028048321604956072	70	0.00814850704200131489840508436373057	76	0.01956253390576746797879792438834556	182	0.09911228419377819676139296234396170	368	0.11593075584064112260040957380624604	431	0.82354030755396778751276087859878317	3501	2.78255848121282101104156936344224960	7000	0.00815418848243489036153874849333079	70	0.00814850704200008324473714083069353	76	0.01956253390576913331333486212315620	182	0.09911228419376404141782899159807130	368	0.06700850994047422015675863349315478	285	0.53223287914315786650831796578131616	2888	0.97452742983144935440265044235275127	3131	0.00831456377217249832656253971663318	1	
40	0.00750473809597447787805846175501756	64	0.00760348630264807284762085259899322	44	0.02067109592154081632031648041447625	168	0.10473434987630175774242502484412398	386	0.12247354775708513274778965751465876	452	0.87474564905906093681409174678265117	3496	2.94147600774877648888150361017324030	7000	0.00750473809597350903499712870825533	64	0.00760348630264709272885692570298488	44	0.02067109592154144775966173597225861	168	0.10473434987628575665308261477548513	386	0.07713665666145763655237033162848093	344	0.56703147666051068043202576518524438	2876	1.02167142564874269261565586930373684	3118	0.00767866065146899021143234165265312	1	
45	0.00801437508917276879294444569268308	58	0.00793216204749496757442361882795012	70	0.02065967642774333909438944090197765	194	0.11076936277953165765897125538685941	326	0.12372579673909618602767324091473711	415	0.92509009335684466712734774773707613	3382	3.20250308069561562263061205158010125	7000	0.00801437508917149203646612676266159	58	0.00793216204749368734849834794431445	70	0.02065967642774376236691757924290869	194	0.11076936277951292264543070587023976	326	0.07587388772310946216670402009185636	287	0.61514310238843750155979250848758966	2773	1.17651163561957949887926133669679984	3292	0.00808839022921910462404770925104458	1	
50	0.00931279535264335246724787253924660	61	0.00921690542228113633693720174733244	81	0.02044538518126180065559438503441925	184	0.11199695927945643725287538927659625	293	0.12253176793964172530682077422170551	430	0.93494456095181877053335028904257342	3318	3.32079350993258426427701124339364469	7000	0.00931279535264335420197134851605369	61	0.00921690542228113113276677381691115	81	0.02044538518126201229185845420488477	184	0.11199695927945643725287538927659625	293	0.06692387656746390245388056428055279	288	0.62810919940686826823394994789850898	2704	1.27062685513049400398699617653619498	3389	0.00942707965574230734306926393628601	1	
55	0.01031669880565119074011803945722932	57	0.01024233653909995336861449288790027	74	0.01967874886010475762865290505487792	181	0.11712155047042334399254315258076531	332	0.11930927742705313421289758935017744	396	0.98134443995077591527120830505737104	3310	3.52860937606458202608905594388488680	7000	0.01031669880564981336967811387239635	57	0.01024233653909854650787547569734670	74	0.01967874886010615581577454236139602	181	0.11712155047041719613254429077642271	332	0.05762565628189549038484784659885918	265	0.68374337016622965812473466939991340	2733	1.37835409571274936091356266842922196	3358	0.01044345709005878655717403091784945	5	
