iteration	C_AB cs	C_AB nc	C_AB_A cs	C_AB_A nc	C_AB_B cs	C_AB_B nc	C_ABC cs	C_ABC nc	C_ABC_A cs	C_ABC_A nc	C_ABC_B cs	C_ABC_B nc	C_ABC_C cs	C_ABC_C nc	C_root cs	C_root nc	C_root_A cs	C_root_A nc	C_root_B cs	C_root_B nc	C_root_C cs	C_root_C nc	C_root_D cs	C_root_D nc	C_root_D->B ms	C_root_D->B nm	P_A cs	P_A nc	P_B cs	P_B nc	P_C cs	P_C nc	P_D cs	P_D nc	P_AB cs	P_AB nc	P_ABC cs	P_ABC nc	P_root cs	P_root nc	
0	0.03995149531885319738044870518933749	380	0.01003836851818789427381872769728943	99	0.01003663459882570344050556343518110	94	0.41731018764480382055026552734489087	3590	0.01003836851818789427381872769728943	99	0.01003663459882570344050556343518110	94	0.00998286389125625436835598236484657	109	1.27535687102660899583383979916106910	6623	0.01003836851818789427381872769728943	99	0.01003663459882570344050556343518110	94	0.00998286389125625436835598236484657	109	0.01017428648893768487748712203710966	75	0.01029310766816384642430293183679169	0	0.01003836851818788213075439585963977	99	0.01003663459882569129744123159753144	94	0.01709724566690150326930819346671342	176	0.06664074285279519838098849504604004	563	0.03995149531885310717482795439536858	380	0.31501027543621451521005383256124333	3143	0.31238811255558063262327550546615385	2545	
5	0.05382604452864438865367091580083070	411	0.00919398060921915692700334687970098	84	0.00922677474033998037961090687986143	81	0.45889083457781154606891504954546690	3573	0.00919398060921915692700334687970098	84	0.00922677474033998037961090687986143	81	0.00916202749608232419609166186091898	88	1.43095031864051169812057651142822579	6692	0.00919398060921915692700334687970098	84	0.00922677474033998037961090687986143	81	0.00916202749608232419609166186091898	88	0.00931879040174076432589966856312458	55	0.00941180513567554423437488964054864	3	0.00919398060921798945810401448852645	84	0.00922677474033877995096553092935210	81	0.01866413949588501680620922229536518	173	0.07253474086236848250575093288716744	469	0.05382604452864204330753139515763905	411	0.32138554372264155345462199875328224	3077	0.37438455131744285964146001788321882	2705	
10	0.05081599599126079142008549638376280	420	0.01040064757379740439935389417769329	98	0.01050091745527126363413117360323668	80	0.47206650281247908296222703938838094	3543	0.01040064757379740439935389417769329	98	0.01050091745527126363413117360323668	80	0.01050938295020863166850944026009529	83	1.51229632969607918901999710215022787	6676	0.01040064757379740439935389417769329	98	0.01050091745527126363413117360323668	80	0.01050938295020863166850944026009529	83	0.01061767855475610929094631984526131	63	0.01073230994851953265523114566803997	1	0.01040064757379637917777959188470049	98	0.01050091745527017422778826016838138	80	0.01976387860423726994252291433440405	157	0.07719337790278521516107446132082259	436	0.05081599599126046529207201274402905	420	0.34086686307964897402200676879147068	3049	0.41718869895007598680436444738006685	2760	
15	0.05198637814015509561738070942737977	391	0.01069402690691128622602068531932673	113	0.01082543242167588112834231139913754	85	0.48267649319156535892005877030896954	3458	0.01069402690691128622602068531932673	113	0.01082543242167588112834231139913754	85	0.01073137610890496224103074496269983	101	1.57981276727877961718604638008400798	6635	0.01069402690691128622602068531932673	113	0.01082543242167588112834231139913754	85	0.01073137610890496224103074496269983	101	0.01096392123956460573630522503663087	66	0.01107246731409263114376262393534489	3	0.01069402690690952895113952081374009	113	0.01082543242167403885201082403000328	85	0.01992325485584632571711694026816986	185	0.07922014836389232317337416588998167	412	0.05198637814015666380740299246099312	391	0.34970657067205940249365880845289212	2983	0.46061533221251110825633645617926959	2831	
20	0.05376399626953522886685377102367056	348	0.00980356551135623706383359632354768	95	0.00987077402186225041913480993116536	76	0.52914645091644185725954230292700231	3488	0.00980356551135623706383359632354768	95	0.00987077402186225041913480993116536	76	0.00984576870600077300177410677406442	86	1.79444793951699899103857660520588979	6694	0.00980356551135623706383359632354768	95	0.00987077402186225041913480993116536	76	0.00984576870600077300177410677406442	86	0.01004850533923979348516208887076573	49	0.01008190491713411435226177559343341	0	0.00980356551135485969339367073871472	95	0.00987077402186078457779760952917059	76	0.01933965716976175988617292489379906	155	0.08519530156182630875605354958679527	389	0.05376399626953779625759821669817029	348	0.39183952313371367415228974095953163	3071	0.56751964491140682866898714564740658	2866	
25	0.05616637025087518192423274854263582	295	0.00890737938781299004586955447848595	108	0.00908270344656133751803928078061290	67	0.59460318241203746758571924146963283	3390	0.00890737938781299004586955447848595	108	0.00908270344656133751803928078061290	67	0.00914203690732207432945166658555536	60	2.09598872494454857573487061017658561	6724	0.00890737938781299004586955447848595	108	0.00908270344656133751803928078061290	67	0.00914203690732207432945166658555536	60	0.00925760650392409498166124137696897	41	0.00926504464828758686478771267047705	2	0.00890737938781149991840369040119185	108	0.00908270344655973810299443016447185	67	0.01917977618124563216062128390149155	140	0.08986666508741612824362476885653450	378	0.05616637025087663215305866515336675	295	0.45054486045079505940336161984305363	3015	0.73578954001284746500033406846341677	2997	
30	0.06542285765056314594811937013218994	309	0.00809742331881045142305541872929098	88	0.00820216048075080028656458352998015	54	0.63472550225095558662502526203752495	3398	0.00809742331881045142305541872929098	88	0.00820216048075080028656458352998015	54	0.00809613412973435135622235492292020	73	2.21071661925201334852886247972492129	6753	0.00809742331881045142305541872929098	88	0.00820216048075080028656458352998015	54	0.00809613412973435135622235492292020	73	0.00830951938593694865164973606397325	32	0.00832005568746423812553913990086585	1	0.00809742331880950079459058343900324	88	0.00820216048074980282056589686590087	54	0.01937264417940796901174138611168019	160	0.09480841423646771404243338565720478	370	0.06542285765056359003732922019480611	309	0.46913129236271339239650046692986507	3002	0.75785678215485097197756658715661615	3017	
35	0.06700850994047556630217599149546004	285	0.00815418848243612028048321604956072	70	0.00814850704200131489840508436373057	76	0.70095001301713688590666606614831835	3288	0.00815418848243612028048321604956072	70	0.00814850704200131489840508436373057	76	0.00820754330978542070984538270295161	67	2.55247179787184164112545659008901566	6754	0.00815418848243612028048321604956072	70	0.00814850704200131489840508436373057	76	0.00820754330978542070984538270295161	67	0.00835351056992005187862293524858615	33	0.00831456377217344201613347109969254	1	0.00815418848243489036153874849333079	70	0.00814850704200008324473714083069353	76	0.01956253390576913331333486212315620	182	0.09911228419376404141782899159807130	368	0.06700850994047422015675863349315478	285	0.53223287914315786650831796578131616	2888	0.97452742983144935440265044235275127	3131	
40	0.07713665666146510280221093580621528	344	0.00750473809597447787805846175501756	64	0.00760348630264807284762085259899322	44	0.76160886153835294365421759721357375	3326	0.00750473809597447787805846175501756	64	0.00760348630264807284762085259899322	44	0.00751223165240116549923321542792110	62	2.72977474011459220193387409381102771	6796	0.00750473809597447787805846175501756	64	0.00760348630264807284762085259899322	44	0.00751223165240116549923321542792110	62	0.00762398925892159452094576366221190	34	0.00767866065146965461052364076977028	1	0.00750473809597350903499712870825533	64	0.00760348630264709272885692570298488	44	0.02067109592154144775966173597225861	168	0.10473434987628575665308261477548513	386	0.07713665666145763655237033162848093	344	0.56703147666051068043202576518524438	2876	1.02167142564874269261565586930373684	3118	
45	0.07587388772311581819351999911305029	287	0.00801437508917276879294444569268308	58	0.00793216204749496757442361882795012	70	0.80559270341980449003926878503989428	3187	0.00801437508917276879294444569268308	58	0.00793216204749496757442361882795012	70	0.00794333924184015445491002793687585	67	2.97805332487836738053488261357415468	6785	0.00801437508917276879294444569268308	58	0.00793216204749496757442361882795012	70	0.00794333924184015445491002793687585	67	0.00816857376735524200184190846130150	20	0.00808839022922000841497869316754077	1	0.00801437508917149203646612676266159	58	0.00793216204749368734849834794431445	70	0.02065967642774376236691757924290869	194	0.11076936277951292264543070587023976	326	0.07587388772310946216670402009185636	287	0.61514310238843750155979250848758966	2773	1.17651163561957949887926133669679984	3292	
50	0.06692387656746616453329323803700390	288	0.00931279535264335246724787253924660	61	0.00921690542228113633693720174733244	81	0.79621274713907064235485222525312565	3091	0.00931279535264335246724787253924660	61	0.00921690542228113633693720174733244	81	0.00920361123302108549704136919444863	85	3.05999251544677264291749452240765095	6745	0.00931279535264335246724787253924660	61	0.00921690542228113633693720174733244	81	0.00920361123302108549704136919444863	85	0.00951610341101776988081972774580208	28	0.00942707965574228305694060026098668	1	0.00931279535264335420197134851605369	61	0.00921690542228113113276677381691115	81	0.02044538518126201229185845420488477	184	0.11199695927945643725287538927659625	293	0.06692387656746390245388056428055279	288	0.62810919940686826823394994789850898	2704	1.27062685513049400398699617653619498	3389	
55	0.05762565628190378236306301573677047	265	0.01031669880565119074011803945722932	57	0.01024233653909995336861449288790027	74	0.82789888712846948504164856785791926	3077	0.01031669880565119074011803945722932	57	0.01024233653909995336861449288790027	74	0.01011859678059426857765767948649227	102	3.23986093639335903660025905992370099	6745	0.01031669880565119074011803945722932	57	0.01024233653909995336861449288790027	74	0.01011859678059426857765767948649227	102	0.01058749450846605683063117453457380	22	0.01044345709006001300667154652046520	5	0.01031669880564981336967811387239635	57	0.01024233653909854650787547569734670	74	0.01967874886010615581577454236139602	181	0.11712155047041719613254429077642271	332	0.05762565628189549038484784659885918	265	0.68374337016622965812473466939991340	2733	1.37835409571274936091356266842922196	3358	
60	0.05497488834206106650404066726878227	224	0.01029746369763886136572406115874401	64	0.01034168396028281068643739359913525	68	0.85064472378302447008735498457099311	3096	0.01029746369763886136572406115874401	64	0.01034168396028281068643739359913525	68	0.01018320269488233453802905614793417	91	3.40434403377389394051988347200676799	6754	0.01029746369763886136572406115874401	64	0.01034168396028281068643739359913525	68	0.01018320269488233453802905614793417	91	0.01056374195477774273477233890616844	23	0.01050267598594206187867516888445607	2	0.01029746369763762797733264164889988	64	0.01034168396028154607302340650676342	68	0.01921135847906141683183456336792005	175	0.12108530885669160914730468903144356	333	0.05497488834205024876844447589974152	224	0.71364844113024061833527866838267073	2788	1.48602721033051299315275173285044730	3348	
65	0.07501856197549840177263291707276949	300	0.00851475501627369305013282030358823	56	0.00851964132747871222273161606608483	46	0.88489708388850063514041721646208316	3109	0.00851475501627369305013282030358823	56	0.00851964132747871222273161606608483	46	0.00843575766821715727905584003565309	68	3.58582258237213791218778169422876090	6811	0.00851475501627369305013282030358823	56	0.00851964132747871222273161606608483	46	0.00843575766821715727905584003565309	68	0.00873439467787349294036758351467142	19	0.00864206383148235710023321587414102	5	0.00851475501627225496437123553050697	56	0.00851964132747722382998922796559782	46	0.02089459694933413005935030071213987	174	0.12176307618569243151895875598711427	302	0.07501856197548374682870786500643590	300	0.69725774000852813738760005435324274	2703	1.60429297827270112009045988088473678	3419	
70	0.06613110798219032360201197207061341	266	0.00979199269694053069101880026892104	58	0.00984161184910299809136535742482010	49	0.86449899400234631041683996954816394	3120	0.00979199269694053069101880026892104	58	0.00984161184910299809136535742482010	49	0.00971604640249808422514110617385086	77	3.58421522280130444571000225550960749	6796	0.00979199269694053069101880026892104	58	0.00984161184910299809136535742482010	49	0.00971604640249808422514110617385086	77	0.00997796241375325208833313439527046	20	0.00996265690402751806498127251643382	1	0.00979199269693981078077626989397686	58	0.00984161184910221052690726395439924	49	0.02074667253507732692097143001319637	164	0.12087991560359556686421456106472760	300	0.06613110798217400332354998226946918	266	0.69889844877988227533904819210874848	2767	1.64641456178989575853677251870976761	3396	
