,ref_gene_likelihood,hyp_gene_likelihood,hm_data_likelihood,rbf_ratio
50000,5543.820811003448,5546.442050501092,140048.89729661096,-2.621239497643728
50002,5564.847577442207,5570.042365526259,140071.64042409262,-5.194788084052561
50004,5594.640913746018,5595.958936339739,140071.7179801809,-1.3180225937212526
50006,5629.557997216802,5631.748967193271,140082.90794887033,-2.190969976469205
50008,5702.464475319516,5704.663577258933,140069.39826498306,-2.1991019394172326
50010,5691.7478173407035,5692.860809573585,140077.9371576197,-1.1129922328818793
50012,5610.054611459032,5610.0650450752855,140074.24217459265,-0.010433616253976652
50014,5629.156285969231,5629.173117994682,140066.9650283776,-0.016832025450639776
50016,5589.211320589078,5589.219148964476,140060.97637835468,-0.007828375397366472
50018,5608.475313314141,5608.499273988506,140061.8305990007,-0.02396067436438898
50020,5573.681195594449,5574.982351019073,140072.06551516848,-1.3011554246240848
50022,5570.463681119353,5572.656822161633,140071.90648051281,-2.1931410422794215
50024,5627.5544607293605,5629.655970941736,140059.5279789564,-2.101510212375615
50026,5655.68795778186,5662.504844868148,140071.34350029298,-6.816887086288261
50028,5666.998058650381,5677.313120928534,140085.2889829017,-10.315062278153164
50030,5619.275928475683,5623.256187118388,140079.72639361973,-3.980258642704939
50032,5609.262509908169,5621.6359880072705,140056.0147085727,-12.373478099101703
50034,5624.9218976621205,5629.390033520554,140059.0629866032,-4.468135858433925
50036,5649.515729578153,5655.19831343359,140052.64180496108,-5.68258385543686
50038,5668.5532227793865,5675.668949629149,140049.51472682747,-7.115726849762723
50040,5604.297920584753,5608.97365415827,140041.1361717097,-4.675733573516482
50042,5560.504344756813,5563.627893341763,140073.51527543488,-3.1235485849501856
50044,5647.377339460274,5659.015433309423,140070.27782301747,-11.6380938491493
50046,5605.993000341961,5609.889386213123,140068.73392889148,-3.8963858711613284
50048,5645.8178261400335,5650.952699053014,140067.28390311755,-5.134872912980427
50050,5651.970464926819,5657.545830096408,140049.35050655052,-5.575365169589531
50052,5614.314817289896,5615.349985675509,140043.12390721453,-1.035168385612451
50054,5578.48171081453,5580.15716092722,140053.2840468033,-1.6754501126897594
50056,5564.978954106613,5564.935606888959,140060.84388086913,0.04334721765371796
50058,5534.637675480387,5534.578357340477,140062.56267835991,0.05931813990991941
50060,5548.833208907756,5550.515504737179,140059.01860049213,-1.6822958294233104
50062,5449.935398572666,5455.647936814609,140073.7829279731,-5.712538241943548
50064,5428.995444054626,5431.636077715344,140054.2756520709,-2.6406336607178673
50066,5445.418459749646,5447.367778363374,140060.42005743008,-1.9493186137278826
50068,5494.964173830217,5498.985652387869,140061.45964084423,-4.02147855765179
50070,5475.2623977719795,5480.652264365225,140068.52361657866,-5.389866593245642
50072,5448.407255387659,5448.121625947124,140060.17465557254,0.2856294405346489
50074,5415.128923368238,5415.98885557652,140054.1417145941,-0.8599322082818617
50076,5506.124999296404,5507.356672543885,140069.01265480803,-1.2316732474810124
50078,5600.042730374442,5612.503761112777,140051.43742980238,-12.461030738335467
50080,5589.659957671639,5609.829724218228,140055.2188979165,-20.169766546589017
50082,5597.21844877777,5609.7559198238605,140039.03594887405,-12.537471046090104
50084,5580.37502327852,5590.522877141428,140041.31123695057,-10.14785386290805
50086,5560.2150093789605,5569.097350900148,140041.82983411217,-8.8823415211873
50088,5587.3558171434,5596.013772526698,140046.87452257817,-8.657955383298031
50090,5707.322552260551,5717.59874238132,140055.75292368457,-10.27619012076957
50092,5595.003018123345,5603.894946226675,140067.57836008017,-8.89192810332952
50094,5548.229002026183,5558.894728534477,140058.89505629192,-10.665726508294028
50096,5541.59319016852,5572.44602117408,140067.20109965748,-30.852831005559892
50098,5586.246562506911,5617.0597531471285,140072.63831257852,-30.813190640217726
50100,5544.83881050627,5570.136240270134,140046.33637874766,-25.297429763863875
50102,5664.409282965726,5677.1207325158475,140063.93995482614,-12.71144955012187
50104,5578.996998481259,5606.450263320409,140082.27840912197,-27.453264839150506
50106,5575.872871889845,5592.631092540424,140076.77622713262,-16.75822065057946
50108,5664.612500696754,5685.426172182138,140043.99219184168,-20.813671485383566
50110,5627.613849880303,5648.554532820884,140048.4439163898,-20.9406829405807
50112,5591.952153054162,5608.586904732424,140057.71144527628,-16.634751678261637
50114,5512.026889842509,5535.1115382979915,140066.46128956444,-23.084648455482238
50116,5502.605856738868,5508.151190644624,140054.053036295,-5.545333905755797
50118,5534.356060048389,5542.712638306576,140065.7104333185,-8.356578258187255
50120,5533.13670785491,5538.665263983768,140069.8338088249,-5.528556128858327
50122,5518.947495570355,5520.294171843618,140074.732057097,-1.3466762732623465
50124,5523.332765335277,5526.782160670845,140056.70034832298,-3.449395335567715
50126,5534.706999332289,5546.732210614981,140033.06944043376,-12.025211282691998
50128,5541.659557222957,5547.130868158594,140067.4681956136,-5.471310935637121
50130,5598.785299524427,5606.933735921979,140061.6090164779,-8.14843639755236
50132,5518.814999424673,5521.091691932206,140057.0024561765,-2.276692507532971
50134,5508.989548804948,5511.889767571787,140062.1854555015,-2.9002187668393162
50136,5520.504107041616,5528.680402774567,140042.3721219806,-8.176295732950166
50138,5500.837542329573,5504.266882055673,140040.77160704034,-3.4293397260998972
50140,5492.4272758065235,5493.615803001884,140055.84869529126,-1.1885271953606207
50142,5536.392014757963,5536.387486612192,140057.40567135732,0.0045281457705641515
50144,5526.430841078752,5526.447002646542,140054.6559399283,-0.01616156779073208
50146,5362.566274531009,5362.822652321629,140060.4855161831,-0.25637779061980837
50148,5410.035179365936,5411.125813703024,140077.26174373823,-1.0906343370879767
50150,5488.248710926931,5490.646794060101,140058.13123514008,-2.398083133169166
50152,5411.674762552038,5412.658504372813,140056.5798903641,-0.9837418207744122
50154,5460.475639495657,5461.588375430581,140076.31740818848,-1.1127359349247854
50156,5428.569143961153,5435.145977187786,140062.1042441355,-6.5768332266334255
50158,5372.346119736744,5381.197395607219,140078.54319225537,-8.851275870474637
50160,5417.162185705151,5422.075852019859,140079.05888087006,-4.9136663147073705
50162,5425.098371573714,5427.012157154295,140068.87987333714,-1.9137855805811341
50164,5443.74049251639,5444.752648673602,140074.72399717424,-1.0121561572123028
50166,5473.797289348439,5476.994114457163,140069.020407554,-3.196825108723715
50168,5524.704422876286,5527.071241323019,140087.94516850836,-2.366818446733305
50170,5415.5674612227685,5420.812511524391,140089.86653654499,-5.245050301622541
50172,5444.340984378554,5450.992636228068,140063.24550173557,-6.651651849513655
50174,5479.307446989702,5481.831515666911,140066.8515094012,-2.5240686772094705
50176,5465.430894620045,5468.78828826634,140051.5725905088,-3.3573936462944403
50178,5487.464657362946,5491.5898977499455,140062.5424109893,-4.125240386999394
50180,5489.6560426452215,5499.285657125146,140060.31039488688,-9.629614479924385
50182,5462.041223433349,5472.365437025902,140076.48878462208,-10.324213592552951
50184,5493.090798108322,5505.105504640491,140064.87779262985,-12.01470653216893
50186,5523.240838735206,5539.263967158969,140068.40029726413,-16.0231284237625
50188,5506.566991226113,5524.452101592121,140049.69277458562,-17.88511036600812
50190,5471.100215174651,5484.247424536384,140065.65155616918,-13.147209361733076
50192,5491.138745522074,5504.965515937481,140060.37235633397,-13.826770415406827
50194,5508.159021124682,5522.7107318872895,140046.5513939399,-14.5517107626074
50196,5507.955481116967,5526.84454353858,140076.96322906736,-18.889062421612834
50198,5493.393865150809,5507.823006020538,140070.58618680263,-14.429140869729054
50200,5496.978484408315,5510.712942470856,140050.19747896318,-13.734458062541307
50202,5439.205303889899,5462.28423853728,140073.23735246056,-23.078934647380265
50204,5509.815774587727,5527.9927529688575,140051.9327758644,-18.17697838113054
50206,5483.264699670106,5500.481841465894,140055.41494127756,-17.21714179578794
50208,5526.016630047959,5544.034945209073,140048.61071601097,-18.018315161114515
50210,5500.89693372408,5517.211481388105,140061.72011301943,-16.314547664025667
50212,5551.825621796341,5572.418722508445,140064.93901520528,-20.593100712104388
50214,5500.360657772937,5515.775484693528,140075.5591816373,-15.414826920590713
50216,5504.3418826259,5524.864325307194,140052.20668407032,-20.522442681293796
50218,5531.394342212179,5549.362465275831,140057.4467497476,-17.968123063651547
50220,5471.937305529426,5487.955248187762,140066.0949603966,-16.017942658335414
50222,5514.990484413923,5531.534992651343,140052.10550869367,-16.544508237419905
50224,5515.796840725769,5527.2560414806085,140063.73898323104,-11.459200754839912
50226,5609.503740282316,5621.748499565757,140070.0260532798,-12.244759283440544
50228,5516.78175124717,5535.301137305855,140088.11139962412,-18.519386058685086
50230,5604.02412429181,5617.795540431019,140037.40255925938,-13.771416139208668
50232,5498.610363706595,5504.208308305794,140068.797540273,-5.597944599198854
50234,5605.792107025436,5608.9718763563105,140066.8911469276,-3.1797693308744783
50236,5597.853241514433,5602.1151159158335,140081.55783789922,-4.261874401400746
50238,5545.759104343733,5551.8311226551305,140060.13372909583,-6.072018311397187
50240,5685.297081119389,5693.569992768287,140067.62549360236,-8.272911648898116
50242,5569.996551217434,5576.645229135667,140055.61264727707,-6.648677918233261
50244,5635.890295117256,5650.4486642866395,140061.79713261276,-14.558369169383695
50246,5575.718465038529,5584.245122562541,140063.09073782194,-8.52665752401208
50248,5576.459355097542,5589.846913892628,140079.28747307038,-13.387558795086079
50250,5550.748564619329,5565.834247921768,140068.97191175693,-15.085683302439065
50252,5527.707486359703,5533.659559231282,140075.76305140826,-5.95207287157973
50254,5581.819882261084,5582.817981833156,140048.77414495643,-0.9980995720725332
50256,5524.467749964297,5530.225918667275,140081.25131371996,-5.7581687029787645
50258,5545.097551822022,5545.656955266286,140072.29073411794,-0.5594034442638076
50260,5585.164301992678,5588.3087201664175,140082.30799300002,-3.144418173739723
50262,5604.291599882262,5615.005315109214,140085.09080134452,-10.713715226952445
50264,5512.675000878624,5522.378856679831,140057.49035578273,-9.703855801207283
50266,5442.717228196734,5447.8113628215815,140076.73014703306,-5.0941346248473565
50268,5532.744617580054,5535.613833326442,140075.06562043985,-2.8692157463874537
50270,5508.301120001604,5514.85310705786,140070.96278505362,-6.551987056255712
50272,5569.873942517996,5579.2068113376135,140057.0563850522,-9.332868819617943
50274,5553.869635737496,5571.089390809647,140048.71888950784,-17.2197550721512
50276,5559.937617752377,5574.047427068903,140045.86275359374,-14.10980931652557
50278,5555.729683180939,5568.833179744367,140055.89551852032,-13.103496563428052
50280,5512.177841418869,5520.298270431231,140049.79843266107,-8.120429012361456
50282,5537.411513208031,5545.363346882019,140054.10503519434,-7.9518336739884035
50284,5564.954740995493,5577.468309716233,140073.84412125283,-12.513568720740295
50286,5462.542129337868,5475.334002754327,140078.27505206302,-12.791873416459566
50288,5554.491056219405,5560.916179242427,140060.70418631358,-6.425123023021115
50290,5591.633206407824,5602.634636367585,140068.5282001112,-11.001429959760571
