Sample	theta_A	theta_B	theta_C	theta_D	theta_AB	theta_ABC	theta_root	tau_AB	tau_ABC	tau_root	m_D->B	Complete-ld-ln-avg	Data-ld-ln	Gene-ld-ln
0	 0.93731	 1.13763	 0.88795	 0.99771	 0.97494	 0.92489	 1.08449	 0.04754	 0.10323	 0.52153	 0.00000	-1345.162985	-1407202.993084	62040.007895
1	 0.97438	 1.11002	 0.89241	 1.02822	 0.97983	 0.92954	 1.12485	 0.04777	 0.10375	 0.53981	20.81981	-1343.505932	-1405129.998954	61624.067114
2	 0.92657	 1.14461	 0.89241	 1.07739	 0.97983	 0.92954	 1.12485	 0.04777	 0.11144	 0.53981	20.35291	-1342.754608	-1404208.478212	61453.870250
3	 0.88342	 1.20552	 0.93444	 1.08081	 1.02984	 0.94851	 1.15463	 0.04793	 0.11180	 0.55929	19.98351	-1342.351259	-1403602.142147	61250.883107
4	 0.88342	 1.27481	 0.93444	 1.08081	 1.02984	 0.94851	 1.15463	 0.04793	 0.11180	 0.55929	19.80328	-1341.996689	-1403235.852217	61239.162867
5	 0.93309	 1.24875	 0.97124	 1.08404	 1.03291	 0.98710	 1.20332	 0.05324	 0.11213	 0.59020	20.24459	-1342.316389	-1403065.720832	60749.331878
6	 0.93728	 1.20239	 1.00057	 1.08891	 1.03755	 1.03676	 1.20873	 0.05348	 0.11263	 0.61769	20.43592	-1342.209829	-1402838.008551	60628.179866
7	 1.00065	 1.13103	 0.96554	 1.08891	 1.03755	 1.03676	 1.24772	 0.05840	 0.11263	 0.61769	20.19958	-1341.908670	-1402739.398578	60830.728123
8	 0.94057	 1.13103	 0.96554	 1.11416	 1.07382	 1.09199	 1.24772	 0.05840	 0.11263	 0.61769	20.75035	-1342.170680	-1402790.471289	60619.791511
9	 0.97988	 1.19593	 0.94071	 1.16271	 1.07382	 1.09199	 1.32025	 0.05840	 0.11270	 0.64251	21.05448	-1342.361500	-1402684.663238	60323.163504
10	 1.01437	 1.12696	 0.97759	 1.16548	 1.12101	 1.14933	 1.39175	 0.05854	 0.11297	 0.64404	20.61220	-1342.159772	-1402534.944542	60375.172072
11	 0.97654	 1.16819	 0.98075	 1.16925	 1.15864	 1.20595	 1.45052	 0.05873	 0.11333	 0.64613	20.27245	-1342.412584	-1402518.595115	60106.011401
12	 1.02020	 1.12910	 0.98075	 1.22167	 1.15864	 1.20595	 1.49368	 0.05873	 0.11333	 0.64613	20.78331	-1342.805176	-1402491.956267	59686.780480
13	 1.02020	 1.10832	 1.01971	 1.26812	 1.09752	 1.20595	 1.51339	 0.05873	 0.11333	 0.64613	21.06809	-1342.715483	-1402411.714018	59696.230818
14	 1.05405	 1.06956	 1.08210	 1.26812	 1.09752	 1.19869	 1.51339	 0.05873	 0.11333	 0.64613	20.57562	-1342.691696	-1402461.450837	59769.754636
15	 1.05405	 1.09023	 1.11824	 1.26812	 1.15193	 1.19869	 1.51339	 0.05873	 0.12128	 0.64613	19.95916	-1342.778939	-1402451.763503	59672.824738
16	 1.10804	 1.07123	 1.17125	 1.26825	 1.18765	 1.19881	 1.51355	 0.06618	 0.13106	 0.64619	20.54100	-1342.764599	-1402389.914684	59625.315298
17	 1.14994	 1.08850	 1.13877	 1.27369	 1.19274	 1.24941	 1.52003	 0.06647	 0.13162	 0.64896	20.32828	-1342.756339	-1402319.424079	59563.084611
18	 1.18946	 1.08850	 1.11666	 1.27369	 1.19274	 1.24941	 1.52003	 0.06647	 0.13162	 0.64896	19.93369	-1342.873309	-1402377.911402	59504.602668
19	 1.13210	 1.05130	 1.16627	 1.27047	 1.16761	 1.31027	 1.56103	 0.06888	 0.13129	 0.67761	19.58059	-1343.244670	-1402309.068085	59064.398364
20	 1.16684	 1.05130	 1.16627	 1.27818	 1.16761	 1.31027	 1.62611	 0.08106	 0.13874	 0.70525	19.77647	-1343.295253	-1402249.427931	58954.175426
21	 1.16438	 1.07879	 1.19332	 1.31621	 1.22036	 1.30751	 1.62268	 0.08089	 0.13845	 0.70377	19.67123	-1343.081564	-1402260.335503	59178.771041
22	 1.11911	 1.11784	 1.22660	 1.31877	 1.22274	 1.36636	 1.63313	 0.08105	 0.13871	 0.70514	19.30406	-1343.077107	-1402258.586455	59181.479660
23	 1.10210	 1.08528	 1.28588	 1.32180	 1.22555	 1.36950	 1.63688	 0.08788	 0.13903	 0.70676	18.85335	-1343.340159	-1402288.974275	58948.814804
24	 1.13326	 1.05536	 1.24279	 1.36402	 1.18101	 1.40349	 1.63688	 0.08788	 0.13903	 0.70676	18.36787	-1343.341330	-1402231.554741	58890.224249
25	 1.19234	 1.05685	 1.24454	 1.36594	 1.18267	 1.46792	 1.69866	 0.08801	 0.13923	 0.74096	18.62314	-1343.650932	-1402154.669741	58503.738147
26	 1.28018	 1.09878	 1.19358	 1.44892	 1.18617	 1.47226	 1.70369	 0.08827	 0.13964	 0.72658	19.08742	-1343.412266	-1402154.033432	58741.767128
27	 1.25595	 1.06585	 1.23482	 1.55211	 1.19262	 1.55444	 1.71297	 0.08875	 0.13275	 0.73054	18.64940	-1343.672863	-1402208.765256	58535.902328
28	 1.21855	 1.10191	 1.28748	 1.59562	 1.25957	 1.55908	 1.77304	 0.08901	 0.13315	 0.73272	18.97647	-1343.771774	-1402194.105979	58422.331770
29	 1.29083	 1.10379	 1.26672	 1.61840	 1.29657	 1.56174	 1.77607	 0.08917	 0.13338	 0.73397	18.55713	-1343.921298	-1402157.081837	58235.783829
30	 1.33264	 1.15875	 1.34086	 1.71038	 1.30142	 1.64097	 1.86266	 0.08950	 0.13388	 0.73671	18.03708	-1344.019333	-1402217.426544	58198.093753
31	 1.38889	 1.20374	 1.34086	 1.79520	 1.34390	 1.67230	 1.86266	 0.08950	 0.13388	 0.73671	17.79940	-1344.020648	-1402197.961453	58177.313784
32	 1.32739	 1.25216	 1.34378	 1.86845	 1.38158	 1.67230	 1.86266	 0.08950	 0.12816	 0.73671	17.63852	-1344.247434	-1402187.330400	57939.896805
33	 1.29635	 1.24361	 1.34852	 1.87504	 1.38646	 1.67821	 1.96070	 0.09519	 0.12862	 0.73932	17.95260	-1344.202851	-1402217.118548	58014.267244
34	 1.24788	 1.22107	 1.28978	 1.87094	 1.38342	 1.73934	 2.04086	 0.09498	 0.12833	 0.73770	17.58436	-1344.416535	-1402161.360148	57744.824964
35	 1.27000	 1.24905	 1.22362	 1.90602	 1.38342	 1.85008	 2.08994	 0.09498	 0.12833	 0.73770	17.22915	-1344.524937	-1402136.777355	57611.840158
36	 1.32673	 1.24905	 1.22362	 1.90602	 1.36657	 1.85008	 2.08994	 0.09498	 0.12833	 0.73770	16.96426	-1344.643897	-1402070.283951	57426.387441
37	 1.37167	 1.21019	 1.29329	 1.90602	 1.32394	 1.85008	 2.18148	 0.09498	 0.12833	 0.73770	16.82861	-1344.822778	-1402123.780271	57301.001927
38	 1.33858	 1.26160	 1.29906	 1.91454	 1.32986	 1.85834	 2.19122	 0.09540	 0.12891	 0.74099	17.17375	-1344.861057	-1402083.131977	57222.074762
39	 1.34107	 1.21561	 1.33667	 2.00708	 1.33233	 1.92859	 2.19530	 0.09558	 0.12101	 0.74237	17.45129	-1344.903412	-1402052.645560	57149.233817
40	 1.31791	 1.27749	 1.30856	 2.01371	 1.33673	 1.93496	 2.20255	 0.09590	 0.12141	 0.74482	17.69841	-1345.089429	-1402052.678655	56963.249293
41	 1.28215	 1.34382	 1.34357	 2.01989	 1.34084	 1.94091	 2.27444	 0.09619	 0.12178	 0.74711	17.99403	-1344.991322	-1402003.878838	57012.557309
42	 1.34366	 1.39658	 1.42327	 2.02750	 1.26104	 2.02261	 2.45359	 0.09655	 0.12224	 0.77951	17.70612	-1345.483659	-1402006.721257	56523.062437
43	 1.39278	 1.43071	 1.37625	 2.03097	 1.21818	 2.02607	 2.56275	 0.09672	 0.12151	 0.81242	18.01894	-1345.581376	-1401969.302186	56387.926428
44	 1.39684	 1.44974	 1.46900	 2.03689	 1.22173	 2.03198	 2.57022	 0.09700	 0.11333	 0.81479	17.51263	-1345.574445	-1401935.827970	56361.383264
45	 1.36534	 1.39420	 1.55671	 2.09869	 1.16718	 2.09039	 2.68135	 0.09727	 0.11364	 0.84172	17.96153	-1345.798804	-1401902.670163	56103.866517
46	 1.41192	 1.35256	 1.64030	 2.18724	 1.21573	 2.15539	 2.69206	 0.09766	 0.11410	 0.84508	18.14830	-1345.860956	-1401960.704043	56099.748059
47	 1.35012	 1.40304	 1.60486	 2.28519	 1.24828	 2.23405	 2.70182	 0.09801	 0.11451	 0.86947	18.33572	-1346.025205	-1401894.431396	55869.226571
48	 1.41123	 1.40690	 1.60927	 2.29148	 1.20784	 2.24019	 2.70925	 0.09828	 0.11483	 0.87186	17.88568	-1346.047684	-1401957.784655	55910.100860
49	 1.37246	 1.45182	 1.65494	 2.43294	 1.20784	 2.24019	 2.82235	 0.10689	 0.12114	 0.88490	17.53955	-1346.208376	-1401952.400940	55744.025044
50	 1.45572	 1.50950	 1.61626	 2.52463	 1.17126	 2.24566	 2.82923	 0.10887	 0.12144	 0.86154	17.74505	-1346.061830	-1401993.088760	55931.258330
51	 1.40892	 1.51633	 1.69664	 2.71912	 1.23083	 2.25582	 2.87077	 0.10937	 0.12199	 0.86544	17.32232	-1346.316094	-1401992.318239	55676.224367
52	 1.40892	 1.57699	 1.64137	 2.71912	 1.28288	 2.25582	 3.03546	 0.10937	 0.12199	 0.88768	17.58232	-1346.370965	-1401879.275724	55508.311067
53	 1.45575	 1.62040	 1.70604	 2.80016	 1.32060	 2.24847	 3.02558	 0.10901	 0.12159	 0.88479	17.26119	-1346.165486	-1401790.355520	55624.869169
54	 1.49853	 1.68155	 1.76067	 2.80726	 1.39553	 2.25417	 3.03325	 0.10929	 0.12660	 0.88703	16.91633	-1346.349466	-1401869.955807	55520.490094
55	 1.45168	 1.77758	 1.73183	 2.85989	 1.36473	 2.25859	 3.03919	 0.10950	 0.12685	 0.88877	16.59699	-1346.474650	-1401893.325313	55418.675153
56	 1.37132	 1.87699	 1.84894	 2.93676	 1.41376	 2.25379	 3.21366	 0.10927	 0.12658	 0.88688	16.89515	-1346.491666	-1401936.687464	55445.021356
57	 1.31868	 1.81359	 1.92601	 3.05271	 1.44877	 2.36890	 3.21366	 0.10927	 0.12658	 0.90617	17.20099	-1346.805492	-1401955.567897	55150.075924
58	 1.23274	 1.87486	 1.84791	 3.25465	 1.44500	 2.33612	 3.28225	 0.10898	 0.12625	 0.93608	17.51063	-1346.790868	-1401868.465894	55077.597782
59	 1.28630	 1.80409	 1.81978	 3.38152	 1.44964	 2.34363	 3.44831	 0.10934	 0.12666	 0.93908	17.71339	-1346.728643	-1401831.046230	55102.402891
60	 1.22948	 1.77009	 1.81978	 3.45528	 1.49051	 2.34363	 3.61924	 0.10934	 0.12666	 0.93908	18.07453	-1346.914736	-1401812.939647	54898.203274
61	 1.28360	 1.71545	 1.86816	 3.58306	 1.43890	 2.33858	 3.67135	 0.10910	 0.12639	 0.93706	18.29574	-1346.912872	-1401799.238004	54886.366200
62	 1.21874	 1.69075	 1.82529	 3.79271	 1.49507	 2.33858	 3.78807	 0.10910	 0.12639	 0.93706	18.00580	-1347.057709	-1401790.449967	54732.740790
63	 1.26115	 1.73402	 1.90235	 3.94509	 1.51602	 2.37790	 3.92800	 0.10941	 0.12674	 0.93970	17.62546	-1347.121048	-1401763.226303	54642.178288
64	 1.20829	 1.62786	 1.91505	 3.90630	 1.47766	 2.48321	 3.91322	 0.10900	 0.12627	 0.93617	17.85617	-1347.074838	-1401794.442988	54719.605145
65	 1.16121	 1.58475	 1.91505	 4.10039	 1.43060	 2.58785	 4.10573	 0.10900	 0.12627	 0.93617	18.37734	-1347.394538	-1401825.782284	54431.244757
66	 1.20025	 1.50043	 1.91022	 4.09005	 1.38418	 2.64921	 4.09538	 0.10872	 0.12595	 0.93381	18.77870	-1347.515568	-1401795.801168	54280.233505
67	 1.24094	 1.55626	 1.87897	 4.09005	 1.40475	 2.73691	 4.32490	 0.10872	 0.12595	 0.93381	19.23357	-1347.736777	-1401805.202490	54068.425513
68	 1.26861	 1.63824	 1.85010	 4.10533	 1.37710	 2.68034	 4.34105	 0.10913	 0.12642	 0.93729	19.40475	-1347.908730	-1401828.789714	53920.059346
69	 1.32865	 1.63248	 1.88295	 4.27520	 1.41793	 2.69073	 4.35789	 0.10955	 0.12691	 0.96926	18.98366	-1347.984375	-1401786.997029	53802.622438
70	 1.29364	 1.68774	 1.91788	 4.25899	 1.41255	 2.75279	 4.34137	 0.10913	 0.12643	 0.96558	18.64328	-1347.846380	-1401764.815077	53918.434611
71	 1.25218	 1.72339	 1.95385	 4.48734	 1.46420	 2.74384	 4.50123	 0.10878	 0.12602	 0.96245	18.14320	-1347.986009	-1401753.776511	53767.767840
72	 1.29984	 1.79221	 1.84069	 4.49809	 1.50884	 2.75041	 4.51201	 0.11180	 0.12632	 0.96475	18.43172	-1348.071401	-1401778.969730	53707.569010
73	 1.27553	 1.79952	 1.90316	 4.34721	 1.57039	 2.85104	 4.53040	 0.11226	 0.12683	 0.98777	18.74557	-1348.261166	-1401759.039397	53497.872967
74	 1.31588	 1.75108	 1.89875	 4.36463	 1.63975	 2.75649	 4.54855	 0.11271	 0.12734	 0.99173	18.97708	-1348.138909	-1401778.948624	53640.039863
