iter	coalStatFlat	numCoalFlat	migStatFlat	numMigFlat	logPrior	root_theta	logLikelihood	dataLogLikelihood	genealogyLogLikelihood
      0	1.709505	     7000	0.498198	        0	74.130336	1.130287	-1345801.071173	-1406737.081917	60936.010744
      1	1.755520	     7000	0.516397	        1	73.931757	1.134633	-1344205.167887	-1404984.103747	60778.935860
      2	1.717424	     7000	0.509298	        0	73.929626	1.134633	-1343014.538029	-1404015.244397	61000.706368
      3	1.736618	     7000	0.519488	        1	73.786904	1.161413	-1342642.784784	-1403571.758895	60928.974111
      4	1.743414	     7000	0.525393	        1	73.584432	1.240717	-1342487.282971	-1403331.920843	60844.637872
      5	1.796683	     7000	0.537554	        0	73.321970	1.301828	-1342581.379916	-1403115.047157	60533.667241
      6	1.921391	     7000	0.581464	        4	73.077424	1.353509	-1342982.071491	-1402899.870472	59917.798981
      7	1.898744	     7000	0.578268	        2	73.031366	1.435242	-1342817.185308	-1402854.179037	60036.993729
      8	1.951772	     7000	0.601434	        0	73.038710	1.503426	-1342918.216040	-1402683.013204	59764.797164
      9	1.952357	     7000	0.604090	        1	72.841556	1.526445	-1342906.490020	-1402648.862069	59742.372049
     10	1.934103	     7000	0.605263	        2	72.793727	1.529258	-1342707.174001	-1402573.718996	59866.544995
     11	1.980967	     7000	0.618544	        2	72.538129	1.598481	-1342854.075930	-1402523.710183	59669.634254
     12	2.081383	     7000	0.658658	        2	72.346361	1.600468	-1343213.974360	-1402416.358476	59202.384117
     13	2.094897	     7000	0.659031	        1	72.094190	1.653408	-1343246.449145	-1402379.533012	59133.083867
     14	2.110680	     7000	0.667800	        1	71.901127	1.701712	-1343191.270276	-1402280.388628	59089.118352
     15	2.122093	     7000	0.676177	        2	71.878699	1.701712	-1343227.250524	-1402256.181197	59028.930672
     16	2.134959	     7000	0.679247	        1	71.984147	1.765146	-1343355.778066	-1402290.496535	58934.718468
     17	2.138780	     7000	0.682741	        0	71.845472	1.834888	-1343390.142562	-1402314.043909	58923.901347
     18	2.163693	     7000	0.695336	        2	71.878980	1.834888	-1343428.788499	-1402262.875931	58834.087432
     19	2.224451	     7000	0.715793	        4	71.706577	1.882641	-1343680.901429	-1402248.600213	58567.698784
     20	2.217595	     7000	0.709560	        1	71.571067	1.882641	-1343630.514877	-1402207.531072	58577.016195
     21	2.350013	     7000	0.753464	        3	71.351739	2.019242	-1344014.532506	-1402171.692362	58157.159856
     22	2.337261	     7000	0.750849	        2	71.234867	2.025990	-1343855.875867	-1402113.534357	58257.658490
     23	2.369160	     7000	0.759738	        4	71.013986	2.092679	-1344005.291164	-1402159.083554	58153.792390
     24	2.476884	     7000	0.804341	        1	70.750494	2.210357	-1344296.622275	-1402079.668337	57783.046061
     25	2.471571	     7000	0.815513	        3	70.487169	2.219891	-1344287.704087	-1402085.430232	57797.726144
     26	2.497287	     7000	0.816884	        6	70.192281	2.225821	-1344240.230825	-1402017.769525	57777.538699
     27	2.561512	     7000	0.835130	        3	69.929434	2.346745	-1344524.150463	-1402057.083174	57532.932710
     28	2.552407	     7000	0.838386	        1	69.933744	2.346745	-1344538.214920	-1402096.814033	57558.599113
     29	2.621984	     7000	0.858940	        2	69.818549	2.444035	-1344761.158735	-1402066.468276	57305.309541
     30	2.658881	     7000	0.882707	        0	69.681217	2.528459	-1344809.555215	-1402013.814192	57204.258977
     31	2.702917	     7000	0.893338	        2	69.559110	2.603531	-1344879.705154	-1401963.224707	57083.519553
     32	2.793963	     7000	0.918743	        3	69.459324	2.603531	-1345193.504535	-1402011.367500	56817.862965
     33	2.772908	     7000	0.907155	        1	69.454220	2.603531	-1345092.107029	-1401976.320510	56884.213481
     34	2.790288	     7000	0.922113	        5	69.167082	2.613296	-1345082.417149	-1401989.274662	56906.857513
     35	2.800470	     7000	0.921643	        3	69.016147	2.623322	-1345076.254766	-1401947.200442	56870.945676
     36	2.855129	     7000	0.922628	        5	68.752090	2.795992	-1345239.165889	-1401956.468736	56717.302847
     37	2.856905	     7000	0.938746	        1	68.595029	2.944997	-1345278.878308	-1401950.857898	56671.979590
     38	2.962377	     7000	0.986412	        1	68.238308	3.104748	-1345656.781018	-1401956.629769	56299.848751
     39	3.115079	     7000	1.042256	        4	67.897110	3.278981	-1346021.390063	-1401896.248280	55874.858218
     40	3.152049	     7000	1.064266	        4	67.820806	3.286367	-1346159.856470	-1401918.945775	55759.089305
     41	3.178636	     7000	1.076622	        5	67.657432	3.296152	-1346225.646338	-1401900.586048	55674.939710
     42	3.202429	     7000	1.084567	        5	67.537899	3.438253	-1346289.646771	-1401862.600264	55572.953493
     43	3.209575	     7000	1.085639	        3	67.526153	3.556180	-1346297.082749	-1401877.817809	55580.735060
     44	3.345489	     7000	1.134623	        4	67.326001	3.552478	-1346665.186443	-1401884.852497	55219.666055
     45	3.395930	     7000	1.141240	        2	67.151769	3.541549	-1346706.075734	-1401806.150287	55100.074553
     46	3.368465	     7000	1.124272	        4	66.975232	3.541549	-1346632.081213	-1401814.272981	55182.191768
     47	3.382185	     7000	1.151650	        2	66.833616	3.541549	-1346636.825296	-1401768.083278	55131.257983
     48	3.447222	     7000	1.162331	        0	66.726758	3.605970	-1346885.272003	-1401825.940716	54940.668713
     49	3.490892	     7000	1.172717	        3	66.293169	3.841912	-1347013.063584	-1401863.980951	54850.917367
     50	3.563101	     7000	1.220629	        3	66.151083	3.850554	-1347109.886789	-1401788.080713	54678.193923
     51	3.581108	     7000	1.209148	        2	66.001926	3.868199	-1347072.815542	-1401733.276119	54660.460578
     52	3.636380	     7000	1.228934	        4	65.572867	3.989718	-1347246.592520	-1401744.986657	54498.394137
     53	3.666796	     7000	1.238296	        3	65.487615	3.994764	-1347280.996887	-1401743.057937	54462.061049
     54	3.833322	     7000	1.290740	        0	65.080079	4.179674	-1347748.053808	-1401789.645269	54041.591462
     55	3.730837	     7000	1.263916	        2	64.982468	4.193854	-1347427.259407	-1401769.040086	54341.780679
     56	3.754835	     7000	1.265747	        3	64.833584	4.183052	-1347505.010871	-1401756.888498	54251.877627
     57	3.746761	     7000	1.269096	        2	64.684642	4.195261	-1347544.774026	-1401776.142835	54231.368809
     58	3.697659	     7000	1.254302	        1	64.607833	4.184306	-1347491.535964	-1401782.939213	54291.403248
     59	3.772718	     7000	1.272121	        4	64.468303	4.308640	-1347688.937992	-1401808.338897	54119.400904
     60	3.782344	     7000	1.297544	        0	64.061867	4.323062	-1347635.866684	-1401737.414314	54101.547631
     61	3.830936	     7000	1.304915	        3	63.632083	4.505885	-1347774.480688	-1401764.250357	53989.769669
     62	3.921582	     7000	1.329432	        2	63.635160	4.630815	-1347987.339359	-1401775.444790	53788.105431
     63	3.944980	     7000	1.355608	        1	63.458463	4.648159	-1347913.115730	-1401764.081678	53850.965948
     64	3.915083	     7000	1.348446	        2	63.727556	4.516485	-1347856.105275	-1401750.223597	53894.118322
     65	3.925155	     7000	1.357424	        1	63.551730	4.686360	-1347966.029725	-1401810.089336	53844.059610
     66	3.954592	     7000	1.359878	        1	63.310043	4.699696	-1348116.674855	-1401833.322638	53716.647784
     67	3.986521	     7000	1.371153	        3	63.058723	4.714891	-1348082.734564	-1401758.589575	53675.855012
     68	3.980809	     7000	1.368889	        5	63.150367	4.721705	-1348034.182020	-1401762.543939	53728.361919
     69	3.911316	     7000	1.354571	        4	62.991847	4.707925	-1347975.118950	-1401790.109013	53814.990063
     70	4.036811	     7000	1.382245	        3	62.738860	4.698646	-1348306.649592	-1401829.696251	53523.046659
     71	3.983199	     7000	1.355808	        2	62.964909	4.547246	-1348143.944772	-1401825.445537	53681.500765
     72	3.927724	     7000	1.341133	        5	62.781708	4.547246	-1347955.897860	-1401790.720698	53834.822838
     73	3.821901	     7000	1.288242	        3	62.897121	4.361766	-1347728.533241	-1401801.214231	54072.680990
     74	3.853904	     7000	1.306441	        5	62.748466	4.289525	-1347713.507710	-1401723.827136	54010.319426
     75	3.905306	     7000	1.319421	        2	62.359321	4.453415	-1347868.068855	-1401717.688686	53849.619831
     76	3.966133	     7000	1.334037	        2	62.248346	4.311095	-1347996.077804	-1401722.098057	53726.020252
     77	3.940371	     7000	1.324227	        2	62.308105	4.354072	-1347925.336473	-1401713.168801	53787.832327
     78	3.969903	     7000	1.315337	        2	62.036799	4.371885	-1348049.835197	-1401760.473019	53710.637822
     79	3.951410	     7000	1.328503	        4	62.313452	4.371885	-1347999.199498	-1401729.926379	53730.726881
     80	3.970823	     7000	1.323265	        5	62.062638	4.423426	-1348079.040370	-1401745.165808	53666.125438
     81	3.972784	     7000	1.316402	        3	62.047574	4.642466	-1348094.302903	-1401759.025240	53664.722337
     82	4.090822	     7000	1.395139	        4	61.628021	4.627253	-1348265.804422	-1401739.253088	53473.448666
     83	4.058318	     7000	1.379217	        5	61.472765	4.611915	-1348119.961776	-1401667.451194	53547.489418
     84	4.003388	     7000	1.370964	        6	61.517551	4.505348	-1348036.700714	-1401669.833648	53633.132934
     85	4.059650	     7000	1.383993	        3	60.992111	4.776111	-1348123.382638	-1401690.656467	53567.273829
     86	4.083181	     7000	1.402805	        3	60.729404	4.792019	-1348230.978712	-1401759.675353	53528.696641
     87	4.112737	     7000	1.401305	        5	60.377755	4.799750	-1348275.402861	-1401778.911305	53503.508444
     88	4.114752	     7000	1.404422	        2	60.127391	4.809649	-1348295.454890	-1401749.519432	53454.064541
     89	4.197124	     7000	1.429473	        4	60.221157	4.788800	-1348478.959181	-1401783.425363	53304.466182
     90	4.179428	     7000	1.421357	        7	59.772435	4.801304	-1348358.890776	-1401728.191606	53369.300830
     91	4.133506	     7000	1.395212	        7	60.134545	4.782349	-1348339.921795	-1401789.495063	53449.573268
     92	4.128647	     7000	1.421464	        2	59.790591	4.933963	-1348315.939563	-1401732.586708	53416.647145
     93	4.222181	     7000	1.440340	        2	59.391338	4.955391	-1348562.769785	-1401754.116104	53191.346319
     94	4.179443	     7000	1.432640	        3	59.097731	4.971366	-1348373.457666	-1401731.084452	53357.626786
     95	4.103553	     7000	1.415832	        4	59.041964	4.980334	-1348232.313320	-1401746.332065	53514.018745
     96	4.058623	     7000	1.398559	        3	59.297960	5.000455	-1348169.253245	-1401754.836145	53585.582900
     97	4.133084	     7000	1.441783	        4	59.597434	4.974451	-1348333.953105	-1401735.379919	53401.426814
     98	4.118064	     7000	1.443208	        3	59.570261	4.965065	-1348402.774156	-1401808.160587	53405.386432
     99	4.096681	     7000	1.418008	        3	59.792474	4.949101	-1348244.730755	-1401723.882144	53479.151388
    100	4.078344	     7000	1.414418	        5	59.740791	4.969628	-1348242.709220	-1401774.575668	53531.866448
    101	4.039166	     7000	1.389010	        5	60.135824	4.961073	-1348181.186161	-1401739.620672	53558.434511
    102	4.072764	     7000	1.404697	        6	60.513732	4.847634	-1348231.305818	-1401726.151809	53494.845992
    103	4.070427	     7000	1.431746	        4	59.685698	5.021296	-1348210.690890	-1401737.208836	53526.517946
    104	4.087453	     7000	1.417807	        6	59.702337	5.012949	-1348261.872061	-1401722.581924	53460.709863
    105	4.065277	     7000	1.415184	        3	59.796022	5.033434	-1348254.906290	-1401759.991934	53505.085644
    106	4.107087	     7000	1.418994	        3	59.898530	4.928463	-1348343.957385	-1401741.225842	53397.268457
    107	4.091667	     7000	1.410380	        3	60.029195	4.916670	-1348407.574820	-1401820.714802	53413.139982
    108	4.062133	     7000	1.403818	        4	60.299924	4.898362	-1348256.969708	-1401756.272221	53499.302513
    109	4.023388	     7000	1.403724	        3	60.201882	4.882633	-1348201.696762	-1401771.850695	53570.153933
    110	4.045003	     7000	1.393270	        3	59.869437	4.891912	-1348195.066059	-1401716.050081	53520.984022
    111	3.911941	     7000	1.353330	        3	60.420027	4.820363	-1347837.645773	-1401726.263991	53888.618218
    112	3.998779	     7000	1.411054	        3	60.204566	4.913689	-1348090.081178	-1401786.474529	53696.393351
    113	4.033755	     7000	1.397609	        4	59.941267	4.979562	-1348174.699500	-1401760.735150	53586.035650
    114	4.070029	     7000	1.430099	        3	59.630656	4.964304	-1348252.295132	-1401738.079518	53485.784387
    115	4.044800	     7000	1.396229	        5	59.479393	4.941754	-1348255.523721	-1401737.134644	53481.610923
    116	4.018521	     7000	1.400493	        4	59.670275	4.743493	-1348216.705726	-1401740.031061	53523.325336
    117	3.992501	     7000	1.384541	        3	60.175113	4.729424	-1348094.090145	-1401709.672406	53615.582262
    118	3.958367	     7000	1.375942	        3	59.855666	4.742051	-1348060.512454	-1401740.758864	53680.246410
    119	3.936397	     7000	1.366079	        1	59.841643	4.729208	-1347983.672038	-1401727.129915	53743.457877
    120	3.935489	     7000	1.364845	        4	59.259961	4.746515	-1347979.324666	-1401752.280618	53772.955951
    121	4.056389	     7000	1.409721	        2	59.250881	4.737097	-1348264.304634	-1401725.825313	53461.520680
    122	4.195351	     7000	1.463455	        0	58.646336	4.946822	-1348523.360005	-1401771.782400	53248.422395
    123	4.168834	     7000	1.442080	        1	59.006280	4.961542	-1348428.049155	-1401714.402517	53286.353362
    124	4.148863	     7000	1.429450	        2	58.791429	4.976619	-1348354.254818	-1401718.704381	53364.449562
    125	4.119483	     7000	1.423646	        2	59.178616	4.874082	-1348266.740840	-1401691.633953	53424.893112
    126	4.123170	     7000	1.434535	        4	59.364029	4.855794	-1348325.868060	-1401722.825916	53396.957856
    127	4.119097	     7000	1.418972	        4	58.954538	4.847828	-1348379.863627	-1401754.884272	53375.020645
    128	4.136935	     7000	1.437706	        3	58.768965	4.831773	-1348400.787120	-1401745.796643	53345.009524
    129	4.123029	     7000	1.403094	        2	58.660790	4.819276	-1348414.791159	-1401717.420758	53302.629599
    130	4.089080	     7000	1.401552	        2	59.187954	4.827030	-1348309.831674	-1401744.663164	53434.831489
    131	4.057732	     7000	1.409141	        4	59.406355	4.834644	-1348218.141156	-1401734.498793	53516.357637
    132	4.130567	     7000	1.430853	        4	59.743638	4.855770	-1348337.989470	-1401706.212378	53368.222908
    133	4.091045	     7000	1.421166	        1	59.338441	5.047772	-1348318.502264	-1401716.081951	53397.579688
    134	4.173114	     7000	1.439397	        2	59.056452	5.035315	-1348493.611524	-1401726.222795	53232.611271
    135	4.058504	     7000	1.410183	        2	58.775267	4.935115	-1348201.231723	-1401718.145374	53516.913651
    136	4.099500	     7000	1.422994	        3	59.146902	4.956781	-1348228.174951	-1401677.330833	53449.155882
    137	4.136897	     7000	1.433371	        6	58.716250	5.163774	-1348348.344969	-1401737.596791	53389.251822
    138	4.133891	     7000	1.440384	        6	58.718091	5.156740	-1348228.437440	-1401672.271170	53443.833730
    139	4.237386	     7000	1.479046	        4	58.128483	5.312693	-1348496.759985	-1401672.912781	53176.152796
    140	4.215377	     7000	1.467868	        4	58.434790	5.312693	-1348507.973749	-1401735.279307	53227.305558
    141	4.236011	     7000	1.474355	        3	57.867016	5.310535	-1348544.883017	-1401727.532483	53182.649466
    142	4.302868	     7000	1.504101	        4	57.967035	5.529303	-1348656.504824	-1401678.616194	53022.111370
    143	4.289546	     7000	1.490743	        6	58.274322	5.267280	-1348638.437898	-1401755.492215	53117.054317
    144	4.273439	     7000	1.492671	        5	58.773045	5.285478	-1348623.655460	-1401706.114405	53082.458945
    145	4.243845	     7000	1.488851	        6	58.754331	5.288425	-1348603.399925	-1401730.390509	53126.990584
    146	4.217115	     7000	1.501883	        4	58.719607	5.299850	-1348503.901054	-1401742.409094	53238.508040
    147	4.213785	     7000	1.476920	        2	59.256123	5.290648	-1348563.929008	-1401773.597221	53209.668213
    148	4.102616	     7000	1.453963	        0	59.052525	5.086866	-1348308.239560	-1401799.248879	53491.009319
    149	4.132163	     7000	1.452579	        1	59.351654	5.081500	-1348288.988616	-1401734.015065	53445.026449
    150	4.169889	     7000	1.457818	        1	59.713054	5.095706	-1348423.482285	-1401743.830457	53320.348172
    151	4.279155	     7000	1.507086	        2	59.475907	5.224091	-1348566.470918	-1401677.336353	53110.865435
    152	4.209534	     7000	1.461214	        1	59.884490	4.995523	-1348419.522260	-1401700.008269	53280.486008
    153	4.155017	     7000	1.438294	        2	60.369078	4.853760	-1348297.713361	-1401660.621753	53362.908391
    154	4.173228	     7000	1.434106	        2	60.367006	5.084995	-1348359.642250	-1401710.288964	53350.646714
    155	4.149611	     7000	1.425463	        1	60.378560	5.069356	-1348434.403223	-1401764.444403	53330.041181
    156	4.151948	     7000	1.436903	        2	60.104590	5.076292	-1348398.607380	-1401795.783873	53397.176493
    157	4.083021	     7000	1.410518	        2	60.615346	4.881609	-1348254.744693	-1401766.313780	53511.569087
    158	4.147054	     7000	1.427530	        2	60.612636	5.130788	-1348412.470527	-1401810.831293	53398.360766
    159	4.106662	     7000	1.439929	        5	60.702606	5.119689	-1348315.162043	-1401751.353957	53436.191914
    160	4.119473	     7000	1.424163	        1	60.370508	5.127842	-1348340.796199	-1401766.633526	53425.837327
    161	4.100187	     7000	1.433297	        1	60.437859	5.116765	-1348218.335718	-1401766.177397	53547.841679
    162	4.077339	     7000	1.418855	        2	60.720979	5.096013	-1348172.584088	-1401763.934408	53591.350320
    163	4.066684	     7000	1.426706	        3	60.979374	5.096013	-1348146.367520	-1401747.870932	53601.503412
    164	4.040451	     7000	1.434742	        5	61.076237	5.106560	-1347951.445385	-1401701.307908	53749.862523
    165	4.005548	     7000	1.433266	        3	61.029986	5.095744	-1347897.658113	-1401690.584113	53792.926000
    166	4.097980	     7000	1.441424	        4	61.039601	5.113541	-1348176.237488	-1401743.636694	53567.399205
    167	4.125870	     7000	1.453711	        4	60.748224	4.972805	-1348150.204009	-1401717.462767	53567.258758
    168	4.070713	     7000	1.420413	        3	60.784390	4.961734	-1348111.343856	-1401721.225080	53609.881223
    169	4.067701	     7000	1.427239	        3	60.440595	5.171573	-1348028.775985	-1401702.198753	53673.422768
    170	4.122718	     7000	1.451396	        2	60.508639	5.160923	-1348212.202990	-1401723.731359	53511.528370
    171	4.141475	     7000	1.460968	        3	60.704251	5.173628	-1348271.053015	-1401743.442927	53472.389912
    172	4.149704	     7000	1.452144	        4	61.074655	5.106982	-1348304.057398	-1401715.848310	53411.790912
    173	4.221919	     7000	1.461365	        2	60.769849	5.086250	-1348474.168103	-1401727.205626	53253.037523
    174	4.152744	     7000	1.464569	        1	60.726556	5.099084	-1348321.615911	-1401757.461305	53435.845394
    175	4.209337	     7000	1.469558	        1	60.542231	5.119834	-1348402.341698	-1401696.837652	53294.495954
    176	4.229189	     7000	1.484800	        0	60.686990	4.984446	-1348397.874245	-1401706.110362	53308.236116
    177	4.200632	     7000	1.478052	        1	60.692844	5.214355	-1348389.690413	-1401698.973772	53309.283359
    178	4.257272	     7000	1.501731	        2	60.736239	5.229997	-1348494.450866	-1401692.170419	53197.719553
    179	4.288390	     7000	1.508350	        3	60.424133	5.395348	-1348524.284350	-1401640.095086	53115.810736
    180	4.301393	     7000	1.502727	        4	60.338999	5.378423	-1348693.268745	-1401777.902693	53084.633948
    181	4.251656	     7000	1.490428	        3	60.310474	5.292819	-1348599.071745	-1401843.678683	53244.606938
    182	4.249460	     7000	1.477126	        2	60.080011	5.310099	-1348620.096920	-1401762.013328	53141.916408
    183	4.231805	     7000	1.457279	        3	60.608387	5.101938	-1348549.253973	-1401735.808066	53186.554093
    184	4.275151	     7000	1.472753	        1	59.885491	5.281501	-1348639.800803	-1401732.826068	53093.025265
    185	4.345292	     7000	1.466383	        1	59.947319	5.032917	-1348834.851786	-1401749.114473	52914.262687
    186	4.342915	     7000	1.487683	        1	60.099727	5.154380	-1348755.064019	-1401744.999580	52989.935561
    187	4.342114	     7000	1.474725	        1	59.732347	5.143386	-1348785.641441	-1401734.072870	52948.431429
    188	4.387348	     7000	1.491266	        2	59.801036	5.163995	-1348902.641716	-1401734.489958	52831.848242
    189	4.327490	     7000	1.477238	        1	59.705573	5.179702	-1348772.103688	-1401706.103197	52933.999509
    190	4.374169	     7000	1.496472	        1	59.307431	5.200583	-1348805.364170	-1401682.136467	52876.772298
    191	4.385794	     7000	1.502212	        1	59.328398	5.181037	-1348822.703236	-1401655.120423	52832.417187
    192	4.346204	     7000	1.498259	        2	59.120200	5.181037	-1348784.700175	-1401727.880270	52943.180096
    193	4.410498	     7000	1.500776	        1	58.860850	5.195211	-1348941.598020	-1401780.926634	52839.328613
    194	4.341461	     7000	1.489245	        1	59.033650	5.219724	-1348804.234437	-1401733.045165	52928.810729
    195	4.369902	     7000	1.478766	        3	59.239253	5.089469	-1348874.919774	-1401741.735479	52866.815706
    196	4.313168	     7000	1.459008	        2	58.972631	4.925898	-1348687.174726	-1401725.830038	53038.655312
    197	4.468470	     7000	1.518710	        2	59.120203	5.165052	-1348927.288812	-1401699.002391	52771.713579
    198	4.405410	     7000	1.495802	        1	59.220982	5.181536	-1348820.083510	-1401705.630203	52885.546692
    199	4.423397	     7000	1.514583	        0	59.186413	5.187647	-1348814.888704	-1401682.023663	52867.134959
