iteration	A_coal_stats_total	A_num_coals_total	B_coal_stats_total	B_num_coals_total	C_coal_stats_total	C_num_coals_total	ANC_coal_stats_total	ANC_num_coals_total	ROOT_coal_stats_total	ROOT_num_coals_total	
0	2.30491747486052522830846100987400860	5314	2.19978373604299992649657724541611969	5367	2.53982209321493401787961374793667346	6000	12.48655334463822619284201209666207433	13999	36.14172591558088498686629463918507099	22000	
10	3.79661182921950635105190485774073750	3980	3.20335639976954533736375196895096451	5050	2.47512469715510041723405265656765550	5807	19.25534694799010893007107370067387819	14479	44.47025070122707290920516243204474449	22000	
20	4.17016827599950534732897722278721631	4176	3.56852397682447319837706345424521714	5386	2.23799016947986784131785498175304383	5038	21.54135514577663457203016150742769241	15536	44.99599304183501402576439431868493557	22000	
30	4.52334699210451951500999712152406573	4487	3.66915983073802864922186017793137580	5545	1.89701930141702179710705422621686012	4484	22.60115415207823019727584323845803738	16339	43.51721315893095010096658370457589626	22000	
40	4.71780334716339666556450538337230682	4654	3.58492124494051811467443258152343333	5504	1.79266754607937262022687718854285777	4382	22.70261347758217951309234194923192263	16502	42.87728814746498073873226530849933624	22000	
50	4.89566991599264245138556361780501902	4794	3.66531436424410994590061818598769605	5653	1.65250684763480371053390172164654359	4085	23.21466888425921482053126965183764696	16932	42.06513789971265282474632840603590012	22000	
60	4.68466400439529895294299421948380768	4706	3.66256217898245894915021381166297942	5836	1.67806210414958956178566040762234479	4169	22.61199470211569106936622119974344969	16831	41.46069390430269407943342230282723904	22000	
70	4.65034006951421297060278448043391109	4802	3.76468116946336683881213502900209278	5846	1.64907449397197281015792214020621032	4157	22.80705018492032465360352944117039442	16884	41.34080812734195120583535754121840000	22000	
80	4.54975012557073910102189984172582626	4719	4.36857823149631663284253590973094106	5729	1.63122162632782807811793190921889618	4015	24.02619754617921543626835045870393515	17010	42.85484333772446063903771573677659035	22000	
90	4.63197272311424512736266478896141052	4738	4.33132215717328694637444641557522118	5670	1.63492103840243041545932101143989712	4010	24.05301949153025375949255248997360468	16989	43.02657476460528584993880940601229668	22000	
100	4.52475117436494134182112247799523175	4882	4.32969498371514038836949112010188401	5593	1.61973332290127758348319275683024898	4078	23.80809728247615097984635212924331427	16983	42.32938961067244321156977093778550625	22000	
110	4.61577181833558114476545597426593304	4798	4.62541810128723529516037160647101700	5415	1.61860356382621994875137261260533705	4048	24.65215662154338716050006041768938303	16951	43.67452649045851842402043985202908516	22000	
120	4.68525029903819056897873451816849411	4861	4.55384481134671226243426644941791892	5211	1.60662493949187412667356511519756168	4096	25.00630575496046503758407197892665863	16893	44.10974671267463520507590146735310555	22000	
130	4.80002626462081316560670529725030065	4947	4.63942120068665353471715206978842616	5154	1.60636572542375466454700472240801901	4090	25.32321577362067088756703014951199293	16913	44.40959024117966436051574419252574444	22000	
140	4.78259739417314477805120986886322498	5024	4.49290253779160142499904395663179457	5132	1.62526132566048686634019304619869217	4116	24.92095422620806388636083283927291632	16885	44.05364736469715580824413336813449860	22000	
150	4.82861748773462906569875485729426146	4995	4.47046368849844544257621237193234265	5153	1.61966029517062826137419051519827917	4158	24.92468574686008153662442055065184832	16832	44.03183708388152695079043041914701462	22000	
160	4.67381101118665309712696398491971195	4958	4.48572583163274618556215500575490296	5206	1.65891649397799789689145200100028887	4155	24.49840499378457892021287989336997271	16820	43.75621023541570764336938736960291862	22000	
