iteration	C_ANC cs	C_ANC nc	C_ANC_A cs	C_ANC_A nc	C_ANC_B cs	C_ANC_B nc	C_ANC_A->B ms	C_ANC_A->B nm	C_ANC_B->A ms	C_ANC_B->A nm	C_ROOT cs	C_ROOT nc	C_ROOT_A cs	C_ROOT_A nc	C_ROOT_B cs	C_ROOT_B nc	C_ROOT_C cs	C_ROOT_C nc	C_ROOT_A->B ms	C_ROOT_A->B nm	C_ROOT_B->A ms	C_ROOT_B->A nm	C_ROOT_A->C ms	C_ROOT_A->C nm	C_ROOT_C->A ms	C_ROOT_C->A nm	C_ROOT_B->C ms	C_ROOT_B->C nm	C_ROOT_C->B ms	C_ROOT_C->B nm	
0	1.11544688796990754120486144529422745	3318	2.30491747486053455418186786118894815	5314	2.19978373604299770605052799510303885	5367	2.91842890300537671777192372246645391	0	0.00000000000000000000000000000000000	0	8.80401088788746122304473828990012407	6015	2.30491747486053455418186786118894815	5314	2.19978373604299770605052799510303885	5367	2.24571916348826050580100854858756065	5304	8.75048036323980404915801045717671514	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
10	2.55852269880128080359327213955111802	5449	3.79661182921950235424901620717719197	3980	3.20335639976955777186162777070421726	5050	3.57750114800614626986430266697425395	1148	0.00000000000000000000000000000000000	0	10.26617594643339792526148812612518668	7890	3.79661182921950235424901620717719197	3980	3.20335639976955777186162777070421726	5050	2.11723189366294661795109277591109276	5080	9.92567254849713087594409444136545062	4268	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
20	3.34698172121528703115700409398414195	5974	4.17016827599950534732897722278721631	4176	3.56852397682446831339575510355643928	5386	3.73215710938347644543000569683499634	1333	0.00000000000000000000000000000000000	0	9.89350461130499603257248963927850127	7882	4.17016827599950534732897722278721631	4176	3.56852397682446831339575510355643928	5386	1.98517799430575658803377336880657822	4556	10.04448476794286904123509884811937809	7004	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
30	3.51164538107768153807342059735674411	6307	4.52334699210450974504738042014651000	4487	3.66915983073802198788371242699213326	5545	3.82122045733207116313678852748125792	1418	0.00000000000000000000000000000000000	0	8.63866534250949058559854165650904179	7780	4.52334699210450974504738042014651000	4487	3.66915983073802198788371242699213326	5545	1.75679956209690235624520937562920153	4188	10.00353198306024182784312870353460312	8814	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
40	3.45256888137880357803055630938615650	6344	4.71780334716337623746085228049196303	4654	3.58492124494050390381971737951971591	5504	3.83939185873415933514252174063585699	1478	0.00000000000000000000000000000000000	0	8.20209939750974115213466575369238853	7721	4.71780334716337623746085228049196303	4654	3.58492124494050390381971737951971591	5504	1.68152960458754452410801150108454749	4121	9.97127205378549952285993640543892980	9228	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
50	3.45916515377105060480289466795511544	6485	4.89566991599262113510349081479944289	4794	3.66531436424410417274089013517368585	5653	3.88584836712797221380810697155538946	1617	0.00000000000000000000000000000000000	0	7.63617278643333374787971479236148298	7688	4.89566991599262113510349081479944289	4794	3.66531436424410417274089013517368585	5653	1.55724433724543165347142803511815146	3865	9.93495484207419821132134529761970043	10432	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
60	3.36737960106722322706218619714491069	6289	4.68466400439525276766516981297172606	4706	3.66256217898244873509838726022280753	5836	3.83344130975161689889318950008600950	1802	0.00000000000000000000000000000000000	0	7.63452058072106076735963142709806561	7521	4.68466400439525276766516981297172606	4706	3.66256217898244873509838726022280753	5836	1.57019793054181100444566254736855626	3937	9.83218873888426614371383038815110922	10692	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
70	3.32136551844096494789937423774972558	6236	4.65034006951421652331646328093484044	4802	3.76468116946337616468554188031703234	5846	3.85072908249510525990899623138830066	1879	0.00000000000000000000000000000000000	0	7.32146751215762403575126882060430944	7407	4.65034006951421652331646328093484044	4802	3.76468116946337616468554188031703234	5846	1.56340699890195056198649581347126514	3945	9.84920794146385425449352624127641320	11004	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
80	3.47482120325490084766784093517344445	6562	4.54975012557074176555715894210152328	4719	4.36857823149631663284253590973094106	5729	3.95770855520528108684175094822421670	2118	0.00000000000000000000000000000000000	0	7.59768454217138167194889319944195449	7753	4.54975012557074176555715894210152328	4719	4.36857823149631663284253590973094106	5729	1.53447213202666965514708863338455558	3799	10.05769416263158078095329983625560999	11864	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
90	3.44632588249257532098113188112620264	6581	4.63197272311423358104320868733339012	4738	4.33132215717330026905074191745370626	5670	3.96177751594875804386219897423870862	2166	0.00000000000000000000000000000000000	0	7.62010093823709500071572620072402060	7811	4.63197272311423358104320868733339012	4738	4.33132215717330026905074191745370626	5670	1.54526221796559370957879764318931848	3781	10.07595073046929456950238090939819813	12032	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
