iteration	P_A cs	P_A nc	P_B cs	P_B nc	P_C cs	P_C nc	P_ANC cs	P_ANC nc	P_ROOT cs	P_ROOT nc	MB_A->B ms	MB_A->B nm	MB_B->A ms	MB_B->A nm	MB_A->C ms	MB_A->C nm	MB_C->A ms	MB_C->A nm	MB_B->C ms	MB_B->C nm	MB_C->B ms	MB_C->B nm	
0	2.30491747486051323789979505818337202	5314	2.19978373604300481147788559610489756	5367	2.53982209321493934695013194868806750	6000	1.11544688796991153800775009585777298	3318	0.63737138250630454017198189831105992	2001	1.44352394811890905046425359614659101	0	1.47490495488644834942704164859605953	0	1.45681127861449000171489842614391819	0	1.47490495488644834942704164859605953	0	1.45681127861449000171489842614391819	0	1.44352394811890905046425359614659101	0	
10	3.79661182921955253632972926425281912	3980	3.20335639976948183260674340999685228	5050	2.47512469715502669842521754617337137	5807	2.55852269880139893132309225620701909	5449	0.45740446445075855219641880466951989	1714	1.71697482886380070610243819828610867	233	1.86052631914219679387656469771172851	416	1.38533512624240295885158502642298117	328	1.86052631914219679387656469771172851	257	1.38533512624240295885158502642298117	658	1.71697482886380070610243819828610867	242	
20	4.17016827599948580740374382003210485	4176	3.56852397682435018566593498690053821	5386	2.23799016947977813529746526910457760	5038	3.34698172121557746550024603493511677	5974	0.39525047353993297827301489633100573	1426	1.79904532661454386044397324440069497	236	1.93311178276867656755655389133607969	503	1.29008527458799138187828248192090541	942	1.93311178276867701164576374139869586	307	1.29008527458799138187828248192090541	1227	1.79904532661454252817634369421284646	287	
30	4.52334699210436941285706780035980046	4487	3.66915983073788298796102935739327222	5545	1.89701930141687435948938400542829186	4484	3.51164538107823620549652332556433976	6307	0.30194269346316154889464655752817634	1177	1.81684863674306606995401125459466130	302	2.00437182058868179623800642730202526	508	1.18054553419805330349845462478697300	1430	2.00437182058868268441642612742725760	302	1.18054553419805374758766447484958917	1559	1.81684863674306429359717185434419662	306	
40	4.71780334716296767538779022288508713	4654	3.58492124494036978887834266060963273	5504	1.79266754607922673692144144297344610	4382	3.45256888137964779161848127841949463	6344	0.28584500927391393032550581665418576	1116	1.79792671501565570757463774498319253	386	2.04146514371816989452668167359661311	495	1.14624416815855600937368308223085478	1642	2.04146514371816900634826197347138077	328	1.14624416815855600937368308223085478	1494	1.79792671501565393121779834473272786	269	
50	4.89566991599203227281122963177040219	4794	3.66531436424393097794904861075337976	5653	1.65250684763467359239541565330000594	4085	3.45916515377209288217841276491526514	6485	0.25645717424902703118760882716742344	983	1.81288558257887033597910431126365438	442	2.07296278454870774865526072971988469	543	1.08162905390925567772342219541314989	1895	2.07296278454870419594158192921895534	338	1.08162905390925523363421234535053372	1704	1.81288558257886855962226491101318970	294	
60	4.68466400439435926017495148698799312	4706	3.66256217898208591421393975906539708	5836	1.67806210414945855546875463915057480	4169	3.36737960106841027752011541451793164	6289	0.26666327207224821416176041566359345	1000	1.80892243138058383955524277553195134	409	2.02451887837051192065018767607398331	713	1.08265305969050196210901049198582768	1863	2.02451887837050747975808917544782162	375	1.08265305969050107393059079186059535	1681	1.80892243138058206319840337528148666	305	
70	4.65034006951325640244476744555868208	4802	3.76468116946291919688860616588499397	5846	1.64907449397182781503090609476203099	4157	3.32136551844240335285007859056349844	6236	0.27086778563170910150148529282887466	959	1.83301939632163501947559325344627723	437	2.01770968617275325840410005184821784	743	1.07387488823688559413938037323532626	1892	2.01770968617274970569042125134728849	379	1.07387488823688470596096067311009392	1731	1.83301939632163279902954400313319638	320	
80	4.54975012556973723576447810046374798	4719	4.36857823149578816668281433521769941	5729	1.63122162632768996637366853974526748	4015	3.47482120325664034510282363044098020	6562	0.24252554022644684517118207622843329	975	1.95772060935043001883570923382649198	523	1.99998794585411054924861673498526216	818	1.07113852611051463270541717065498233	1738	1.99998794585410699653493793448433280	396	1.07113852611051241225936792034190148	2076	1.95772060935042735430045013345079497	381	
90	4.63197272311307362002708032377995551	4738	4.33132215717257462728184691513888538	5670	1.63492103840229541233952659240458161	4010	3.44632588249456484064126016164664179	6581	0.26011981809923706565612633312412072	1001	1.95056274950352537267406205501174554	546	2.01121476644437935377141002390999347	796	1.07619784928598405393529446882894263	1782	2.01121476644437491287931152328383178	439	1.07619784928598138940003536845324561	2068	1.95056274950352226404959310457343236	385	
100	4.52475117436489249200803897110745311	4882	4.32969498371511285483848041621968150	5593	1.61973332290128224641989618248771876	4078	3.40269037019889131201466625498142093	6508	0.25987388069746020224926041919388808	939	1.95380148485928084589602349296910688	525	1.98922711668452789623984244826715440	742	1.05568798279395581474204846017528325	1892	1.98922711668452789623984244826715440	500	1.05568798279395581474204846017528325	2029	1.95380148485928084589602349296910688	416	
