Sample	theta_A	theta_B	theta_C	theta_ANC	theta_ROOT	tau_ANC	tau_ROOT	m_A->B	m_B->A	m_A->C	m_C->A	m_B->C	m_C->B	Complete-ld-ln-avg	Data-ld-ln	Gene-ld-ln
0	 3.39891	 3.29288	 3.32806	 3.14895	 3.38749	 3.43622	16.73812	 0.00000	 0.00000	 0.00000	 0.00000	 0.00000	 0.00000	-1376.621471	-2916436.751399	163193.810133
10	 8.94778	 5.55812	 3.32806	 4.13295	 3.38749	 3.43622	16.73812	 0.10599	 0.20267	 0.21030	 0.12241	 0.29498	 0.14011	-1355.249706	-2878698.962164	168199.549383
20	 8.94778	 5.55812	 3.96005	 4.94222	 3.38749	 3.43622	16.73812	 0.10599	 0.20267	 0.49298	 0.12241	 0.67321	 0.14011	-1347.210793	-2868940.569224	174518.983453
30	 8.94778	 5.55812	 3.96005	 4.94222	 2.84513	 3.43622	16.73812	 0.17686	 0.20267	 0.87717	 0.12241	 1.02454	 0.14011	-1342.406896	-2865504.158879	180690.367703
40	 8.94778	 5.55812	 3.96005	 4.94222	 2.84513	 3.43622	16.73812	 0.17686	 0.20267	 1.44953	 0.12241	 1.02454	 0.14011	-1341.026114	-2864487.612859	182435.385487
50	 8.94778	 5.55812	 3.96005	 4.94222	 2.84513	 3.43622	16.73812	 0.17686	 0.20267	 1.44953	 0.12241	 1.38947	 0.14011	-1338.661284	-2863901.614910	186579.046519
60	 8.94778	 5.55812	 3.96005	 4.94222	 2.84513	 3.43622	16.73812	 0.17686	 0.31902	 1.44953	 0.13808	 1.38947	 0.14011	-1338.063450	-2863771.285647	187644.386316
70	 8.94778	 5.55812	 3.96005	 4.94222	 2.84513	 3.43622	16.73812	 0.17686	 0.31902	 1.44953	 0.13808	 1.38947	 0.14011	-1337.551782	-2863675.684359	188572.121302
80	 8.94778	 7.10978	 3.96005	 4.94222	 2.84513	 3.43622	16.73812	 0.21911	 0.31902	 1.44953	 0.20978	 1.88904	 0.19511	-1336.531096	-2863626.929235	190564.737320
90	 8.94778	 7.10978	 3.96005	 4.94222	 2.84513	 3.43622	16.73812	 0.21911	 0.31902	 1.54886	 0.20978	 1.88904	 0.19511	-1336.210958	-2863456.438992	191034.522090
100	 8.94778	 7.10978	 3.96005	 4.94222	 2.84513	 3.43622	16.73812	 0.21911	 0.31902	 1.54886	 0.20978	 1.88904	 0.19511	-1335.790794	-2863448.741222	191867.153959
110	 8.94778	 8.28907	 3.96005	 4.94222	 2.84513	 3.43622	16.73812	 0.23234	 0.31902	 1.54886	 0.20978	 1.88904	 0.23885	-1335.576770	-2863391.992441	192238.453252
120	 8.94778	 8.28907	 3.96005	 5.36114	 2.84513	 3.43622	16.73812	 0.30853	 0.31902	 1.54886	 0.20978	 1.88904	 0.23885	-1335.813010	-2863489.573647	191863.554348
130	 8.94778	 8.28907	 3.96005	 5.36114	 2.84513	 3.43622	16.73812	 0.45878	 0.31902	 1.54886	 0.27382	 1.88904	 0.24922	-1334.388762	-2863286.021112	194508.497816
140	 8.94778	 8.28907	 3.96005	 5.36114	 2.84513	 3.43622	16.73812	 0.50848	 0.31902	 1.54886	 0.27382	 1.88904	 0.24922	-1333.680578	-2863305.353295	195944.196646
150	 8.94778	 8.28907	 3.96005	 5.36114	 2.84513	 3.43622	16.73812	 0.50848	 0.31902	 1.54886	 0.27382	 1.88904	 0.24922	-1333.608909	-2863336.816846	196118.999107
160	 8.94778	 8.28907	 3.96005	 5.36114	 2.84513	 3.43622	16.73812	 0.50848	 0.46088	 1.54886	 0.27382	 1.88904	 0.24922	-1332.940002	-2863319.868792	197439.864325
170	 8.94778	 8.28907	 3.96005	 5.36114	 2.84513	 3.43622	16.73812	 0.54727	 0.46088	 1.54886	 0.36009	 1.88904	 0.24922	-1332.668011	-2863296.191469	197960.169932
180	 9.85347	 8.28907	 3.96005	 5.36114	 2.84513	 3.43622	16.73812	 0.68031	 0.46088	 1.54886	 0.36009	 1.88904	 0.24922	-1331.814199	-2863299.767467	199671.370191
190	 9.85347	 8.28907	 3.96005	 5.36114	 2.46463	 3.43622	16.73812	 0.71124	 0.46088	 1.54886	 0.36009	 1.88904	 0.24922	-1331.030913	-2863319.870897	201258.044074
200	 9.85347	 8.28907	 3.96005	 5.36114	 2.46463	 3.43622	16.73812	 0.71124	 0.46088	 1.54886	 0.41479	 1.88904	 0.19778	-1331.258620	-2863326.019218	200808.779963
210	 9.85347	 8.28907	 3.96005	 5.36114	 2.46463	 3.43622	16.73812	 0.71124	 0.46088	 1.77419	 0.41479	 1.88904	 0.24035	-1330.084697	-2863208.662190	203039.268659
220	 9.85347	 8.28907	 3.96005	 5.36114	 2.19701	 3.43622	16.73812	 0.71124	 0.58629	 1.77419	 0.41479	 1.88904	 0.20071	-1330.115957	-2863177.087227	202945.173107
230	 9.85347	 8.28907	 3.96005	 5.36114	 1.85244	 3.43622	16.73812	 0.71124	 0.58629	 1.90115	 0.43993	 1.88904	 0.20071	-1329.484939	-2863054.500294	204084.621572
240	 9.85347	 8.28907	 3.96005	 5.36114	 1.85244	 3.43622	16.73812	 0.71124	 0.58629	 1.90115	 0.43993	 1.88904	 0.23607	-1329.190732	-2863202.817132	204821.352752
250	 9.18680	 7.72824	 3.69212	 4.99841	 1.43960	 3.20373	15.60565	 0.91749	 0.62883	 2.03912	 0.47186	 2.02613	 0.27389	-1327.366982	-2863203.033846	208469.069471
260	 9.60251	 7.72824	 3.69212	 4.99841	 1.43960	 3.20373	15.60565	 0.91749	 0.62883	 2.03912	 0.47186	 2.02613	 0.27389	-1327.491477	-2863287.916601	208304.962941
270	 9.42799	 7.58779	 3.62502	 4.90757	 1.41343	 3.14550	15.32203	 0.93447	 0.75167	 2.07686	 0.48059	 2.06363	 0.27896	-1326.193932	-2863185.066055	210797.201916
280	 9.42799	 8.13326	 3.65886	 4.90757	 1.41343	 3.14550	15.32203	 0.93447	 0.80900	 2.29901	 0.48059	 2.06363	 0.27896	-1325.466095	-2863157.770880	212225.580260
290	 9.42799	 8.13326	 3.65886	 4.90757	 1.41343	 3.14550	15.32203	 0.93447	 0.80900	 2.29901	 0.51327	 2.06363	 0.27896	-1325.221530	-2863102.773529	212659.713508
300	 9.42799	 8.13326	 3.65886	 4.90757	 1.41343	 3.14550	15.32203	 1.05379	 0.80900	 2.29901	 0.51327	 2.06363	 0.32753	-1324.508379	-2863169.496036	214152.737065
310	 9.55343	 8.24148	 3.70754	 4.97287	 1.41411	 3.18736	15.52589	 1.03995	 0.79838	 2.26882	 0.56281	 2.09541	 0.32686	-1324.269850	-2863030.140426	214490.440301
320	 9.55343	 8.24148	 3.70754	 4.93939	 1.41411	 3.18736	15.52589	 1.07899	 0.87429	 2.26882	 0.52915	 1.85384	 0.26731	-1324.033167	-2863185.764897	215119.431187
330	 9.55343	 8.24148	 3.70754	 4.93939	 1.33023	 3.18736	15.52589	 1.17682	 0.89861	 2.43237	 0.55854	 1.77235	 0.29005	-1323.095139	-2863192.793792	217002.515797
340	 9.55343	 8.24148	 3.70754	 4.93939	 1.18342	 3.18736	15.52589	 1.25543	 0.91799	 2.43237	 0.55854	 1.67175	 0.22944	-1322.896941	-2863184.019804	217390.138255
350	 9.55343	 8.24148	 3.83035	 4.93939	 1.06825	 3.18736	15.52589	 1.23966	 0.94858	 2.43237	 0.56046	 1.72206	 0.23868	-1322.530541	-2863145.108257	218084.026288
